,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Vake,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,04-02-2020 09:22:23,Tbilisi,61df6a1c90,Метадон 0.15гр,True,2,нет,Тбилиси,0.15 гр,0.0125,8308,3270,279,130.0,,,,,,,,,,Metadon 0.15gr
1,1,04-02-2020 09:22:23,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,12,нет,Тбилиси,0.25 гр,0.0173,11504,4527,387,180.0,,,,,,,,,,Metadon VHQ 0.25 24/7
2,2,04-02-2020 09:22:23,Tbilisi,366326d4d6,0.5 g. Ketamine,True,10,нет,Тбилиси,0.5 гр,0.0063,3771,1484,127,59.0,,,,,,,,,,0.5 g. Ketamine
3,3,04-02-2020 09:22:23,Tbilisi,8219f5e7b8,"Cocaine, 0.5 g",True,10,нет,Тбилиси,0.5 гр,0.0117,7030,2767,236,110.0,,,,,,,,,,"Cocaine, 0.5 g"
4,4,04-02-2020 09:22:23,Tbilisi,8219f5e7b8,Ketamine 0.5g,True,8,нет,Тбилиси,0.5 гр,0.0064,3835,1509,129,60.0,,,,,,,,,,Ketamine 0.5g
5,5,04-02-2020 09:22:23,Tbilisi,8ec76151d3,Metadon VHQ 0.5 24/7,True,3,нет,Тбилиси,0.5 гр,0.0288,19173,7545,644,300.0,,,,,,,,,,Metadon VHQ 0.5 24/7
6,6,04-02-2020 09:22:23,Tbilisi,1768a14bbd,"NEW Sale!! Cocaine 0,5 гр. HQ",True,5,нет,Тбилиси,0.5 гр,0.0105,6327,2490,213,99.0,,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
7,7,04-02-2020 09:22:23,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,6,нет,Тбилиси,0.5 гр,0.0105,6966,2741,234,109.0,,,,,,,,,,Pure COCAINE VHQ 0.5g
8,8,04-02-2020 09:22:23,Tbilisi,dd631c4acf,❄❄❄0.5g HQ COCAINE❄❄❄,True,7,нет,Тбилиси,0.5 гр,0.0096,5752,2264,193,90.0,,,,,,,,,,❄❄❄0.5g HQ COCAINE❄❄❄
9,9,04-02-2020 09:22:23,Tbilisi,97bbc3dfd6,SUBUTEX B8 (ORIGINAL)! 0.8 гр. (1 штука),True,2,нет,Тбилиси,0.8 гр,0.0158,9586,3773,322,150.0,,,,,,,,,,SUBUTEX B8 (ORIGINAL)! 0.8 gr. (1 shtuka)
10,10,04-02-2020 09:22:23,Tbilisi,64284550d9,1G -- AK-47 -> Sativa,,7,нет,Тбилиси,1 гр,0.0043,2684,1056,90,42.0,True,,,,,,,,,1G -- AK-47 -> Sativa
11,11,04-02-2020 09:22:23,Tbilisi,366326d4d6,1g MDMA - !!!NEW!!! - Purity 93%,True,1,нет,Тбилиси,1 гр,0.0105,6327,2490,213,99.0,,,,,,,,,,1g MDMA - !!!NEW!!! - Purity 93%
12,12,04-02-2020 09:22:23,Tbilisi,7ee4f68218,1gr mdma (скидка в биткоин 5%),True,1,нет,Тбилиси,1 гр,0.0095,6017,2359,202,,,85.0,,,,,,,,1gr mdma (skidka v bitkoin 5%)
13,13,04-02-2020 09:22:23,Tbilisi,366326d4d6,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,3,нет,Тбилиси,1 гр,0.0211,12654,4980,425,198.0,,,,,,,,,,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
14,14,04-02-2020 09:22:23,Tbilisi,8ec76151d3,Apvp VHQ 1g 24/7,True,5,нет,Тбилиси,1 гр,0.0127,7669,3018,258,120.0,,,,,,,,,,Apvp VHQ 1g 24/7
15,15,04-02-2020 09:22:23,Tbilisi,8219f5e7b8,"Cocaine, 1g",True,4,нет,Тбилиси,1 гр,0.0234,14060,5533,473,220.0,,,,,,,,,,"Cocaine, 1g"
16,16,04-02-2020 09:22:23,Tbilisi,28bf667d16,Crystal Mephedrone 1g,True,2,нет,Тбилиси,1 гр,0.0115,6966,2741,234,109.0,,,,,,,,,,Crystal Mephedrone 1g
17,17,04-02-2020 09:22:23,Tbilisi,2fdc22f2b2,HASH Mexicana 1 g SALE -10% for bitcoin.,True,1,нет,Тбилиси,1 гр,0.0069,4601,1804,155,,,65.0,,,,,,,,HASH Mexicana 1 g SALE -10% for bitcoin.
18,18,04-02-2020 09:22:23,Tbilisi,8219f5e7b8,Ketamine 1g,True,8,нет,Тбилиси,1 гр,0.0106,6391,2515,215,100.0,,,,,,,,,,Ketamine 1g
19,19,04-02-2020 09:22:23,Tbilisi,366326d4d6,Ketamine 1g.,True,6,нет,Тбилиси,1 гр,0.0095,5688,2238,191,89.0,,,,,,,,,,Ketamine 1g.
20,20,04-02-2020 09:22:23,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,True,2,нет,Тбилиси,1 гр,0.0479,31955,12575,1074,500.0,,,,,,,,,,Metadon VHQ 1 24/7
21,21,04-02-2020 09:22:23,Tbilisi,1768a14bbd,NEW SALE Cocaine HQ 1 гр.,True,5,нет,Тбилиси,1 гр,0.0191,11440,4502,385,179.0,,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
22,22,04-02-2020 09:22:23,Tbilisi,c72111ac1a,NZT-52 mind storm limited 1г мука,True,4,нет,Тбилиси,1 гр,0.0134,8947,3521,301,140.0,,,,,,,,,,NZT-52 mind storm limited 1g muka
23,23,04-02-2020 09:22:23,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,5,нет,Тбилиси,1 гр,0.0191,12718,5005,428,199.0,,,,,,,,,,VHQ BEST Cocaine 1g.
24,24,04-02-2020 09:22:23,Tbilisi,3814ba5701,Weed From Gali(THC 23%) 1gr,True,1,2,Тбилиси,1 гр,0.0051,3195,1258,107,50.0,,,,,,,,,,Weed From Gali(THC 23%) 1gr
25,25,04-02-2020 09:22:23,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,3,нет,Тбилиси,1 гр,0.0208,12718,5005,428,199.0,,,,,,,,,,Kokain HQ 1g.
26,26,04-02-2020 09:22:23,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,5,нет,Тбилиси,1 гр,0.021,12718,5005,428,199.0,,,True,,,,,,,Kokain KOLUMBIA 1g
27,27,04-02-2020 09:22:23,Tbilisi,e8a987a33c,"Метадон, 1gr",True,6,нет,Тбилиси,1 гр,0.0475,28759,11318,967,450.0,,,,,,,,,,"Metadon, 1gr"
28,28,04-02-2020 09:22:23,Tbilisi,6b3ed5f127,мощный гибрид /hybrid weed 1g strong,,11,нет,Тбилиси,1 гр,0.0034,2237,880,75,35.0,True,,,,,,,,,moschnyj gibrid /hybrid weed 1g strong
29,29,04-02-2020 09:22:23,Tbilisi,dd631c4acf,✨ 1g. MDMA ✨,True,1,нет,Тбилиси,1 гр,0.0105,6327,2490,213,99.0,,,,,,,,,,✨ 1g. MDMA ✨
30,30,04-02-2020 09:22:23,Tbilisi,dd631c4acf,❄1g. New COCAINE!!❄,True,2,нет,Тбилиси,1 гр,0.0192,11504,4527,387,180.0,,,,,,,,,,❄1g. New COCAINE!!❄
31,31,04-02-2020 09:22:23,Tbilisi,7ee4f68218,2 ecstasy 💊Tekashi69💊 260mg mdma (скидка в биктоин),True,1,нет,Тбилиси,2 гр,0.0078,4955,1943,166,,,70.0,,,,,,,,2 ecstasy 💊Tekashi69💊 260mg mdma (skidka v biktoin)
32,32,04-02-2020 09:22:23,Tbilisi,366326d4d6,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,4,нет,Тбилиси,2 гр,0.0404,24222,9532,814,379.0,,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
33,33,04-02-2020 09:22:23,Tbilisi,3c4662c591,Hybrid Marijuana High Quality 2G,True,2,нет,Тбилиси,2 гр,0.0084,5113,2012,172,80.0,,,,,,,,,,Hybrid Marijuana High Quality 2G
34,34,04-02-2020 09:22:23,Tbilisi,8219f5e7b8,Ketamine 2 g,True,5,нет,Тбилиси,2 гр,0.0192,11504,4527,387,180.0,,,,,,,,,,Ketamine 2 g
35,35,04-02-2020 09:22:23,Tbilisi,c72111ac1a,NZT-52 mind storm limited 2г мука,True,8,нет,Тбилиси,2 гр,0.023,15338,6036,516,240.0,,,,,,,,,,NZT-52 mind storm limited 2g muka
36,36,04-02-2020 09:23:10,Tbilisi,99accec7c7,Гашиш gashish 2 грамма лучшая цена 10% при покупки биткойном!,True,5,нет,Тбилиси,2 гр,0.0113,6966,2741,234,109.0,,,,,,,,,,Gashish gashish 2 gramma luchshaja tsena 10% pri pokupki bitkojnom!
37,37,04-02-2020 09:23:10,Tbilisi,d04eeb6525,Кокаин HQ 2г.,True,6,нет,Тбилиси,2 гр,0.0404,25500,10035,857,399.0,,,,,,,,,,Kokain HQ 2g.
38,38,04-02-2020 09:23:10,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,1,нет,Тбилиси,2 гр,0.0384,23007,9054,773,360.0,,,,,,,,,,❄❄2g HQ COCAINE❄❄
39,39,04-02-2020 09:23:10,Tbilisi,013e75d78f,C O C A i N E 2 g +0.1 g падарка.,True,5,нет,Тбилиси,2.1 гр,0.0353,21410,8425,720,335.0,,,,,,,,,,C O C A i N E 2 g +0.1 g padarka.
40,40,04-02-2020 09:23:10,Tbilisi,16a8841259,HQ сатива 2.3г,,2,нет,Тбилиси,2.3 гр,0.0058,3515,1383,118,55.0,,,,True,,,,,,HQ sativa 2.3g
41,41,04-02-2020 09:23:10,Tbilisi,366326d4d6,3LSD !!!NEW!!! 3LSD ALBERT HOFFMAN 200ug,True,5,нет,Тбилиси,3 гр,0.0105,6327,2490,213,99.0,,,,,,,,,,3LSD !!!NEW!!! 3LSD ALBERT HOFFMAN 200ug
42,42,04-02-2020 09:23:10,Tbilisi,c9a56b2b4a,3x Extasy Duracell 280mg,True,10,нет,Тбилиси,3 гр,0.0112,6710,2641,226,105.0,,,,,,,,,,3x Extasy Duracell 280mg
43,43,04-02-2020 09:23:10,Tbilisi,dd631c4acf,3г. SPEED Амфетамин стимулятор,True,1,нет,Тбилиси,3 гр,0.0105,6327,2490,213,99.0,,,,,,,,,,3g. SPEED Amfetamin stimuljator
44,44,04-02-2020 09:23:10,Tbilisi,99accec7c7,GASHISH 3 gr лучшая цена,True,2,нет,Тбилиси,3 гр,0.0171,10545,4150,354,165.0,True,,,,,,,,,GASHISH 3 gr luchshaja tsena
45,45,04-02-2020 09:23:10,Tbilisi,c72111ac1a,NZT-52 mind storm limited 3г мука,True,1,нет,Тбилиси,3 гр,0.0345,23007,9054,773,360.0,,,,,,,,,,NZT-52 mind storm limited 3g muka
46,46,04-02-2020 09:23:10,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,True,1,нет,Тбилиси,3 гр,0.0105,6327,2490,213,99.0,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
47,47,04-02-2020 09:23:10,Tbilisi,366326d4d6,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,3,нет,Тбилиси,5 гр,0.0169,10162,3999,342,159.0,,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
48,48,04-02-2020 09:23:10,Tbilisi,9795761a65,*new* Cocaine peru HQ 5 gr BTC -10 %,True,2,нет,Тбилиси,5 гр,0.0815,54323,21378,1826,850.0,,,,,,,,,,*new* Cocaine peru HQ 5 gr BTC -10 %
49,49,04-02-2020 09:23:10,Tbilisi,8219f5e7b8,"LSD - 250 ug, 5 pieces",True,4,нет,Тбилиси,5 гр,0.016,9586,3773,322,150.0,,,,,,,,,,"LSD - 250 ug, 5 pieces"
50,50,04-02-2020 09:23:10,Tbilisi,366326d4d6,NEW !!! 5G OG KusH !!! NEW,True,3,нет,Тбилиси,5 гр,0.0169,10162,3999,342,159.0,,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
51,51,04-02-2020 09:23:10,Tbilisi,366326d4d6,NEW !!! 5G White Widow !!! NEW,True,2,нет,Тбилиси,5 гр,0.0164,9842,3873,331,154.0,,,,,,,,,,NEW !!! 5G White Widow !!! NEW
52,52,04-02-2020 09:23:10,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,True,2,нет,Тбилиси,5 гр,0.0824,54898,21604,1845,859.0,,,,,,,,,,VHQ BEST Cocaine 5g.
53,53,04-02-2020 09:23:10,Tbilisi,e501bd0ada,gorilla glue 5 g,,2,нет,Тбилиси,5 гр,0.0168,11184,4401,376,175.0,True,,,,,,,,,gorilla glue 5 g
54,54,04-02-2020 09:23:10,Tbilisi,c225d2f67d,гашиш евро 5г,True,3,нет,Тбилиси,5 гр,0.0213,13421,5282,451,210.0,,,,,,,,,,gashish evro 5g
