,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,€,Дигоми,Didube,Gldani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
30,30,20-03-2020 17:07:18,Tbilisi,be97026d1d,MDMA from Europe!!! 5g + (0.5g hash подарок !!!!) BTC SALE 5%!!,,4,нет,Тбилиси,5.5 гр,0.0444,25364,9198,826,325.0,,,True,,,,,,,,MDMA from Europe!!! 5g + (0.5g hash podarok !!!!) BTC SALE 5%!!
31,31,20-03-2020 17:07:18,Tbilisi,edfbad0151,THC Snow Leavs 6G,,5,нет,Тбилиси,6 гр,0.0054,3122,1132,102,40.0,True,,,,,,,,,,THC Snow Leavs 6G
32,32,20-03-2020 17:07:18,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,1,нет,Тбилиси,10 гр,0.0499,28486,10330,928,365.0,,,,True,,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
33,33,20-03-2020 17:07:18,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,,1,нет,Тбилиси,10 гр,0.0365,20838,7556,679,267.0,True,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
34,34,20-03-2020 17:07:46,Tbilisi,edfbad0151,THC Snow Leavs 6G,,5,нет,Тбилиси,6 гр,0.0054,3122,1132,102,40.0,True,,,,,,,,,,THC Snow Leavs 6G
35,35,20-03-2020 17:07:46,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,2,нет,Тбилиси,10 гр,0.0499,28486,10330,928,365.0,,,,True,,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
36,36,20-03-2020 17:07:46,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,,1,нет,Тбилиси,10 гр,0.0365,20838,7556,679,267.0,True,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
37,37,20-03-2020 17:07:46,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,,6,нет,Тбилиси,10 гр,0.0123,7726,2802,252,99.0,True,,,,True,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
38,38,20-03-2020 17:07:46,Tbilisi,c225d2f67d,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.0525,31218,11320,1017,400.0,True,,,,,,,,,,gashish evro 10g
39,39,20-03-2020 17:07:46,Tbilisi,be97026d1d,MDMA from Europe!!! 10g + (1g hash подарок !!!!) BTC SALE 5%!!,,1,нет,Тбилиси,11 гр,0.0868,49558,17971,1614,635.0,,,True,,,,,,,,MDMA from Europe!!! 10g + (1g hash podarok !!!!) BTC SALE 5%!!
40,40,20-03-2020 17:07:46,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2485,156089,56600,5083,2000.0,True,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
41,41,20-03-2020 17:07:46,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G - (SALE),,14,5,Тбилиси,0.27 гр,0.0313,17716,6424,577,227.0,True,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G - (SALE)
42,42,20-03-2020 17:07:46,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1.1 G (SALE),,2,3,Тбилиси,1.1 гр,0.0966,54631,19810,1779,700.0,True,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.1 G (SALE)
43,43,20-03-2020 17:07:46,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,3,Тбилиси,3 гр,0.0815,46046,16697,1499,590.0,True,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
