,Unnamed: 0,time_stamp,region,sell_code,description,Nadzaladevi,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Didube,Saburtalo,Vazisubani,Gldani,Varketili,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
10,10,06-07-2020 08:25:43,Tbilisi,64284550d9,1G ---> Pineapple (BTC - Sale),,2,нет,Тбилиси,1 гр,0.0053,3525,1368,121,,True,50.0,,,,,,,,,,,1G ---> Pineapple (BTC - Sale)
11,11,06-07-2020 08:25:43,Tbilisi,bb1791277e,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,,3,нет,Тбилиси,1 гр,0.0063,4230,1641,145,,True,60.0,,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
12,12,06-07-2020 08:25:43,Tbilisi,67187efef3,АКЦИЯ! 1g hindu kish best buds,,2,нет,Тбилиси,1 гр,0.0043,3173,1231,109,,True,45.0,,,,True,,,,,,,AKTsIJa! 1g hindu kish best buds
13,13,06-07-2020 08:25:43,Tbilisi,bb1791277e,"2 g Super Lemon Haze auto , марихуана BUDS thc 25% если платите с бтк скидка .5%",,2,нет,Тбилиси,2 гр,0.0116,7755,3009,266,,True,110.0,,,,,,,,,,,"2 g Super Lemon Haze auto , marihuana BUDS thc 25% esli platite s btk skidka .5%"
14,14,06-07-2020 08:25:43,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,3,нет,Тбилиси,2 гр,0.0127,8460,3282,291,,True,120.0,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
15,15,06-07-2020 08:25:43,Tbilisi,bb1791277e,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,,1,нет,Тбилиси,2 гр,0.0127,8460,3282,291,,True,120.0,,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
16,16,06-07-2020 08:25:43,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,1,нет,Тбилиси,2 гр,0.0127,8460,3282,291,,True,120.0,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
17,17,06-07-2020 08:25:43,Tbilisi,bb1791277e,2gr Amnesia Haze Auto сжатая марихуана BUDS,,1,нет,Тбилиси,2 гр,0.0127,8460,3282,291,,True,120.0,,,,,,,,,,,2gr Amnesia Haze Auto szhataja marihuana BUDS
18,18,06-07-2020 08:25:43,Tbilisi,bb1791277e,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,,2,нет,Тбилиси,2 гр,0.0127,8460,3282,291,,True,120.0,,,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
19,19,06-07-2020 08:25:43,Tbilisi,eb7e03535b,Cocaine Pure VHQ 2 g,,2,нет,Тбилиси,2 гр,0.0527,35179,13648,1208,,True,499.0,,,,,,,,,,,Cocaine Pure VHQ 2 g
