,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Tbilisis Zgva,Дигоми,€,Old Tbilisi (Старый город),Авлобари,Varketili,Vake,Центр,Батуми,desc_en
17,30-07-2020 15:45:55,Tbilisi,BB6E,WEEDSH0P,2gr Amnesia Haze Auto сжатая марихуана BUDS,True,2,нет,Тбилиси,2 гр,0.0109,8804,3342,290,120,,,,,,,,,,,,2gr Amnesia Haze Auto szhataja marihuana BUDS
18,30-07-2020 15:45:55,Tbilisi,7LHWP,GEOBUDS,2gr HYBRID buds,True,5,нет,Тбилиси,2 гр,0.008,6456,2451,213,88,,,,,,,,,,,,2gr HYBRID buds
19,30-07-2020 15:45:55,Tbilisi,BB6E,WEEDSH0P,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,True,1,нет,Тбилиси,2 гр,0.0109,8804,3342,290,120,,,,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
20,30-07-2020 15:45:55,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 2гр",True,3,нет,Тбилиси,2 гр,0.0091,8070,3064,266,110,,,,True,,,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
21,30-07-2020 15:45:55,Tbilisi,9R7SU,ClownBaroN,Skunk 2G (25 % THC)*VHQ* IMPORT SPECIAL PRICE,,1,нет,Тбилиси,2 гр,0.0086,6970,2646,230,95,True,,,,,,,,,,,Skunk 2G (25 % THC)*VHQ* IMPORT SPECIAL PRICE
22,30-07-2020 15:45:55,Tbilisi,LGRP8,Walker12,!!! NEW !!! 3G Jack Herer(VHQ 24%THC),,2,нет,Тбилиси,3 гр,0.0136,11005,4178,363,150,True,,,,,,,,,,,!!! NEW !!! 3G Jack Herer(VHQ 24%THC)
23,30-07-2020 15:45:55,Tbilisi,R4156,bestchoice,Northern Lights Regular [budsonly] 3gramm,True,2,нет,Тбилиси,3 гр,0.0082,7263,2757,239,99,,,,,,,,,,,,Northern Lights Regular [budsonly] 3gramm
24,30-07-2020 15:45:55,Tbilisi,03F3,geoshop,5 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,1,нет,Тбилиси,5 гр,0.0245,19808,7520,653,270,,,,,,,,,,,,5 marijuana BUDS northen lights 24% THC ShIShKI!!!
25,30-07-2020 15:45:55,Tbilisi,R4156,bestchoice,Northern Lights Regular [budsonly] 10gram,True,1,нет,Тбилиси,10 гр,0.0247,21936,8327,723,299,,,,,,,,,,,,Northern Lights Regular [budsonly] 10gram
26,30-07-2020 15:45:55,Tbilisi,6P9R,RickNMorty,VHQ Methadon 0.5G max 12 Hours for adrss,True,нет,1,Тбилиси,0.5 гр,0.0499,40350,15318,1330,550,,,,,,,,,,,,VHQ Methadon 0.5G max 12 Hours for adrss
