,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Дигоми,Vake,Tbilisis Zgva,€,Old Tbilisi (Старый город),Авлобари,Varketili,Батуми,Центр,desc_en
0,28-07-2020 02:12:31,Tbilisi,OX85,amnesia420,"0,5G 👨🏻WHITE RUSSIAN (hybrid < indica)",True,1,нет,Тбилиси,0.5 гр,0.0028,2219,865,74,31,,,,,,,,,,,,"0,5G 👨🏻WHITE RUSSIAN (hybrid < indica)"
1,28-07-2020 02:12:31,Tbilisi,7LHWP,GEOBUDS,0.5 gr HYBRID buds,True,20,нет,Тбилиси,0.5 гр,0.003,2362,921,79,33,,,,,,,,,,,,0.5 gr HYBRID buds
2,28-07-2020 02:12:31,Tbilisi,ABOAB,ProGrow,0.5-G ---> Pineapple (BTC - Sale),,5,нет,Тбилиси,0.5 гр,0.0025,2004,781,67,28,True,,,,,,,,,,,0.5-G ---> Pineapple (BTC - Sale)
3,28-07-2020 02:12:31,Tbilisi,9CK,Hyperboy,VHQ Hybrid MJ Buds 0.5G,True,26,нет,Тбилиси,0.5 гр,0.0027,2148,837,72,30,,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
4,28-07-2020 02:12:31,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,2,нет,Тбилиси,1 гр,0.0054,4295,1674,143,60,,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
5,28-07-2020 02:12:31,Tbilisi,03F3,geoshop,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,3,нет,Тбилиси,1 гр,0.0054,4295,1674,143,60,,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
6,28-07-2020 02:12:31,Tbilisi,3Y9,HIGHTHC,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,4,нет,Тбилиси,1 гр,0.0053,4224,1646,141,59,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
7,28-07-2020 02:12:31,Tbilisi,QUZIV,Hollyweed,1 г.Super Skunk top class buds!,,6,нет,Тбилиси,1 гр,0.005,3937,1535,131,55,,True,,,,,,,,,,1 g.Super Skunk top class buds!
8,28-07-2020 02:12:31,Tbilisi,SF03,CRAZYFROG,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",True,1,нет,Тбилиси,1 гр,0.0054,4295,1674,143,60,,,,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
9,28-07-2020 02:12:31,Tbilisi,7LHWP,GEOBUDS,1gr HYBRID o.g,True,10,нет,Тбилиси,1 гр,0.0044,3508,1367,117,49,,,,,,,,,,,,1gr HYBRID o.g
10,28-07-2020 02:12:31,Tbilisi,8B31,GEOWEEDSHOP,1гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),True,3,нет,Тбилиси,1 гр,0.0044,3508,1367,117,49,,,,,,,,,,,,1gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
11,28-07-2020 02:12:31,Tbilisi,5LZ,ExtraShop,Hybrid Bomba 1 г. TOP BUDS,True,1,нет,Тбилиси,1 гр,0.0045,3937,1535,131,55,,,,,,,,,,,,Hybrid Bomba 1 g. TOP BUDS
12,28-07-2020 02:12:31,Tbilisi,H9FHF,OldStar,Шишка добрая 1 g,True,23,нет,Тбилиси,1 гр,0.0044,3600,1657,120,,,,,,,,,,,,,Shishka dobraja 1 g
13,28-07-2020 02:12:31,Tbilisi,9CK,Hyperboy,🍬🍬🍬Ex Masserati Red 465 mg 1pc🍬🍬🍬,True,5,нет,Тбилиси,1 гр,0.005,3937,1535,131,55,,,,,,,,,,,,🍬🍬🍬Ex Masserati Red 465 mg 1pc🍬🍬🍬
14,28-07-2020 02:12:31,Tbilisi,JVZTQ,partyshop,2 Amnesia Haze марихуана шишки тгк 25%,,4,нет,Тбилиси,2 гр,0.0089,7087,2762,237,99,,,True,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
15,28-07-2020 02:12:31,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,,2,нет,Тбилиси,2 гр,0.0098,7803,3041,260,109,,,True,,,,,,,,,2 G Hybrid Marijuana Buds
