,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Saburtalo,Varketili,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,0,30-06-2020 15:08:43,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,1,нет,Тбилиси,0.25 гр,0.0101,6951,2649,238,88.0,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,1,30-06-2020 15:08:43,Tbilisi,21e6be39fb,"Black Gerain, Sirec VHQ 0.4g",,1,нет,Тбилиси,0.4 гр,0.0125,8453,3210,288,,True,120.0,,,,,,,,"Black Gerain, Sirec VHQ 0.4g"
2,2,30-06-2020 15:08:43,Tbilisi,0dec0e1c48,0.5 gr HYBRID buds,,5,нет,Тбилиси,0.5 гр,0.0035,2325,883,79,,True,33.0,,,,,,,,0.5 gr HYBRID buds
3,3,30-06-2020 15:08:43,Tbilisi,21e6be39fb,"Black Geroin, Sirec 0.5g",,5,нет,Тбилиси,0.5 гр,0.0146,9862,3745,336,,True,140.0,,,,,,,,"Black Geroin, Sirec 0.5g"
4,4,30-06-2020 15:08:43,Tbilisi,16a8841259,Jamaican 0.5Г,,2,нет,Тбилиси,0.5 гр,0.0032,2184,829,74,,True,31.0,,,,,,,,Jamaican 0.5G
5,5,30-06-2020 15:08:43,Tbilisi,ebadfc162f,The Best Weed In Your Life 0.5G 100%шишки! LIMITED,,2,нет,Тбилиси,0.5 гр,0.0037,2465,936,84,,True,35.0,True,,,,,,,The Best Weed In Your Life 0.5G 100%shishki! LIMITED
6,6,30-06-2020 15:08:43,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,,5,нет,Тбилиси,1 гр,0.0062,4156,1578,142,,True,59.0,,,,,,,,1 G Hybrid Marijuana Buds
7,7,30-06-2020 15:08:43,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,2,нет,Тбилиси,1 гр,0.0063,4226,1605,144,,True,60.0,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
8,8,30-06-2020 15:08:43,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,,2,нет,Тбилиси,1 гр,0.0062,4156,1578,142,,,59.0,True,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
9,9,30-06-2020 15:08:43,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,,4,нет,Тбилиси,1 гр,0.0062,4156,1578,142,,True,59.0,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
