,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Gldani,€,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,23-03-2020 23:51:17,Tbilisi,ce6827deee,Метадон - 0.12 г Новая партия!,True,7,нет,Тбилиси,0.12 гр,0.0148,8897,3108,282,110.0,,,,,,,,,,,Metadon - 0.12 g Novaja partija!
1,1,23-03-2020 23:51:17,Tbilisi,4b4cde4fad,Iranian Black Heroin Old WHQ Не сырец 0.25g,True,1,нет,Тбилиси,0.25 гр,0.0133,7279,2543,230,90.0,,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
2,2,23-03-2020 23:51:17,Tbilisi,8a650ecf5f,"Метадон VHQ 0,25",True,3,нет,Тбилиси,0.25 гр,0.0281,15367,5368,486,190.0,,,,,,,,,,,"Metadon VHQ 0,25"
3,3,23-03-2020 23:51:17,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,1,нет,Тбилиси,0.5 гр,0.0141,8007,2797,253,99.0,,,,,,,,,,,Cocaine Pure VHQ 0.5g
4,4,23-03-2020 23:51:17,Tbilisi,8ec76151d3,Metadon VHQ 0.5 24/7,True,1,нет,Тбилиси,0.5 гр,0.0592,32353,11300,1024,400.0,,,,,,,,,,,Metadon VHQ 0.5 24/7
5,5,23-03-2020 23:51:17,Tbilisi,dd631c4acf,☃️ 0.5g HQ COCAINE ☃️,True,1,нет,Тбилиси,0.5 гр,0.0163,8816,3079,279,109.0,,,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
6,6,23-03-2020 23:51:17,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,1,нет,Тбилиси,1 гр,0.0067,3640,1271,115,45.0,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
7,7,23-03-2020 23:51:17,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,1,нет,Тбилиси,1 гр,0.0065,3559,1243,113,44.0,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
8,8,23-03-2020 23:51:17,Tbilisi,e56bb6ca93,1 gr Indica dominant Buds,,1,нет,Тбилиси,1 гр,0.0049,2669,932,84,33.0,True,,,,,,,,,,1 gr Indica dominant Buds
9,9,23-03-2020 23:51:17,Tbilisi,7c395c455d,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,4,нет,Тбилиси,1 гр,0.0074,4044,1413,128,50.0,,,,,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
10,10,23-03-2020 23:51:17,Tbilisi,22610cd7c4,Amsterdam weed sativa 1гр,True,8,нет,Тбилиси,1 гр,0.0068,3721,1300,118,46.0,,,,,,,,,,,Amsterdam weed sativa 1gr
11,11,23-03-2020 23:51:17,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,1,нет,Тбилиси,1 гр,0.0268,15287,5339,484,189.0,,,,,,,,,,,Cocaine Pure VHQ 1g
12,12,23-03-2020 23:51:17,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 1 штука!!!,True,4,нет,Тбилиси,1 гр,0.0031,1860,650,59,23.0,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 1 shtuka!!!
13,13,23-03-2020 23:51:17,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,1,нет,Тбилиси,1 гр,0.0265,14478,5057,458,179.0,,True,,,,,,,,,Kokain KOLUMBIA 1g
14,14,23-03-2020 23:51:17,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.121,72793,25425,2303,900.0,,,,,,,,,,,Metadon 1gr
15,15,23-03-2020 23:51:17,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,3,нет,Тбилиси,2 гр,0.0141,8493,2966,269,105.0,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
16,16,23-03-2020 23:51:17,Tbilisi,4a91350669,2 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,6,нет,Тбилиси,2 гр,0.0133,7279,2543,230,90.0,,,,,,,,,,,2 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
17,17,23-03-2020 23:51:17,Tbilisi,64284550d9,2G ---> ONLY BUDS,,1,нет,Тбилиси,2 гр,0.009000000000000001,4934,1723,156,61.0,True,,,,,,,,,,2G ---> ONLY BUDS
18,18,23-03-2020 23:51:17,Tbilisi,e56bb6ca93,2gr Indica dominant Buds,True,9,нет,Тбилиси,2 гр,0.0098,5338,1865,169,66.0,True,,,,,,,,,,2gr Indica dominant Buds
19,19,23-03-2020 23:51:17,Tbilisi,ef3dc4de6c,Extasy GUCCI 2 шт. вес таблетки 450mg,True,5,нет,Тбилиси,2 гр,0.0081,4448,1554,141,55.0,,,,,,,,,,,Extasy GUCCI 2 sht. ves tabletki 450mg
20,20,23-03-2020 23:51:17,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,2,нет,Тбилиси,3 гр,0.0157,8493,2966,269,105.0,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
21,21,23-03-2020 23:51:17,Tbilisi,4659482266,Marijuana Super Skunk leaves 3g plan,,5,нет,Тбилиси,3 гр,0.0052,2831,989,90,35.0,,,True,,,,,,,,Marijuana Super Skunk leaves 3g plan
22,22,23-03-2020 23:51:17,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 3 штуки!!!,True,5,нет,Тбилиси,3 гр,0.0065,3882,1356,123,48.0,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 3 shtuki!!!
23,23,23-03-2020 23:51:17,Tbilisi,366326d4d6,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,2,нет,Тбилиси,5 гр,0.0238,12860,4492,407,159.0,,,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
24,24,23-03-2020 23:51:17,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,2,нет,Тбилиси,5 гр,0.0232,12537,4379,397,155.0,,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
25,25,23-03-2020 23:51:17,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.043,25882,9040,819,320.0,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
26,26,23-03-2020 23:51:17,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,1,нет,Тбилиси,5 гр,0.0439,24264,8475,768,300.0,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
27,27,23-03-2020 23:51:17,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.0441,25144,8816,801,,,,,290.0,,,,,,,5 gr mdma (skidka v bitkoin 5%)
28,28,23-03-2020 23:51:17,Tbilisi,f4d1c31614,5g MDMA (IMPORTED),True,1,нет,Тбилиси,5 гр,0.0568,32353,11300,1024,400.0,,,,,,,,,,,5g MDMA (IMPORTED)
29,29,23-03-2020 23:51:17,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,8,нет,Тбилиси,5 гр,0.0261,14154,4944,448,175.0,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
30,30,23-03-2020 23:51:17,Tbilisi,366326d4d6,NEW !!! 5G OG KusH !!! NEW,True,3,нет,Тбилиси,5 гр,0.0238,12860,4492,407,159.0,,,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
31,31,23-03-2020 23:51:17,Tbilisi,366326d4d6,NEW !!! 5G White Widow !!! NEW,True,1,нет,Тбилиси,5 гр,0.023,12456,4351,394,154.0,,,,,,,,,,,NEW !!! 5G White Widow !!! NEW
32,32,23-03-2020 23:51:17,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,8,нет,Тбилиси,5 гр,0.0087,5257,1836,166,65.0,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
33,33,23-03-2020 23:51:17,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,2,нет,Тбилиси,10 гр,0.054000000000000006,29522,10311,934,365.0,,,,,True,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
