,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Old Tbilisi (Старый город),Saburtalo,Дигоми,Didube,Gldani,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,13-03-2020 12:51:55,Tbilisi,ce6827deee,Метадон - 0.12 г Новая партия!,True,2,нет,Тбилиси,0.12 гр,0.0159,8143,2949,258,110.0,,,,,,,,,,,Metadon - 0.12 g Novaja partija!
1,1,13-03-2020 12:51:55,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.15 G,True,2,нет,Тбилиси,0.15 гр,0.024,11104,4022,352,150.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.15 G
2,2,13-03-2020 12:51:55,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,10,нет,Тбилиси,0.25 гр,0.0274,14065,5094,446,190.0,,,,,,,,,,,Metadon VHQ 0.25 24/7
3,3,13-03-2020 12:51:55,Tbilisi,8a650ecf5f,"Метадон VHQ 0,25",True,19,нет,Тбилиси,0.25 гр,0.0289,14065,5094,446,190.0,,,,,,,,,,,"Metadon VHQ 0,25"
4,4,13-03-2020 12:51:55,Tbilisi,8ec76151d3,Apvp VHQ 0.30g 24/7,True,1,нет,Тбилиси,0.3 гр,0.0087,4442,1609,141,60.0,,,,,,,,,,,Apvp VHQ 0.30g 24/7
5,5,13-03-2020 12:51:55,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.30 G,True,3,3,Тбилиси,0.3 гр,0.0481,22208,8043,704,300.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.30 G
6,6,13-03-2020 12:51:55,Tbilisi,8ddca45a78,"0,5g AFGHANI Indica THC 18% / BTC -5% sale",True,3,нет,Тбилиси,0.5 гр,0.0038,1851,670,59,25.0,,,,,,,,,,,"0,5g AFGHANI Indica THC 18% / BTC -5% sale"
7,7,13-03-2020 12:51:55,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0166,8069,2922,256,109.0,,,,,,,,,,,Pure COCAINE VHQ 0.5g
8,8,13-03-2020 12:51:55,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано 0.5г.,True,1,нет,Тбилиси,0.5 гр,0.0048,2221,804,70,30.0,,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
9,9,13-03-2020 12:51:55,Tbilisi,dd631c4acf,☃️ 0.5g HQ COCAINE ☃️,True,8,нет,Тбилиси,0.5 гр,0.0159,7329,2654,232,99.0,,,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
10,10,13-03-2020 12:51:55,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,9,нет,Тбилиси,1 гр,0.0072,3701,1341,117,50.0,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
11,11,13-03-2020 12:51:55,Tbilisi,8ddca45a78,1g AMNESIA HAZE Sativa THC 20% / BTC -5% sale,True,3,нет,Тбилиси,1 гр,0.0061,2961,1072,94,40.0,,,,,,,,,,,1g AMNESIA HAZE Sativa THC 20% / BTC -5% sale
12,12,13-03-2020 12:51:55,Tbilisi,cb721d4bca,"1gr ROYAL AFGHANI HASH FINEST QUALITY гашиш топ качество ,Оплата BITCOIN -10% Скидка",True,2,нет,Тбилиси,1 гр,0.0152,7111,2554,225,,85.0,,,,,,,,,,"1gr ROYAL AFGHANI HASH FINEST QUALITY gashish top kachestvo ,Oplata BITCOIN -10% Skidka"
13,13,13-03-2020 12:51:55,Tbilisi,7ee4f68218,1gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,1 гр,0.0164,7948,2855,251,,95.0,,,,,,,,,,1gr mdma (skidka v bitkoin 5%)
14,14,13-03-2020 12:51:55,Tbilisi,8ec76151d3,Apvp VHQ 1g 24/7,True,4,нет,Тбилиси,1 гр,0.0238,11104,4022,352,150.0,,,,,,,,,,,Apvp VHQ 1g 24/7
15,15,13-03-2020 12:51:55,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,True,4,нет,Тбилиси,1 гр,0.0794,40715,14746,1291,550.0,,,,,,,,,,,Metadon VHQ 1 24/7
16,16,13-03-2020 12:51:55,Tbilisi,ae784bef73,NEW ! Afghan HQ buds ! NEW ! 1G,True,1,нет,Тбилиси,1 гр,0.0079,3701,1341,117,50.0,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 1G
17,17,13-03-2020 12:51:55,Tbilisi,ae784bef73,NEW ! Гашиш Double-Twesla ! NEW ! 1g ! HQ !,True,1,нет,Тбилиси,1 гр,0.0127,5922,2145,188,80.0,,,,,,,,,,,NEW ! Gashish Double-Twesla ! NEW ! 1g ! HQ !
18,18,13-03-2020 12:51:55,Tbilisi,c72111ac1a,NZT-52 mind storm limited 1г мука,True,1,нет,Тбилиси,1 гр,0.0202,10364,3753,329,140.0,,,,,,,,,,,NZT-52 mind storm limited 1g muka
19,19,13-03-2020 12:51:55,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,1,нет,Тбилиси,1 гр,0.0297,13991,5067,444,189.0,,,,,,,,,,,Kokain HQ 1g.
20,20,13-03-2020 12:51:55,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,2,нет,Тбилиси,1 гр,0.0284,13251,4799,420,179.0,,True,,,,,,,,,Kokain KOLUMBIA 1g
21,21,13-03-2020 12:51:55,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1299,66625,24129,2113,900.0,,,,,,,,,,,Metadon 1gr
22,22,13-03-2020 12:51:55,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,10,нет,Тбилиси,1 гр,0.0029,1481,536,47,20.0,,,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
23,23,13-03-2020 12:51:55,Tbilisi,dd631c4acf,☃️❄1g. New COCAINE!!❄☃️,True,1,нет,Тбилиси,1 гр,0.0289,13325,4826,423,180.0,,,,,,,,,,,☃️❄1g. New COCAINE!!❄☃️
24,24,13-03-2020 12:51:55,Tbilisi,dd631c4acf,✨ 1g. MDMA ✨,True,2,нет,Тбилиси,1 гр,0.0175,8069,2922,256,109.0,,,,,,,,,,,✨ 1g. MDMA ✨
25,25,13-03-2020 12:51:55,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,True,3,нет,Тбилиси,2 гр,0.0101,5182,1877,164,70.0,,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
26,26,13-03-2020 12:51:55,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,11,нет,Тбилиси,2 гр,0.013000000000000001,6662,2413,211,90.0,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
27,27,13-03-2020 12:51:55,Tbilisi,64284550d9,2G ---> INDICA,,11,нет,Тбилиси,2 гр,0.0096,4590,1662,146,62.0,,,True,,,,,,,,2G ---> INDICA
28,28,13-03-2020 12:51:55,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,True,1,нет,Тбилиси,2 гр,0.0563,28871,10456,915,390.0,,,,,,,,,,,VHQ BEST Cocaine 2g.
29,29,13-03-2020 12:51:55,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,True,3,нет,Тбилиси,2 гр,0.0051,2591,938,82,35.0,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
30,30,13-03-2020 12:51:55,Tbilisi,d04eeb6525,Кокаин HQ 2г.,True,4,нет,Тбилиси,2 гр,0.0577,28056,10161,890,379.0,,,,,,,,,,,Kokain HQ 2g.
31,31,13-03-2020 12:51:55,Tbilisi,e56bb6ca93,3 gr Indica dominant Buds,True,1,нет,Тбилиси,3 гр,0.0133,6440,2332,204,87.0,,,,,,,,,,,3 gr Indica dominant Buds
