,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,€,Gldani,Nadzaladevi,Saburtalo,Zahesi,Varketili,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,28-06-2020 08:17:19,Tbilisi,A3I9,Joookerrr,Heroin (sirec) made from Azerbaijan 0.11 гр.,True,2,нет,Тбилиси,0.11 гр,0.0052,3456,1345,119,50,,,,,,,,,,,,Heroin (sirec) made from Azerbaijan 0.11 gr.
1,28-06-2020 08:17:19,Tbilisi,EIH4,San4oPan4o,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,,1,нет,Тбилиси,0.25 гр,0.0101,6824,2653,235,,True,88,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
2,28-06-2020 08:17:19,Tbilisi,PTO3,MeDuZa777,"Black Geroin, Sirec 0.5g",True,5,нет,Тбилиси,0.5 гр,0.0157,10369,4035,358,150,,,,,,,,,,,,"Black Geroin, Sirec 0.5g"
3,28-06-2020 08:17:19,Tbilisi,6P9R,RickNMorty,RickNMorty's Hybrid's Buds ONLY high THc 0.5,True,7,нет,Тбилиси,0.5 гр,0.0031,2074,807,72,30,,,True,True,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
4,28-06-2020 08:17:19,Tbilisi,UZRVH,ZEBRAWEED,"Weed ""BIG BEMON"" sat 60% ind 40% only buds 0.5gr",,5,нет,Тбилиси,0.5 гр,0.0028,2005,780,69,29,,,,,True,,,,,,,"Weed ""BIG BEMON"" sat 60% ind 40% only buds 0.5gr"
5,28-06-2020 08:17:19,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано 0.5г.,,4,нет,Тбилиси,0.5 гр,0.003,2005,780,69,29,,,,,True,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
6,28-06-2020 08:17:19,Tbilisi,ABOAB,ProGrow,1G ---> Big Devil (BTC - Sale),,22,нет,Тбилиси,1 гр,0.0055,3664,1426,126,53,,,,,True,,,,,,,1G ---> Big Devil (BTC - Sale)
7,28-06-2020 08:17:19,Tbilisi,ABOAB,ProGrow,1G ---> Pineapple (BTC - Sale),True,12,нет,Тбилиси,1 гр,0.0052,3456,1345,119,50,,,,,,,,,,,,1G ---> Pineapple (BTC - Sale)
8,28-06-2020 08:17:19,Tbilisi,LYHBG,Playboy,1G --... BoLiVian Coke ...-- 1G,True,9,нет,Тбилиси,1 гр,0.0316,20669,8043,713,299,,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
9,28-06-2020 08:17:19,Tbilisi,SF03,CRAZYFROG,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",,3,нет,Тбилиси,1 гр,0.0063,4148,1614,143,60,,,True,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
10,28-06-2020 08:17:19,Tbilisi,BB6E,WEEDSH0P,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,True,5,нет,Тбилиси,1 гр,0.0063,4148,1614,143,60,,,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
11,28-06-2020 08:17:19,Tbilisi,6P9R,RickNMorty,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ 1G On Iron Magnet,,1,нет,Тбилиси,1 гр,0.0319,21084,8205,727,305,,,,True,,,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ 1G On Iron Magnet
12,28-06-2020 08:17:19,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,True,1,нет,Тбилиси,2 гр,0.0114,7535,2932,260,109,,,,,,,,,,,,2 G Hybrid Marijuana Buds
13,28-06-2020 08:17:19,Tbilisi,SF03,CRAZYFROG,2 gr top buds white widow wишки THC 25% VHQ,,1,нет,Тбилиси,2 гр,0.0115,7604,2959,262,110,,,,,,True,,,,,,2 gr top buds white widow wishki THC 25% VHQ
14,28-06-2020 08:17:19,Tbilisi,9Y6T,WeedShop,листя+бошки в трихомах 2г,True,2,нет,Тбилиси,2 гр,0.0038,2765,1076,95,40,,,,,,,,,,,,listja+boshki v trihomah 2g
15,28-06-2020 08:17:19,Tbilisi,7LHWP,GEOBUDS,3 gr georgian weed. Package on magnet,True,23,нет,Тбилиси,3 гр,0.0091,6014,2340,207,87,,,,,,,True,,,,,3 gr georgian weed. Package on magnet
16,28-06-2020 08:17:19,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 4 шт. вес таблетки 450mg,True,1,нет,Тбилиси,4 гр,0.0112,7397,2878,255,107,,,,,,,,,,,,Extasy GUCCI 4 sht. ves tabletki 450mg
17,28-06-2020 08:17:19,Tbilisi,2LY77,SveetWeed,5 + GRAMM NEW BEASTWEED,True,1,нет,Тбилиси,5 гр,0.01,7258,2825,250,105,,,,,,,,,,,,5 + GRAMM NEW BEASTWEED
18,28-06-2020 08:17:19,Tbilisi,8B31,GEOWEEDSHOP,5gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,22,нет,Тбилиси,5 гр,0.0073,4770,1856,164,69,,,,,,,,,,,,5gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
19,28-06-2020 08:17:19,Tbilisi,5LZ,ExtraShop,5г. GEO Марихуана бошки,True,7,нет,Тбилиси,5 гр,0.0142,10300,4008,355,149,,,,,,,,,,,,5g. GEO Marihuana boshki
20,28-06-2020 08:17:19,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,5,нет,Тбилиси,5 гр,0.0052,3802,1480,131,55,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
21,28-06-2020 08:17:19,Tbilisi,7LHWP,GEOBUDS,10 gr georgian weed. Package on magnet,True,9,нет,Тбилиси,10 гр,0.025,16522,6429,570,239,,,,,,,,,,,,10 gr georgian weed. Package on magnet
22,28-06-2020 08:17:19,Tbilisi,8B31,GEOWEEDSHOP,10gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,17,нет,Тбилиси,10 гр,0.0136,8918,3470,308,129,,,,,,,,,,,,10gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
23,28-06-2020 08:17:19,Tbilisi,HWUW,opiopi,GABAGAMA 10 shtuk,True,1,нет,Тбилиси,10 гр,0.0015,968,377,33,14,,,,,,,,,,,,GABAGAMA 10 shtuk
24,28-06-2020 08:17:19,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 10гр,True,3,нет,Тбилиси,10 гр,0.0456,31108,12105,1073,450,,,,,,,,,,,,Gashish Evro 10gr
25,28-06-2020 08:17:19,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,3,нет,Тбилиси,10 гр,0.0081,5876,2287,203,85,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
26,28-06-2020 08:17:19,Tbilisi,2LY77,SveetWeed,11+ GRAMM BEASTWEED NEW,True,2,нет,Тбилиси,11 гр,0.0171,12443,4842,429,180,,,,,,,,,,,,11+ GRAMM BEASTWEED NEW
27,28-06-2020 08:17:19,Tbilisi,3TGJ9,Elegant,акция!!! 10g.+2 g. марихуана шишки Critical,True,1,нет,Тбилиси,12 гр,0.0475,34564,13450,1192,500,,,,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
28,28-06-2020 08:17:19,Tbilisi,X4ZM,ZYX,Silver haze leaves листья 15гр,True,8,нет,Тбилиси,15 гр,0.0094,6222,2421,215,90,,,,,,,,,,,,Silver haze leaves list'ja 15gr
29,28-06-2020 08:17:19,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2111,138257,53800,4768,2000,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
30,28-06-2020 08:17:19,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" VHQ (1 штука)",True,нет,5,Тбилиси,1 гр,0.0047,3111,1211,107,45,,,,,,,,,,,,"Extazzy ""Gucci"" VHQ (1 shtuka)"
31,28-06-2020 08:17:19,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" для стильных людей (2гр)",True,нет,9,Тбилиси,2 гр,0.0094,6222,2421,215,90,,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (2gr)"
32,28-06-2020 08:17:19,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,3,Тбилиси,2 гр,0.0523,34219,13316,1180,495,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
33,28-06-2020 08:17:19,Tbilisi,A3I9,Joookerrr,Комбо!!! MDMA 0.2 + марки н боом 2 шт. (2.2 гр),True,нет,9,Тбилиси,2.2 гр,0.0088,5816,2261,201,,,75,,,,,,,,,,Kombo!!! MDMA 0.2 + marki n boom 2 sht. (2.2 gr)
34,28-06-2020 08:17:19,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" для стильных людей (3 грамма)",True,нет,6,Тбилиси,3 гр,0.0126,8295,3228,286,120,,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (3 gramma)"
35,28-06-2020 08:18:16,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.0782,51155,19906,1764,740,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
36,28-06-2020 08:18:16,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,6,Тбилиси,4 гр,0.0418,27651,10760,954,400,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
37,28-06-2020 08:18:16,Tbilisi,A3I9,Joookerrr,Combo!!! 2 Ecztazy and 2 N-BooM (4 штуки),True,нет,9,Тбилиси,4 гр,0.0126,8295,3228,286,120,,,,,,,,,,,,Combo!!! 2 Ecztazy and 2 N-BooM (4 shtuki)
38,28-06-2020 08:18:16,Tbilisi,18FB,Mr.Green Tbilis,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0262,17282,6725,596,250,,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
39,28-06-2020 08:18:16,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0575,38021,14795,1311,550,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
40,28-06-2020 08:18:16,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0282,18665,7263,644,270,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
41,28-06-2020 08:18:16,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,5,Тбилиси,5 гр,0.0293,19356,7532,668,280,,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
42,28-06-2020 08:18:16,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0288,19010,7398,656,275,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
43,28-06-2020 08:18:16,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0251,16591,6456,572,240,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
