,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,€,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
20,18-02-2020 02:21:46,Tbilisi,YOI,Hashland,HASH Mexicana 1 g SALE -10% for bitcoin.,True,4,нет,Тбилиси,1 гр,0.0064,4460,1729,155,,,,65,,,,,,,HASH Mexicana 1 g SALE -10% for bitcoin.
21,18-02-2020 02:21:46,Tbilisi,5JG6,BenderMan,Ketamine 1g,True,2,нет,Тбилиси,1 гр,0.0102,6331,2451,219,100,,,,,,,,,,Ketamine 1g
22,18-02-2020 02:21:46,Tbilisi,5JG6,BenderMan,"LSD - 250 ug, 1piece",True,2,нет,Тбилиси,1 гр,0.0041,2532,980,88,40,,,,,,,,,,"LSD - 250 ug, 1piece"
23,18-02-2020 02:21:46,Tbilisi,BP40,WakeShop,Metadon VHQ 1 24/7,True,2,нет,Тбилиси,1 гр,0.0458,31654,12255,1097,500,,,,,,,,,,Metadon VHQ 1 24/7
24,18-02-2020 02:21:46,Tbilisi,P285,Trippyshop,NEW SALE Cocaine HQ 1 гр.,True,5,нет,Тбилиси,1 гр,0.0192,11965,4632,415,189,,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
25,18-02-2020 02:21:46,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,9,нет,Тбилиси,1 гр,0.0192,12598,4877,437,199,,,,,,,,,,VHQ BEST Cocaine 1g.
26,18-02-2020 02:21:46,Tbilisi,0WE,Khachapuri,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,2,нет,Тбилиси,1 гр,0.0169,11079,4289,384,175,,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
27,18-02-2020 02:21:46,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,True,2,нет,Тбилиси,1 гр,0.0188,11965,4632,415,189,,,,,,,,,,Kokain HQ 1g.
28,18-02-2020 02:21:46,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 1g,,3,нет,Тбилиси,1 гр,0.018,11332,4387,393,179,,,,True,,,,,,Kokain KOLUMBIA 1g
29,18-02-2020 02:21:46,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,5,нет,Тбилиси,1 гр,0.0412,28489,11030,987,450,,,,,,,,,,Metadon 1gr
30,18-02-2020 02:21:46,Tbilisi,EYO96,ROCKSHOP,"Метадон, 1gr",True,5,нет,Тбилиси,1 гр,0.0403,25323,9804,878,400,,,,,,,,,,"Metadon, 1gr"
31,18-02-2020 02:22:44,Tbilisi,Y6FO,Opiate,Methadone HQ in city 1.3g,True,2,нет,Тбилиси,1.3 гр,0.0554,34820,13481,1207,550,,,,,,,,,,Methadone HQ in city 1.3g
32,18-02-2020 02:22:44,Tbilisi,LYHBG,Playboy,2 Ecstasy >TEKASHI 69< !!! L I M I T E D !!!,True,2,нет,Тбилиси,2 гр,0.008,5001,1936,173,79,,,,,,,,,,2 Ecstasy >TEKASHI 69< !!! L I M I T E D !!!
33,18-02-2020 02:22:44,Tbilisi,LYHBG,Playboy,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,6,нет,Тбилиси,2 гр,0.008,5001,1936,173,79,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
34,18-02-2020 02:22:44,Tbilisi,OX85,amnesia420,2g PURPLE HAZE Sativa THC 19% / BTC -10%,True,1,нет,Тбилиси,2 гр,0.0069,4748,1838,165,75,,,,,,,,,,2g PURPLE HAZE Sativa THC 19% / BTC -10%
35,18-02-2020 02:22:44,Tbilisi,0WE,Khachapuri,2гр ГАШИШ,True,2,нет,Тбилиси,2 гр,0.0106,6964,2696,241,110,,,,,,,,,,2gr GAShISh
36,18-02-2020 02:22:44,Tbilisi,P285,Trippyshop,Cocaine HQ Высокое качество 2020 SALE 2гр.,True,3,нет,Тбилиси,2 гр,0.0376,23424,9069,812,370,,,,,,,,,,Cocaine HQ Vysokoe kachestvo 2020 SALE 2gr.
37,18-02-2020 02:22:44,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2.0g BTC SALE 5%,True,1,нет,Тбилиси,2 гр,0.035,22475,8701,779,355,,,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5%
38,18-02-2020 02:22:44,Tbilisi,V4QM9,PotHero420,"Godfather OG - (Only Buds, IMPORT) Шишки(всегда подъезд) 2G (BTC sale 10%)",,4,нет,Тбилиси,2 гр,0.0081,5571,2157,193,88,True,,,,,,,,,"Godfather OG - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 2G (BTC sale 10%)"
39,18-02-2020 02:22:44,Tbilisi,Z9UT,Rainbow,KALI MIST 2G,,8,нет,Тбилиси,2 гр,0.0101,6331,2451,219,100,True,,,,,,,,,KALI MIST 2G
40,18-02-2020 02:22:44,Tbilisi,5JG6,BenderMan,Ketamine 2 g,True,1,нет,Тбилиси,2 гр,0.0183,11396,4412,395,180,,,,,,,,,,Ketamine 2 g
41,18-02-2020 02:22:44,Tbilisi,EIH4,San4oPan4o,MDMA from Europe!!! 2g BTC SALE 5%(ПОДЪЕЗД!!!),,3,нет,Тбилиси,2 гр,0.0173,11079,4289,384,175,,True,,,,,,,,MDMA from Europe!!! 2g BTC SALE 5%(POD'EZD!!!)
42,18-02-2020 02:22:44,Tbilisi,72B,CHINATOWN,NZT-52 mind storm limited 2г мука,True,9,нет,Тбилиси,2 гр,0.0201,13928,5392,483,220,,,,,,,,,,NZT-52 mind storm limited 2g muka
43,18-02-2020 02:22:44,Tbilisi,UJP9,420Inc,Pineapple Express 2G pressed buds only (hydro),True,2,нет,Тбилиси,2 гр,0.0084,5381,2083,187,85,,,,,,,,,,Pineapple Express 2G pressed buds only (hydro)
44,18-02-2020 02:22:44,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 2g.,True,2,нет,Тбилиси,2 гр,0.0357,24690,9559,856,390,,,,,,,,,,VHQ BEST Cocaine 2g.
45,18-02-2020 02:22:44,Tbilisi,5LZ,ExtraShop,Кокаин HQ 2г.,True,4,нет,Тбилиси,2 гр,0.0366,23994,9289,832,379,,,,,,,,,,Kokain HQ 2g.
