,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),€,Saburtalo,Дигоми,Авлобари,Батуми,Центр,Кутаиси,desc_en
25,25,11-03-2020 23:43:10,Tbilisi,366326d4d6,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,4,нет,Тбилиси,5 гр,0.0192,11364,4214,369,159.0,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
26,26,11-03-2020 23:43:10,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,4,нет,Тбилиси,5 гр,0.0187,11078,4108,360,155.0,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
27,27,11-03-2020 23:43:10,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0347,22871,8480,743,320.0,,,,,,,,,"5 Grm MDMA , Purity A +++"
28,28,11-03-2020 23:43:10,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),True,3,нет,Тбилиси,5 гр,0.0487,30383,11269,988,,,375.0,,,,,,,5 gr mdma (skidka v bitkoin 5%)
29,29,11-03-2020 23:43:10,Tbilisi,e56bb6ca93,5gr georgian indica (hight quality),True,6,нет,Тбилиси,5 гр,0.0151,9935,3684,323,139.0,True,,,,,,,,5gr georgian indica (hight quality)
30,30,11-03-2020 23:43:10,Tbilisi,be97026d1d,Columbia Cocaine VHQ 5g BTC SALE 5%!!,True,5,4,Тбилиси,5 гр,0.0939,56248,20856,1826,787.0,,,,True,,,,,Columbia Cocaine VHQ 5g BTC SALE 5%!!
31,31,11-03-2020 23:43:10,Tbilisi,0fa6c5b020,Hybrid Weed VHQ (5г) BТС 10% СКИДКА,True,4,нет,Тбилиси,5 гр,0.0184,12150,4505,395,170.0,,,,,,,,,Hybrid Weed VHQ (5g) BTS 10% SKIDKA
32,32,11-03-2020 23:43:10,Tbilisi,366326d4d6,NEW !!! 5G OG KusH !!! NEW,True,3,нет,Тбилиси,5 гр,0.0192,11364,4214,369,159.0,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
33,33,11-03-2020 23:43:10,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,9,нет,Тбилиси,5 гр,0.0071,4646,1723,151,65.0,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
34,34,11-03-2020 23:43:10,Tbilisi,be97026d1d,MDMA from Europe!!! 5g + (0.5g hash подарок !!!!) BTC SALE 5%!!,True,4,4,Тбилиси,5.5 гр,0.0524,31734,11766,1030,444.0,,,,True,,,,,MDMA from Europe!!! 5g + (0.5g hash podarok !!!!) BTC SALE 5%!!
35,35,11-03-2020 23:43:52,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,4,нет,Тбилиси,10 гр,0.0107,7076,2624,230,99.0,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
36,36,11-03-2020 23:43:52,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0457,28589,10600,928,400.0,,,,,,,,,gashish evro 10g
37,37,11-03-2020 23:43:52,Tbilisi,be97026d1d,MDMA from Europe!!! 10g + (1g hash подарок !!!!) BTC SALE 5%!!,True,2,2,Тбилиси,11 гр,0.10099999999999999,60608,22472,1968,848.0,,,,True,,,,,MDMA from Europe!!! 10g + (1g hash podarok !!!!) BTC SALE 5%!!
38,38,11-03-2020 23:43:52,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - TBILISI- 0.27 G,True,8,5,Тбилиси,0.27 гр,0.0325,19297,7155,627,270.0,,,,,,,,,Metadon - (KRISTAL) - VHQ - TBILISI- 0.27 G
39,39,11-03-2020 23:43:52,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2g BTC SALE 5%,True,нет,10,Тбилиси,2 гр,0.0423,25658,9514,833,359.0,,,,,,,,,Columbia Cocaine VHQ 2g BTC SALE 5%
40,40,11-03-2020 23:43:53,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.071,42168,15635,1369,590.0,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
41,41,11-03-2020 23:43:53,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0477,28589,10600,928,400.0,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
42,42,11-03-2020 23:43:53,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0655,39310,14575,1276,550.0,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
43,43,11-03-2020 23:43:53,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,8,Тбилиси,5 гр,0.0186,11150,4134,362,156.0,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
44,44,11-03-2020 23:43:53,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0237,14223,5274,462,199.0,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
45,45,11-03-2020 23:43:53,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0191,11436,4240,371,160.0,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
46,46,11-03-2020 23:43:53,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0237,14223,5274,462,199.0,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
47,47,11-03-2020 23:43:53,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,2,Тбилиси,5 гр,0.0237,14223,5274,462,199.0,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
48,48,11-03-2020 23:43:53,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,9,Тбилиси,5 гр,0.0173,10363,3843,337,145.0,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
49,49,11-03-2020 23:43:53,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0237,15652,5804,508,219.0,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
50,50,11-03-2020 23:43:53,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),True,нет,5,Тбилиси,5 гр,0.0722,42883,15900,1392,600.0,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
51,51,11-03-2020 23:43:53,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.0179,10721,3975,348,150.0,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
52,52,11-03-2020 23:43:53,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,15,Тбилиси,5 гр,0.0217,14294,5300,464,200.0,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
53,53,11-03-2020 23:43:53,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2879,190000,87429,6120,,,,,,,,,,reagent 25i nbome. 5gr
54,54,11-03-2020 23:43:53,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.325,214416,79500,6962,3000.0,True,,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
55,55,11-03-2020 23:43:53,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,3,Тбилиси,5 гр,0.1034,61394,22764,1994,859.0,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
56,56,11-03-2020 23:43:53,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,3,Тбилиси,5 гр,0.0223,13222,4903,429,185.0,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
57,57,11-03-2020 23:43:53,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0588,34950,12959,1135,489.0,,,,,,,,,💘✨5g. MDMA ✨💘
