,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Didube,Gldani,Vake,Old Tbilisi (Старый город),Авлобари,Varketili,Батуми,Центр,desc_en
41,41,07-07-2020 11:30:29,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,,нет,3,Тбилиси,5 гр,0.0287,19262,7344,657,,True,270.0,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
42,42,07-07-2020 11:30:29,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,,нет,2,Тбилиси,5 гр,0.2571,190000,87429,6463,,True,,,,,,,,,,reagent 25i nbome. 5gr
43,43,07-07-2020 11:30:29,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,,нет,2,Тбилиси,5 гр,0.2897,214023,81600,7300,,,3000.0,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
44,44,07-07-2020 11:30:29,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,,нет,1,Тбилиси,10 гр,0.0956,64207,24480,2190,,True,900.0,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
45,45,07-07-2020 11:30:29,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,,нет,10,Тбилиси,10 гр,0.0584,39238,14960,1338,,True,550.0,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
46,46,07-07-2020 11:30:29,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,,нет,2,Тбилиси,10 гр,0.0743,49939,19040,1703,,True,700.0,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
47,47,07-07-2020 11:30:29,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,,нет,5,Тбилиси,10 гр,0.0446,29963,11424,1022,,True,420.0,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
48,48,07-07-2020 11:30:29,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,,нет,3,Тбилиси,10 гр,0.085,57073,21760,1947,,True,800.0,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
49,49,07-07-2020 11:30:29,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,,нет,1,Тбилиси,10 гр,0.2363,158734,60520,5414,,True,2225.0,,,,,,,,,Amfetamin [White] [Import] 10G
50,50,07-07-2020 11:30:29,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,,нет,1,Тбилиси,11 гр,0.0472,31418,11973,1072,390.0,True,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
51,51,07-07-2020 11:30:29,Tbilisi,cb721d4bca,100 gr marijuana buds,,,нет,1,Тбилиси,100 гр,0.2549,171218,65280,5840,,True,2400.0,,,,,,,,,100 gr marijuana buds
52,52,07-07-2020 11:30:29,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,,1,1,Тбилиси,100 гр,0.2655,178352,68000,6083,,True,2500.0,,,,,,,,,Marihuana [Shishki] [Gali] 100G
53,53,07-07-2020 11:30:29,Tbilisi,69672fee0d,180 gr марихуана персоално,,,нет,1,Тбилиси,180 гр,0.6266,420911,160480,14356,,True,5900.0,,,,,,,,,180 gr marihuana persoalno
54,54,07-07-2020 11:30:29,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,,нет,3,Тбилиси,10000 гр,0.9028,606398,231200,20682,,True,8500.0,,,,,,,,,10000sht marki 25i-nbome. predoplata
55,55,07-07-2020 11:30:29,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,,2,нет,Тбилиси,1 гр,0.0193,14268,5440,487,,True,200.0,,,,,,,,,KURYER..500RUB.+BONUS
56,56,07-07-2020 11:30:29,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,,1,нет,Тбилиси,1 гр,0.0266,17835,6800,608,,True,250.0,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
57,57,07-07-2020 11:30:29,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,,нет,1,Тбилиси,1 гр,0.0212,14268,5440,487,,True,200.0,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
