,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Old Tbilisi (Старый город),Didube,€,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,09-04-2020 20:57:00,Tbilisi,54915c4374,MDMA 0.4 грам.,True,1,нет,Тбилиси,0.4 гр,0.0079,4849,1788,166,65.0,,,,,,,,,MDMA 0.4 gram.
1,1,09-04-2020 20:57:00,Tbilisi,99accec7c7,MDMA 0.5gr огромные камни! НУЖЕН КУРЬЕР,True,2,нет,Тбилиси,0.5 гр,0.01,5595,2063,191,75.0,,,,,,,,,MDMA 0.5gr ogromnye kamni! NUZhEN KUR'ER
2,2,09-04-2020 20:57:00,Tbilisi,2f51af8159,SUPER HIGH QUALITY HYBRID BUDS PRESSED 0.5G,,1,нет,Тбилиси,0.5 гр,0.004,2238,825,77,30.0,True,,,,,,,,SUPER HIGH QUALITY HYBRID BUDS PRESSED 0.5G
3,3,09-04-2020 20:57:00,Tbilisi,dd631c4acf,☃️ 0.5g HQ COCAINE ☃️,True,3,нет,Тбилиси,0.5 гр,0.0147,8132,2998,278,109.0,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
4,4,09-04-2020 20:57:00,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,2,нет,Тбилиси,1 гр,0.0073,4476,1650,153,60.0,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
5,5,09-04-2020 20:57:00,Tbilisi,cb721d4bca,1 гр листя плус галовки марихуана,True,4,нет,Тбилиси,1 гр,0.004,2238,825,77,30.0,,,,,,,,,1 gr listja plus galovki marihuana
6,6,09-04-2020 20:57:00,Tbilisi,e56bb6ca93,1g zkittlez auto. 420 Strain. LIMITED!,True,1,нет,Тбилиси,1 гр,0.0063,3506,1293,120,47.0,,,,,,,,,1g zkittlez auto. 420 Strain. LIMITED!
7,7,09-04-2020 20:57:00,Tbilisi,2f51af8159,Georgian Ganja Buds 1 G Medium Quality,,1,нет,Тбилиси,1 гр,0.0044,2462,908,84,33.0,True,,,,,,,,Georgian Ganja Buds 1 G Medium Quality
8,8,09-04-2020 20:57:00,Tbilisi,99accec7c7,HEROINE-999 1 гр из авганистана! скидка при покупке BTC,,5,нет,Тбилиси,1 гр,0.0802,44763,16500,1531,600.0,True,,,,,,,,HEROINE-999 1 gr iz avganistana! skidka pri pokupke BTC
9,9,09-04-2020 20:57:00,Tbilisi,99accec7c7,METHADONE 1gr! SALE SALE SALE! THE BEST QUALITY VHQ!,,1,нет,Тбилиси,1 гр,0.0936,52224,19250,1786,700.0,True,,,,,,,,METHADONE 1gr! SALE SALE SALE! THE BEST QUALITY VHQ!
10,10,09-04-2020 20:57:00,Tbilisi,2f51af8159,Super Quality Mango Haze Hybrid 1 Gram,,1,нет,Тбилиси,1 гр,0.0072,4029,1485,138,54.0,True,,,,,,,,Super Quality Mango Haze Hybrid 1 Gram
11,11,09-04-2020 20:57:00,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,4,нет,Тбилиси,1 гр,0.025,14100,5198,482,189.0,,,,,,,,,Kokain HQ 1g.
12,12,09-04-2020 20:57:00,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1094,67145,24750,2296,900.0,,,,,,,,,Metadon 1gr
13,13,09-04-2020 20:57:00,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,6,нет,Тбилиси,1 гр,0.0024,1492,550,51,20.0,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
14,14,09-04-2020 20:57:00,Tbilisi,83f3d55917,19% ТГК Шишки Northern Lights 1.1г Скидка 3% через БИТКОИН,,4,нет,Тбилиси,1.1 гр,0.0059,3357,1238,115,45.0,,True,,,,,,,19% TGK Shishki Northern Lights 1.1g Skidka 3% cherez BITKOIN
15,15,09-04-2020 20:57:00,Tbilisi,bb1791277e,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,True,12,нет,Тбилиси,2 гр,0.0092,5148,1898,176,69.0,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
16,16,09-04-2020 20:57:00,Tbilisi,4659482266,2g super Skunk top class buds. Indica,,3,нет,Тбилиси,2 гр,0.0107,5894,2173,202,79.0,True,,,,,,,,2g super Skunk top class buds. Indica
17,17,09-04-2020 20:57:00,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,2,нет,Тбилиси,2 гр,0.0095,5222,1925,179,70.0,,,,,,,,,2x Extasy Duracell 223mg MDMA.
18,18,09-04-2020 20:57:00,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 2 штуки!!!,True,8,нет,Тбилиси,2 гр,0.0043,2611,963,89,35.0,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 2 shtuki!!!
19,19,09-04-2020 20:57:00,Tbilisi,d04eeb6525,Кокаин HQ 2г.,True,1,нет,Тбилиси,2 гр,0.0486,28275,10423,967,379.0,,,,,,,,,Kokain HQ 2g.
20,20,09-04-2020 20:57:00,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome. 2шт. готовые клады в Грузии от производителя!,True,2,нет,Тбилиси,2 гр,0.0043,2611,963,89,35.0,True,,,,,,,,Moschnye zhirnye marki 25i nbome. 2sht. gotovye klady v Gruzii ot proizvoditelja!
21,21,09-04-2020 20:57:00,Tbilisi,4c4ab8c0de,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨,,4,нет,Тбилиси,2 гр,0.0107,5968,2200,204,80.0,,,True,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨
22,22,09-04-2020 20:57:00,Tbilisi,4659482266,Marijuana Super Skunk leaves 3g plan,,1,нет,Тбилиси,3 гр,0.0047,2611,963,89,35.0,True,,,,,,,,Marijuana Super Skunk leaves 3g plan
23,23,09-04-2020 20:57:00,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,2,нет,Тбилиси,5 гр,0.0411,23874,8800,816,320.0,,,,,,,,,"5 Grm MDMA , Purity A +++"
24,24,09-04-2020 20:57:00,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,3,нет,Тбилиси,5 гр,0.0397,22382,8250,765,300.0,,,,,,,,,5 Grm Mdma Pure Quality A +++
25,25,09-04-2020 20:57:00,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (hight quality),True,7,нет,Тбилиси,5 гр,0.0179,9997,3685,342,134.0,,,,,,,,,5gr marijuana buds -indica- (hight quality)
