,time_stamp,region,sell_code,sell_name,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Old Tbilisi (Старый город),Saburtalo,Didube,Авлобари,Vake,Varketili,Батуми,Центр,Кутаиси,desc_en
0,16-07-2020 10:17:17,Tbilisi,EIH4,San4oPan4o,!!! Iranian Sirec 0.30g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,2,нет,Тбилиси,0.3 гр,0.0116,8003,3085,272,99,,,,,,,,,,,,!!! Iranian Sirec 0.30g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,16-07-2020 10:17:17,Tbilisi,JVZTQ,partyshop,1 Amnesia Haze марихуана шишки тгк 25%,,13,нет,Тбилиси,1 гр,0.0063,4248,1641,144,,True,60,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
2,16-07-2020 10:17:17,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds,,1,нет,Тбилиси,1 гр,0.0062,4177,1614,142,,True,59,,,,,,,,,,1 G Hybrid Marijuana Buds
3,16-07-2020 10:17:17,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,15,нет,Тбилиси,1 гр,0.0063,4248,1641,144,,True,60,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
4,16-07-2020 10:17:17,Tbilisi,03F3,geoshop,1 gr Amnesia Haze шишки импорт с европы тгк 28%,,3,нет,Тбилиси,1 гр,0.0063,4248,1641,144,,True,60,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
5,16-07-2020 10:17:17,Tbilisi,SF03,CRAZYFROG,1 gr top buds white widow wишки THC 25% VHQ,,5,нет,Тбилиси,1 гр,0.0062,4177,1614,142,,True,59,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
6,16-07-2020 10:17:17,Tbilisi,03F3,geoshop,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,3,нет,Тбилиси,1 гр,0.0063,4248,1641,144,,True,60,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
7,16-07-2020 10:17:17,Tbilisi,3Y9,HIGHTHC,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,7,нет,Тбилиси,1 гр,0.0062,4177,1614,142,,True,59,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
8,16-07-2020 10:17:17,Tbilisi,ABOAB,ProGrow,1G ---> Big Devil (BTC - Sale),,9,нет,Тбилиси,1 гр,0.0052,3540,1368,120,,True,50,,,,,,,,,,1G ---> Big Devil (BTC - Sale)
9,16-07-2020 10:17:17,Tbilisi,7LHWP,GEOBUDS,1gr HYBRID o.g,,1,нет,Тбилиси,1 гр,0.0051,3469,1340,118,,True,49,,,,,,,,,,1gr HYBRID o.g
10,16-07-2020 10:17:17,Tbilisi,BB6E,WEEDSH0P,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,,2,нет,Тбилиси,1 гр,0.0063,4248,1641,144,,True,60,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
