,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,€,Vazisubani,Saburtalo,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,02-06-2020 23:18:32,Tbilisi,52fe6d0af9,RickNMorty's Hybrid's Buds ONLY high THc 0.5,True,1,нет,Тбилиси,0.5 гр,0.0031,2070,807,72,30.0,,,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
1,1,02-06-2020 23:18:32,Tbilisi,4a91350669,1 г шишки марихуана индика тгк 21% VHQ,True,4,нет,Тбилиси,1 гр,0.0042,2759,1076,96,40.0,,,,,,,,,,1 g shishki marihuana indika tgk 21% VHQ
2,2,02-06-2020 23:18:32,Tbilisi,69672fee0d,1 гр INDICA марихуана шишки тгк 21% VHQ!!,True,3,нет,Тбилиси,1 гр,0.0041,2690,1049,94,39.0,,,,,,,,,,1 gr INDICA marihuana shishki tgk 21% VHQ!!
3,3,02-06-2020 23:18:32,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0853,62085,24210,2161,900.0,,,,,,,,,,Metadon 1gr
4,4,02-06-2020 23:18:32,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,True,1,нет,Тбилиси,1 гр,0.0252,16487,6429,574,239.0,,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
5,5,02-06-2020 23:18:32,Tbilisi,be97026d1d,!!! Iranian Sirec 1.5g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,,1,нет,Тбилиси,1.5 гр,0.0739,49906,19533,1738,,True,650.0,,,,,,,,!!! Iranian Sirec 1.5g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
6,6,02-06-2020 23:18:32,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,True,1,нет,Тбилиси,3 гр,0.0125,8209,3201,286,119.0,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
7,7,02-06-2020 23:18:32,Tbilisi,0dec0e1c48,3 gr georgian weed. Package on magnet,True,2,нет,Тбилиси,3 гр,0.0091,6002,2340,209,87.0,,,,,,,,,,3 gr georgian weed. Package on magnet
8,8,02-06-2020 23:18:32,Tbilisi,8528108b62,4g.марихуана шишки white widow,True,2,нет,Тбилиси,4 гр,0.0185,13452,5246,468,195.0,,,,,,,,,,4g.marihuana shishki white widow
9,9,02-06-2020 23:18:32,Tbilisi,ef3dc4de6c,Extasy GUCCI 4 шт. вес таблетки 450mg,True,2,нет,Тбилиси,4 гр,0.0112,7381,2878,257,107.0,,,,,,,,,,Extasy GUCCI 4 sht. ves tabletki 450mg
10,10,02-06-2020 23:18:32,Tbilisi,97d5fcd29b,Suboxene 4mg,True,2,нет,Тбилиси,4 гр,0.0055,3794,1480,132,55.0,,,,,,,,,,Suboxene 4mg
11,11,02-06-2020 23:18:32,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,2,нет,Тбилиси,5 гр,0.031,20695,8070,720,300.0,,,,,,,,,,5 Grm Mdma Pure Quality A +++
12,12,02-06-2020 23:18:32,Tbilisi,0dec0e1c48,5 gr georgian weed. Package on magnet,True,10,нет,Тбилиси,5 гр,0.0145,9589,3739,334,139.0,,,,,,,,,,5 gr georgian weed. Package on magnet
13,13,02-06-2020 23:18:32,Tbilisi,8528108b62,5g. марихуана шишки Critical,True,3,нет,Тбилиси,5 гр,0.0227,16556,6456,576,240.0,,,,,,,,,,5g. marihuana shishki Critical
14,14,02-06-2020 23:18:32,Tbilisi,bb1791277e,5gr NORTHEN LIGHTS marijuana LEAVES листя если платите с бтк скидка 10% !!,True,10,нет,Тбилиси,5 гр,0.0062,4070,1587,142,59.0,,,,,,,,,,5gr NORTHEN LIGHTS marijuana LEAVES listja esli platite s btk skidka 10% !!
15,15,02-06-2020 23:18:32,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,2,нет,Тбилиси,5 гр,0.0184,12072,4708,420,175.0,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
