,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Gldani,Vazisubani,Varketili,Didube,€,Saburtalo,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,26-05-2020 12:39:36,Tbilisi,52fe6d0af9,VHQ Tutankhamon Buds ONLY high THc 0.5,True,14,нет,Тбилиси,0.5 гр,0.0032,2148,812,72,30.0,,,,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 0.5
1,1,26-05-2020 12:39:36,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано 0.5г.,,3,нет,Тбилиси,0.5 гр,0.0031,2076,784,70,29.0,True,,,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
2,2,26-05-2020 12:39:36,Tbilisi,52fe6d0af9,VHQ Tutankhamon Buds ONLY high THc 1 Gr,True,7,нет,Тбилиси,1 гр,0.0056,3723,1407,125,52.0,,,,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 1 Gr
3,3,26-05-2020 12:39:36,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0885,64437,24345,2160,900.0,,,,,,,,,,,,,Metadon 1gr
4,4,26-05-2020 12:39:36,Tbilisi,0dec0e1c48,2gr HYBRID buds,,13,нет,Тбилиси,2 гр,0.0095,6300,2380,211,88.0,,True,,,,,,,,,,,2gr HYBRID buds
5,5,26-05-2020 12:39:36,Tbilisi,89f7212915,3 G Hybrid Marijuana Big Buds,True,4,нет,Тбилиси,3 гр,0.0141,9308,3517,312,130.0,,,,,,,,,,,,,3 G Hybrid Marijuana Big Buds
6,6,26-05-2020 12:39:36,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,4,нет,Тбилиси,3 гр,0.0115,7518,2840,252,105.0,,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
7,7,26-05-2020 12:39:36,Tbilisi,ef3dc4de6c,Extasy GUCCI 4 шт. вес таблетки 450mg,True,1,нет,Тбилиси,4 гр,0.0116,7661,2894,257,107.0,,,,,,,,,,,,,Extasy GUCCI 4 sht. ves tabletki 450mg
8,8,26-05-2020 12:39:36,Tbilisi,0dec0e1c48,5 gr georgian weed. Package on magnet,True,2,нет,Тбилиси,5 гр,0.015,9952,3760,334,139.0,,,True,,,,,,,,,,5 gr georgian weed. Package on magnet
9,9,26-05-2020 12:39:36,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),True,11,нет,Тбилиси,5 гр,0.0129,8520,3219,286,119.0,,,True,True,,,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
10,10,26-05-2020 12:39:36,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,5 гр,0.0191,12529,4734,420,175.0,,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
