,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Varketili,Old Tbilisi (Старый город),Авлобари,€,Didube,Vake,Центр,Батуми,desc_en
21,21,03-08-2020 08:22:23,Tbilisi,0dec0e1c48,1gr HYBRID o.g,True,12,нет,Тбилиси,1 гр,0.0043,3598,1365,119,49.0,,,,,,,,,,,1gr HYBRID o.g
22,22,03-08-2020 08:22:23,Tbilisi,e56bb6ca93,1гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),True,4,нет,Тбилиси,1 гр,0.0043,3598,1365,119,49.0,,,,,,,,,,,1gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
23,23,03-08-2020 08:22:23,Tbilisi,22610cd7c4,Amsterdam weed sativa 1гр,True,14,нет,Тбилиси,1 гр,0.0041,3378,1282,112,46.0,,,,,,,,,,,Amsterdam weed sativa 1gr
24,24,03-08-2020 08:22:23,Tbilisi,f25c0d6c5c,Auto Amnesia Haze 1 gr,True,18,нет,Тбилиси,1 гр,0.0035,3000,1380,99,,,,,,,,,,,,Auto Amnesia Haze 1 gr
25,25,03-08-2020 08:22:23,Tbilisi,ae784bef73,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G,True,4,нет,Тбилиси,1 гр,0.0051,4259,1616,141,58.0,,,,,,,,,,,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G
26,26,03-08-2020 08:22:23,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 1G,True,2,нет,Тбилиси,1 гр,0.0044,3671,1393,122,50.0,,,,,,,,,,,VHQ Hybrid MJ Buds 1G
27,27,03-08-2020 08:22:23,Tbilisi,7c395c455d,3 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,3,нет,Тбилиси,1.5 гр,0.0132,11014,4179,366,150.0,,,,,,,,,,,3 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
28,28,03-08-2020 08:22:23,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,True,1,нет,Тбилиси,2 гр,0.0106,8811,3343,293,120.0,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
29,29,03-08-2020 08:22:23,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,1,нет,Тбилиси,2 гр,0.0106,8811,3343,293,120.0,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
30,30,03-08-2020 08:22:23,Tbilisi,ae784bef73,Maserati (ecstasy) 2шт,True,6,нет,Тбилиси,2 гр,0.0088,7343,2786,244,100.0,,,,,,,,,,,Maserati (ecstasy) 2sht
31,31,03-08-2020 08:22:23,Tbilisi,7c395c455d,5 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 2g,True,10,нет,Тбилиси,2.2 гр,0.022000000000000002,18357,6965,609,250.0,,,,,,,,,,,5 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 2g
32,32,03-08-2020 08:22:23,Tbilisi,4a91350669,3 ecstasy red maseratti VHQ екстази импорт с США,True,3,нет,Тбилиси,3 гр,0.0132,11014,4179,366,150.0,,,,,,,,,,,3 ecstasy red maseratti VHQ ekstazi import s SShA
33,33,03-08-2020 08:22:23,Tbilisi,c47f675e02,3 gram + skunk auto шишки,,1,нет,Тбилиси,3 гр,0.0114,9913,3761,329,135.0,,,True,,,,,,,,3 gram + skunk auto shishki
34,34,03-08-2020 08:22:23,Tbilisi,c47f675e02,Lsd-25 шишки 3gram,True,2,нет,Тбилиси,3 гр,0.0123,10647,4040,353,145.0,,,,,,,,,,,Lsd-25 shishki 3gram
35,35,03-08-2020 08:23:44,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 3gramm,True,3,нет,Тбилиси,3 гр,0.0072,6608,2507,219,90.0,,,,,,,,,,,Northern Lights Regular [budsonly] 3gramm
36,36,03-08-2020 08:23:44,Tbilisi,4a91350669,5 ecstasy red maseratti VHQ екстази импорт с США,True,6,нет,Тбилиси,5 гр,0.022000000000000002,18357,6965,609,250.0,,,,,,,,,,,5 ecstasy red maseratti VHQ ekstazi import s SShA
37,37,03-08-2020 08:23:44,Tbilisi,c47f675e02,LSD-25 шишки 10gram,True,1,нет,Тбилиси,10 гр,0.0398,34510,13094,1146,470.0,,,,,,,,,,,LSD-25 shishki 10gram
38,38,03-08-2020 08:23:44,Tbilisi,c47f675e02,Super Skunk auto 10gram,True,1,нет,Тбилиси,10 гр,0.0316,27461,10420,912,374.0,,,,,,,,,,,Super Skunk auto 10gram
39,39,03-08-2020 08:23:44,Tbilisi,52fe6d0af9,VHQ Methadon 1G max 12 Hours for adrss,True,нет,1,Тбилиси,1 гр,0.0881,73426,27860,2438,1000.0,,,,,,,,,,,VHQ Methadon 1G max 12 Hours for adrss
40,40,03-08-2020 08:23:44,Tbilisi,7c395c455d,10 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,2,Тбилиси,4.4 гр,0.0423,35245,13373,1170,480.0,,,,,,,,,,,10 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
41,41,03-08-2020 08:23:44,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.022000000000000002,18357,6965,609,250.0,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
42,42,03-08-2020 08:23:44,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0238,19825,7522,658,270.0,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
43,43,03-08-2020 08:23:44,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0242,20192,7662,670,275.0,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
44,44,03-08-2020 08:23:44,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0212,17622,6686,585,240.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
45,45,03-08-2020 08:23:44,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,6,Тбилиси,5 гр,0.0247,20559,7801,683,280.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
46,46,03-08-2020 08:23:44,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0238,19825,7522,658,270.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
47,47,03-08-2020 08:23:44,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0175,16080,6101,534,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
48,48,03-08-2020 08:23:44,Tbilisi,3c9bc6f8e9,"Gorilla Breath - photoperiod, feminised 5гр",True,нет,2,Тбилиси,5 гр,0.0192,17622,6686,585,240.0,,,,,,,,,,,"Gorilla Breath - photoperiod, feminised 5gr"
49,49,03-08-2020 08:23:44,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 5гр",True,нет,1,Тбилиси,5 гр,0.0192,17622,6686,585,240.0,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
50,50,03-08-2020 08:23:44,Tbilisi,ae784bef73,NEW ! Silver Haze NEW ! HQ BUDS 5G,True,нет,3,Тбилиси,5 гр,0.0207,17255,6547,573,235.0,,,,,,,,,,,NEW ! Silver Haze NEW ! HQ BUDS 5G
51,51,03-08-2020 08:23:44,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0238,19825,7522,658,270.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
52,52,03-08-2020 08:23:44,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2073,190000,87429,6300,,,,,,,,,,,,reagent 25i nbome. 5gr
53,53,03-08-2020 08:23:44,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2404,220278,83580,7313,3000.0,,,,True,True,,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
54,54,03-08-2020 08:23:44,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0485,40384,15323,1341,550.0,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
55,55,03-08-2020 08:23:44,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0617,51398,19502,1706,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
56,56,03-08-2020 08:23:44,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.037000000000000005,30839,11701,1024,420.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
57,57,03-08-2020 08:23:44,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0705,58741,22288,1950,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
58,58,03-08-2020 08:23:44,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (10 грамм)",True,нет,5,Тбилиси,10 гр,0.037000000000000005,30839,11701,1024,420.0,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
59,59,03-08-2020 08:23:44,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.1961,163373,61989,5423,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
60,60,03-08-2020 08:23:44,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,True,нет,5,Тбилиси,10 гр,0.0465,38407,14524,1276,,,,,,,440.0,,,,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
61,61,03-08-2020 08:23:44,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,3,Тбилиси,11 гр,0.0412,34043,12874,1131,,,,,,,390.0,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
62,62,03-08-2020 08:23:44,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",True,нет,1,Тбилиси,15 гр,0.0521,47727,18109,1584,650.0,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
63,63,03-08-2020 08:23:44,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2115,176223,66864,5850,2400.0,,,,,,,,,,,100 gr marijuana buds
64,64,03-08-2020 08:23:44,Tbilisi,8ddca45a78,"Weed cooking butter 100gr, Hight THC",True,нет,1,Тбилиси,100 гр,0.0087,7269,2758,241,99.0,,,,,,,,,,,"Weed cooking butter 100gr, Hight THC"
65,65,03-08-2020 08:23:44,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2203,183565,69650,6094,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
66,66,03-08-2020 08:23:44,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.52,433214,164374,14381,5900.0,,,,,,,,,,,180 gr marihuana persoalno
67,67,03-08-2020 08:23:44,Tbilisi,9610a68a0a,GABAGAMA 250 shtuk,,нет,5,Тбилиси,250 гр,0.0216,18000,8283,597,,,,,,,,True,,,,GABAGAMA 250 shtuk
68,68,03-08-2020 08:23:44,Tbilisi,16be2c8499,500 шт. марки 25i nbome. готовый клад в Тбилиси.,,нет,3,Тбилиси,500 гр,0.0881,73426,27860,2438,1000.0,True,,True,,True,,,,,,500 sht. marki 25i nbome. gotovyj klad v Tbilisi.
69,69,03-08-2020 08:24:49,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.7493,624122,236810,20719,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
70,70,03-08-2020 08:24:49,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.016,14685,5572,488,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
71,71,03-08-2020 08:24:49,Tbilisi,e771f4c371,Работа курьер в Тбилиси 15 лари на клад толка марихуана,,1,нет,Тбилиси,1 гр,0.022000000000000002,18357,6965,609,250.0,True,,,,,,,,,,Rabota kur'er v Tbilisi 15 lari na klad tolka marihuana
72,72,03-08-2020 08:24:49,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.022000000000000002,18357,6965,609,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
73,73,03-08-2020 08:24:49,Tbilisi,f374062dcd,Курьер Фасовщик залог обязательно 600$ 5гр,True,1,нет,Тбилиси,5 гр,0.0481,44056,16716,1463,600.0,,,,,,,,,,,Kur'er Fasovschik zalog objazatel'no 600$ 5gr
74,74,03-08-2020 08:24:49,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0176,14685,5572,488,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
75,75,03-08-2020 08:24:49,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.022000000000000002,18357,6965,609,250.0,,,,,,,,,,,Rabota na marki (kur'er)
76,76,03-08-2020 08:24:49,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,True,нет,1,Тбилиси,5 гр,0.0441,36713,13930,1219,500.0,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
77,77,03-08-2020 08:24:49,Tbilisi,ccc85b93d8,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | работат куриерам ЗП 5-20$ за адресс залог 500$,True,нет,1,Тбилиси,10 гр,0.0441,36713,13930,1219,500.0,,,,,,,,,,,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | rabotat kurieram ZP 5-20$ za adress zalog 500$
