,time_stamp,region,sell_code,sell_name,description,Old Tbilisi (Старый город),готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Vake,$,Тбилиси,Saburtalo,Nadzaladevi,Авлобари,Батуми,Центр,Кутаиси,desc_en
22,14-06-2020 11:17:19,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0235,15898,6187,547,,,230,True,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
23,14-06-2020 11:17:19,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0203,15138,5891,521,,,219,True,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
24,14-06-2020 11:17:19,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - INDICA - 5 G.,,нет,2,Тбилиси,5 гр,0.0258,17280,6725,595,,,250,True,,,,,,,MARIXYANA - INDICA - 5 G.
25,14-06-2020 11:17:19,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.024,16244,6322,559,,,235,True,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
26,14-06-2020 11:17:19,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.255,190000,87429,6482,,,,True,,,,,,,reagent 25i nbome. 5gr
27,14-06-2020 11:17:19,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,True,нет,2,Тбилиси,5 гр,0.2783,207366,80700,7134,,,3000,,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
28,14-06-2020 11:17:19,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,8,Тбилиси,5 гр,0.0988,66288,25797,2281,,,959,True,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
29,14-06-2020 11:17:19,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,9,Тбилиси,5 гр,0.0196,13133,5111,452,,,190,True,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
30,14-06-2020 11:17:19,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,,нет,10,Тбилиси,5 гр,0.0504,33801,13154,1163,,,489,True,,,,,,,💘✨5g. MDMA ✨💘
31,14-06-2020 11:17:19,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0918,62210,24210,2140,,,900,True,,,,,,,10 gr mdma Kristally ochen silni import s evropi
32,14-06-2020 11:17:19,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0408,27649,10760,951,,,400,True,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
33,14-06-2020 11:17:19,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0714,48385,18830,1665,,,700,True,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
34,14-06-2020 11:17:44,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0714,48385,18830,1665,,,700,True,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
35,14-06-2020 11:17:44,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0429,29031,11298,999,,,420,True,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
