,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Varketili,Saburtalo,Gldani,Дигоми,€,Old Tbilisi (Старый город),Авлобари,Vake,Батуми,Центр,desc_en
0,23-07-2020 07:38:29,Tbilisi,7LHWP,GEOBUDS,0.5 gr HYBRID buds,True,10,нет,Тбилиси,0.5 гр,0.0034,2336,927,79,33,,,,,,,,,,,0.5 gr HYBRID buds
1,23-07-2020 07:38:29,Tbilisi,5LZ,ExtraShop,Hybrid Bomba 0.5г TOP BUDS,True,1,нет,Тбилиси,0.5 гр,0.0027,2053,815,69,29,,,,,,,,,,,Hybrid Bomba 0.5g TOP BUDS
2,23-07-2020 07:38:29,Tbilisi,X4ZM,ZYX,NEW ! Afghan HQ buds ! NEW ! 0.5G,True,3,нет,Тбилиси,0.5 гр,0.0035,2407,955,81,34,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 0.5G
3,23-07-2020 07:38:29,Tbilisi,X4ZM,ZYX,NEW! ГАШИШ ! NEW ! 0.5G,True,9,нет,Тбилиси,0.5 гр,0.0046,3185,1264,107,45,,,,,,,,,,,NEW! GAShISh ! NEW ! 0.5G
4,23-07-2020 07:38:29,Tbilisi,9CK,Hyperboy,VHQ Hybrid MJ Buds 0.5G,True,1,нет,Тбилиси,0.5 гр,0.0034,2336,927,79,33,,,,,,,,,,,VHQ Hybrid MJ Buds 0.5G
5,23-07-2020 07:38:29,Tbilisi,9CK,Hyperboy,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 0.5G🍭🍭🍭,True,3,нет,Тбилиси,0.5 гр,0.0067,4601,1826,155,65,True,,,,,,,,,,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 0.5G🍭🍭🍭
6,23-07-2020 07:38:29,Tbilisi,BB6E,WEEDSH0P,1 gr super lemon haze пробник,True,2,нет,Тбилиси,1 гр,0.0061,4177,1657,141,59,,,,,,,,,,,1 gr super lemon haze probnik
7,23-07-2020 07:38:29,Tbilisi,7R3WM,RastaShop,1.0 gr. Afghan kush (Indika),,3,нет,Тбилиси,1 гр,0.0054,3752,1489,126,53,,True,,,,,,,,,1.0 gr. Afghan kush (Indika)
8,23-07-2020 07:38:29,Tbilisi,ABOAB,ProGrow,1G ---> Big Devil (BTC - Sale),,2,нет,Тбилиси,1 гр,0.0054,3752,1489,126,53,,True,,,,,,,,,1G ---> Big Devil (BTC - Sale)
9,23-07-2020 07:38:29,Tbilisi,7LHWP,GEOBUDS,1gr HYBRID o.g,True,10,нет,Тбилиси,1 гр,0.005,3469,1376,117,49,,,,,,,,,,,1gr HYBRID o.g
10,23-07-2020 07:38:29,Tbilisi,QVK5,Galiak,Gorilla Glue 1G Super strong weed LIMITED,True,2,нет,Тбилиси,1 гр,0.0062,4247,1685,143,60,,,True,,,,,,,,Gorilla Glue 1G Super strong weed LIMITED
11,23-07-2020 07:38:29,Tbilisi,5LZ,ExtraShop,Hybrid Bomba 1 г. TOP BUDS,True,2,нет,Тбилиси,1 гр,0.0051,3893,1545,131,55,,,,,,,,,,,Hybrid Bomba 1 g. TOP BUDS
12,23-07-2020 07:38:29,Tbilisi,QVK5,Galiak,уро / Hammer 1G 100% Center Buds! центровки !! LIMITED,True,3,нет,Тбилиси,1 гр,0.0072,4955,1966,167,70,,,True,,,,,,,,uro / Hammer 1G 100% Center Buds! tsentrovki !! LIMITED
13,23-07-2020 07:38:29,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,,1,нет,Тбилиси,2 гр,0.0112,7716,3062,260,109,,True,,,,,,,,,2 G Hybrid Marijuana Buds
14,23-07-2020 07:38:29,Tbilisi,BB6E,WEEDSH0P,"2 g Super Lemon Haze auto , марихуана BUDS thc 25% если платите с бтк скидка .5%",True,5,нет,Тбилиси,2 гр,0.0113,7787,3090,262,110,,,,,,,,,,,"2 g Super Lemon Haze auto , marihuana BUDS thc 25% esli platite s btk skidka .5%"
15,23-07-2020 07:38:29,Tbilisi,03F3,geoshop,2 gr Amnesia Haze шишки импорт с европы тгк 28%,True,5,нет,Тбилиси,2 гр,0.0123,8495,3371,286,120,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
16,23-07-2020 07:38:29,Tbilisi,BB6E,WEEDSH0P,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,True,3,нет,Тбилиси,2 гр,0.0123,8495,3371,286,120,,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
17,23-07-2020 07:38:29,Tbilisi,SF03,CRAZYFROG,2 gr top buds white widow wишки THC 25% VHQ,True,2,нет,Тбилиси,2 гр,0.0113,7787,3090,262,110,,,,,,,,,,,2 gr top buds white widow wishki THC 25% VHQ
18,23-07-2020 07:38:29,Tbilisi,3Y9,HIGHTHC,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,1,нет,Тбилиси,2 гр,0.0103,7079,2809,239,100,,,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
19,23-07-2020 07:38:29,Tbilisi,BB6E,WEEDSH0P,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,True,4,нет,Тбилиси,2 гр,0.0123,8495,3371,286,120,,,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
20,23-07-2020 07:38:29,Tbilisi,03F3,geoshop,5 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 2g,True,8,нет,Тбилиси,2 гр,0.0205,14158,5618,477,200,,,,,,,,,,,5 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 2g
21,23-07-2020 07:38:29,Tbilisi,XUYA,MRweed,"Amnesia Haze (photoperiod, regular) 2 гр. Спокойно, Надёжно, Качественно.",True,3,нет,Тбилиси,2 гр,0.0103,7787,3090,262,110,,,,True,,,,,,,"Amnesia Haze (photoperiod, regular) 2 gr. Spokojno, Nadezhno, Kachestvenno."
22,23-07-2020 07:38:29,Tbilisi,5LZ,ExtraShop,Hybrid Bomba 2 г. TOP BUDS Very Strong,True,2,нет,Тбилиси,2 гр,0.0102,7716,3062,260,109,,,,,,,,,,,Hybrid Bomba 2 g. TOP BUDS Very Strong
23,23-07-2020 07:38:29,Tbilisi,LGRP8,Walker12,Badazz Kush 3G VHQ 25% THC,,3,нет,Тбилиси,3 гр,0.0133,9202,3652,310,130,,True,,,,,,,,,Badazz Kush 3G VHQ 25% THC
24,23-07-2020 07:38:29,Tbilisi,9R7SU,ClownBaroN,Red Cherry 4.2G 27%THC *VHQ* FROM EUROPE,True,1,нет,Тбилиси,4.2 гр,0.0205,14158,5618,477,200,,,,,,,,,,,Red Cherry 4.2G 27%THC *VHQ* FROM EUROPE
25,23-07-2020 07:38:29,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,1,нет,Тбилиси,5 гр,0.0287,19821,7865,668,280,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
26,23-07-2020 07:38:29,Tbilisi,03F3,geoshop,5 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,1,нет,Тбилиси,5 гр,0.0277,19113,7584,644,270,,,,,,,,,,,5 marijuana BUDS northen lights 24% THC ShIShKI!!!
27,23-07-2020 07:38:29,Tbilisi,3TGJ9,Elegant,5g. марихуана шишки Critical,True,1,нет,Тбилиси,5 гр,0.0182,13804,5478,465,195,,,,,,,,,,,5g. marihuana shishki Critical
28,23-07-2020 07:38:29,Tbilisi,R4156,bestchoice,Northern Lights Regular [budsonly] 20gramm special price,True,1,нет,Тбилиси,20 гр,0.0541,41057,16292,1384,580,,,,,,,,,,,Northern Lights Regular [budsonly] 20gramm special price
29,23-07-2020 07:38:29,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2072,141576,56180,4771,2000,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
30,23-07-2020 07:38:29,Tbilisi,2I03,bananaa,CUSTOM Шишки 190g 3in1,True,1,нет,Тбилиси,190 гр,0.4414,304389,120787,10257,4300,,,,,,,,,,,CUSTOM Shishki 190g 3in1
31,23-07-2020 07:38:29,Tbilisi,6KB,Marioshop,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",True,нет,4,Тбилиси,1 гр,0.037,25293,10075,852,,,,,,310,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
32,23-07-2020 07:38:29,Tbilisi,R4156,bestchoice,марихуана пудра высокое качество 4грам,True,нет,10,Тбилиси,4 гр,0.0061,4601,1826,155,65,,,,,,,,,,,marihuana pudra vysokoe kachestvo 4gram
33,23-07-2020 07:38:29,Tbilisi,18FB,Mr.Green Tbilis,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0257,17697,7023,596,250,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
34,23-07-2020 07:38:29,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,2,Тбилиси,5 гр,0.0565,38933,15450,1312,550,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
35,23-07-2020 07:39:21,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,1,6,Тбилиси,5 гр,0.0277,19113,7584,644,270,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
36,23-07-2020 07:39:21,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0282,19467,7725,656,275,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
37,23-07-2020 07:39:21,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,1,4,Тбилиси,5 гр,0.0246,16989,6742,573,240,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
38,23-07-2020 07:39:21,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,6,Тбилиси,5 гр,0.0287,19821,7865,668,280,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
39,23-07-2020 07:39:21,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0277,19113,7584,644,270,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
40,23-07-2020 07:39:21,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0204,15503,6152,522,219,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
41,23-07-2020 07:39:21,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" для стильных людей (5 Грамм)",True,нет,7,Тбилиси,5 гр,0.0241,16635,6601,561,235,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (5 Gramm)"
42,23-07-2020 07:39:21,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 5гр",True,нет,1,Тбилиси,5 гр,0.0224,16989,6742,573,240,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
43,23-07-2020 07:39:21,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0277,19113,7584,644,270,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
