,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Tbilisis Zgva,Old Tbilisi (Старый город),Авлобари,€,Didube,Vake,Varketili,Батуми,Центр,desc_en
23,10-08-2020 12:09:31,Tbilisi,7LHWP,GEOBUDS,1gr HYBRID o.g,True,31,нет,Тбилиси,1 гр,0.0041,3608,1362,120,49,,,,,,,,,,,,1gr HYBRID o.g
24,10-08-2020 12:09:31,Tbilisi,8B31,GEOWEEDSHOP,1gr ☘NEW☘ Gorilla Cookies☘ (КЛАДИ НА МАГНИТАХ),True,15,нет,Тбилиси,1 гр,0.0048,4197,1585,140,57,,,,,,,,,,,,1gr ☘NEW☘ Gorilla Cookies☘ (KLADI NA MAGNITAH)
25,10-08-2020 12:09:31,Tbilisi,8B31,GEOWEEDSHOP,1гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),True,4,нет,Тбилиси,1 гр,0.0041,3608,1362,120,49,,,,,,,,,,,,1gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
26,10-08-2020 12:09:31,Tbilisi,H9FHF,OldStar,Auto Amnesia Haze 1 gr,True,13,нет,Тбилиси,1 гр,0.0033,3000,1380,100,,,,,,,,,,,,,Auto Amnesia Haze 1 gr
27,10-08-2020 12:09:31,Tbilisi,9R7SU,ClownBaroN,CLOWNBARON ШИШКИ* 1G *VHQ*♤THC 28%♤ SPECIAL PRICE,,5,нет,Тбилиси,1 гр,0.0048,4197,1585,140,57,True,,,,,,,,,,,CLOWNBARON ShIShKI* 1G *VHQ*♤THC 28%♤ SPECIAL PRICE
28,10-08-2020 12:09:31,Tbilisi,X4ZM,ZYX,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G,True,4,нет,Тбилиси,1 гр,0.0045,3976,1501,132,54,,,,,,,,,,,,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G
29,10-08-2020 12:09:31,Tbilisi,X4ZM,ZYX,NEW * Green Gelato * NEW * BUDS ! 1G VHQ,True,4,нет,Тбилиси,1 гр,0.0048,4271,1612,142,58,,,,,,,,,,,,NEW * Green Gelato * NEW * BUDS ! 1G VHQ
30,10-08-2020 12:09:31,Tbilisi,X4ZM,ZYX,NEW * Royal Moby * NEW ! HQ BUDS 1G,True,5,нет,Тбилиси,1 гр,0.0046,4050,1529,135,55,,,,,,,,,,,,NEW * Royal Moby * NEW ! HQ BUDS 1G
31,10-08-2020 12:09:31,Tbilisi,5XD8,TYsonWeed,TYson Budds 1G Скидка 5%,True,12,нет,Тбилиси,1 гр,0.0035,3240,1223,108,44,,,,,,,,,,,,TYson Budds 1G Skidka 5%
32,10-08-2020 12:09:31,Tbilisi,9CK,Hyperboy,VHQ Hybrid MJ Buds 1G,True,1,нет,Тбилиси,1 гр,0.0042,3682,1390,122,50,,,,,,,,,,,,VHQ Hybrid MJ Buds 1G
33,10-08-2020 12:09:31,Tbilisi,I7IU,MrPickless,АКЦИЯ-1g hindu kish best buds BTC 5% sale,True,1,нет,Тбилиси,1 гр,0.0033,3019,1140,100,41,,,,,,,,,,,,AKTsIJa-1g hindu kish best buds BTC 5% sale
