,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Varketili,Vazisubani,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,23-05-2020 23:54:29,Tbilisi,C36EL,TripGuru,Iranian Sirec 0.25g.,True,7,нет,Тбилиси,0.25 гр,0.0106,7188,2705,240,100,,,,,,,,,,,Iranian Sirec 0.25g.
1,23-05-2020 23:54:29,Tbilisi,LYHBG,Playboy,0.5G --... BoLiVian Coke ...-- 0.5G,True,3,нет,Тбилиси,0.5 гр,0.017,11429,4301,381,159,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
2,23-05-2020 23:54:29,Tbilisi,U26MW,Skyhigh,HQ Euro Hashish 0.5 g,,1,нет,Тбилиси,0.5 гр,0.0058,3953,1488,132,55,True,,,,,,,,,,HQ Euro Hashish 0.5 g
3,23-05-2020 23:54:29,Tbilisi,U26MW,Skyhigh,NEW WEED SOMANGO BUDS PRESSED 0.5,,4,нет,Тбилиси,0.5 гр,0.0031,2085,784,70,29,True,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
4,23-05-2020 23:54:29,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано. 1г.,,1,нет,Тбилиси,1 гр,0.0053,3594,1353,120,50,,True,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 1g.
5,23-05-2020 23:54:29,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0864,64692,24345,2159,900,,,,,,,,,,,Metadon 1gr
6,23-05-2020 23:54:29,Tbilisi,8B31,GEOWEEDSHOP,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,3,нет,Тбилиси,2 гр,0.0094,6397,2407,213,89,,,True,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
7,23-05-2020 23:54:29,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 2 g,True,1,нет,Тбилиси,2 гр,0.0496,33784,12714,1127,470,,,,,,,,,,,Cocaine Pure VHQ 2 g
8,23-05-2020 23:54:29,Tbilisi,P5MBO,ToppoT,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨ SALE BTC 10%,,1,нет,Тбилиси,2 гр,0.0094,6397,2407,213,89,,True,,,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨ SALE BTC 10%
9,23-05-2020 23:54:29,Tbilisi,7LHWP,GEOBUDS,5 gr georgian weed. Package on magnet,,8,нет,Тбилиси,5 гр,0.0147,9991,3760,333,139,True,,,True,,,,,,,5 gr georgian weed. Package on magnet
