,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Varketili,Vake,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,12-02-2020 10:23:04,Tbilisi,61df6a1c90,Метадон 0.15гр,True,7,нет,Тбилиси,0.15 гр,0.0114,8313,3203,285,130.0,,,,,,,,,,Metadon 0.15gr
1,1,12-02-2020 10:23:04,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,10,нет,Тбилиси,0.25 гр,0.0157,11511,4435,395,180.0,,,,,,,,,,Metadon VHQ 0.25 24/7
2,2,12-02-2020 10:23:04,Tbilisi,32e645c201,"methadone 0,29 gr",,4,нет,Тбилиси,0.29 гр,0.0202,13429,5174,460,210.0,True,,,,,,,,,"methadone 0,29 gr"
3,3,12-02-2020 10:23:04,Tbilisi,61df6a1c90,Метадон 0.30гр,True,3,нет,Тбилиси,0.3 гр,0.0157,12150,4682,417,190.0,,,,,,,,,,Metadon 0.30gr
4,4,12-02-2020 10:23:04,Tbilisi,366326d4d6,"0,5 MDMA / White sparks / purity 93%",True,10,нет,Тбилиси,0.5 гр,0.0057,3773,1454,129,59.0,,,,,,,,,,"0,5 MDMA / White sparks / purity 93%"
5,5,12-02-2020 10:23:04,Tbilisi,366326d4d6,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!",True,5,нет,Тбилиси,0.5 гр,0.0116,7610,2932,261,119.0,,,,,,,,,,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!"
6,6,12-02-2020 10:23:04,Tbilisi,21de5577be,0.5 gr. Blue Berry Kush 100% IMPORT/ Indica,,4,нет,Тбилиси,0.5 гр,0.0028,1855,715,64,29.0,,True,,,,,,,,0.5 gr. Blue Berry Kush 100% IMPORT/ Indica
7,7,12-02-2020 10:23:04,Tbilisi,da96c34455,ALFA PVP in City 0.5g,True,3,нет,Тбилиси,0.5 гр,0.0077,5116,1971,175,80.0,,,,,,,,,,ALFA PVP in City 0.5g
8,8,12-02-2020 10:23:04,Tbilisi,8219f5e7b8,"Cocaine, 0.5 g",True,6,нет,Тбилиси,0.5 гр,0.0107,7034,2710,241,110.0,,,,,,,,,,"Cocaine, 0.5 g"
9,9,12-02-2020 10:23:04,Tbilisi,8ec76151d3,Metadon VHQ 0.5 24/7,True,4,нет,Тбилиси,0.5 гр,0.0262,19185,7392,658,300.0,,,,,,,,,,Metadon VHQ 0.5 24/7
10,10,12-02-2020 10:23:04,Tbilisi,1768a14bbd,"NEW Sale!! Cocaine 0,5 гр. HQ",True,4,нет,Тбилиси,0.5 гр,0.0096,6331,2439,217,99.0,,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
11,11,12-02-2020 10:23:04,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0095,6970,2686,239,109.0,,,,,,,,,,Pure COCAINE VHQ 0.5g
12,12,12-02-2020 10:23:04,Tbilisi,dd631c4acf,❄❄❄0.5g HQ COCAINE❄❄❄,True,2,нет,Тбилиси,0.5 гр,0.0096,6331,2439,217,99.0,,,,,,,,,,❄❄❄0.5g HQ COCAINE❄❄❄
13,13,12-02-2020 10:23:04,Tbilisi,61df6a1c90,Метадон 0.6гр,True,2,нет,Тбилиси,0.6 гр,0.0262,19185,7392,658,300.0,,,,,,,,,,Metadon 0.6gr
14,14,12-02-2020 10:23:04,Tbilisi,97bbc3dfd6,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука) ВНИМАНИЕ! НЕДЕЛЬНАЯ РАСПРОДАЖА! 120$!,True,5,нет,Тбилиси,0.8 гр,0.0115,7674,2957,263,120.0,,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka) VNIMANIE! NEDEL'NAJa RASPRODAZhA! 120$!
15,15,12-02-2020 10:23:04,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,40,нет,Тбилиси,1 гр,0.0039,2878,1109,99,45.0,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
16,16,12-02-2020 10:23:04,Tbilisi,cb721d4bca,1 gr Шишки “OG KUSH VHQ”,True,9,нет,Тбилиси,1 гр,0.0048,3197,1232,110,50.0,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
17,17,12-02-2020 10:23:04,Tbilisi,21de5577be,1 gr. Blue Berry Kush 100% Natural/Indika/ Import,,7,нет,Тбилиси,1 гр,0.0043,2878,1109,99,45.0,,True,,,,,,,,1 gr. Blue Berry Kush 100% Natural/Indika/ Import
18,18,12-02-2020 10:23:04,Tbilisi,366326d4d6,1g MDMA - !!!NEW!!! - Purity 93%,True,10,нет,Тбилиси,1 гр,0.0096,6331,2439,217,99.0,,,,,,,,,,1g MDMA - !!!NEW!!! - Purity 93%
19,19,12-02-2020 10:23:04,Tbilisi,366326d4d6,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,5,нет,Тбилиси,1 гр,0.0192,12662,4879,434,198.0,,,,,,,,,,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
20,20,12-02-2020 10:23:04,Tbilisi,ae784bef73,Afghan HQ buds ! NEW ! 1G,True,1,нет,Тбилиси,1 гр,0.0043,2878,1109,99,45.0,,,,,,,,,,Afghan HQ buds ! NEW ! 1G
21,21,12-02-2020 10:23:04,Tbilisi,8219f5e7b8,"Cocaine, 1g",True,5,нет,Тбилиси,1 гр,0.0214,14069,5421,482,220.0,,,,,,,,,,"Cocaine, 1g"
22,22,12-02-2020 10:23:04,Tbilisi,8219f5e7b8,Ketamine 1g,True,6,нет,Тбилиси,1 гр,0.0097,6395,2464,219,100.0,,,,,,,,,,Ketamine 1g
23,23,12-02-2020 10:23:04,Tbilisi,366326d4d6,Ketamine 1g.,True,4,нет,Тбилиси,1 гр,0.0087,5691,2193,195,89.0,,,,,,,,,,Ketamine 1g.
24,24,12-02-2020 10:23:04,Tbilisi,8219f5e7b8,"LSD - 250 ug, 1piece",True,2,нет,Тбилиси,1 гр,0.0039,2558,986,88,40.0,,,,,,,,,,"LSD - 250 ug, 1piece"
