,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Varketili,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
22,08-02-2020 18:16:10,Tbilisi,RGIUB,SaintJoint,"Royal Gorilla and Girl scout coockies pressed mix, THC over 25% 1gr",True,1,нет,Тбилиси,1 гр,0.0041,2856,1112,98,45,,,,,,,,,,"Royal Gorilla and Girl scout coockies pressed mix, THC over 25% 1gr"
23,08-02-2020 18:16:10,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,5,нет,Тбилиси,1 гр,0.018,12631,4915,433,199,,,,,,,,,,VHQ BEST Cocaine 1g.
24,08-02-2020 18:16:10,Tbilisi,0WE,Khachapuri,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,2,нет,Тбилиси,1 гр,0.0143,9521,3705,326,150,,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
25,08-02-2020 18:16:10,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,True,3,нет,Тбилиси,1 гр,0.0186,11996,4668,411,189,,,,,,,,,,Kokain HQ 1g.
26,08-02-2020 18:16:10,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 1g,,2,нет,Тбилиси,1 гр,0.0198,12631,4915,433,199,,True,,,,,,,,Kokain KOLUMBIA 1g
27,08-02-2020 18:16:10,Tbilisi,EYO96,ROCKSHOP,"Метадон, 1gr",True,6,нет,Тбилиси,1 гр,0.0447,28562,11115,979,450,,,,,,,,,,"Metadon, 1gr"
28,08-02-2020 18:16:10,Tbilisi,9VLN,AlienShop,❄1g. New COCAINE!!❄,True,1,нет,Тбилиси,1 гр,0.0181,11425,4446,392,180,,,,,,,,,,❄1g. New COCAINE!!❄
29,08-02-2020 18:16:10,Tbilisi,7R3WM,RastaShop,2 gr. Auto Jamaica Feminized 100% Natural/Hybrid/ IMPORT,,2,нет,Тбилиси,2 гр,0.0079,5078,1976,174,80,,,True,,,,,,,2 gr. Auto Jamaica Feminized 100% Natural/Hybrid/ IMPORT
30,08-02-2020 18:16:10,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,2 гр,0.007,4443,1729,152,70,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
31,08-02-2020 18:16:45,Tbilisi,5JG6,BenderMan,Ketamine 2 g,True,1,нет,Тбилиси,2 гр,0.018,11425,4446,392,180,,,,,,,,,,Ketamine 2 g
