,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Дигоми,Gldani,Vake,Tbilisis Zgva,Old Tbilisi (Старый город),Авлобари,Varketili,Батуми,Центр,desc_en
20,27-07-2020 16:51:27,Tbilisi,03F3,geoshop,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,3,нет,Тбилиси,2 гр,0.0117,8590,3348,287,,True,120,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
21,27-07-2020 16:51:27,Tbilisi,BB6E,WEEDSH0P,2gr Amnesia Haze Auto сжатая марихуана BUDS,,3,нет,Тбилиси,2 гр,0.0117,8590,3348,287,,True,120,,,,,,,,,,2gr Amnesia Haze Auto szhataja marihuana BUDS
22,27-07-2020 16:51:27,Tbilisi,BB6E,WEEDSH0P,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,,1,нет,Тбилиси,2 гр,0.0117,8590,3348,287,,True,120,,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
23,27-07-2020 16:51:27,Tbilisi,XUYA,MRweed,"Amnesia Haze (photoperiod, regular) 2 гр. Спокойно, Надёжно, Качественно.",,1,нет,Тбилиси,2 гр,0.0097,7874,3069,263,,,110,True,,,,,,,,,"Amnesia Haze (photoperiod, regular) 2 gr. Spokojno, Nadezhno, Kachestvenno."
24,27-07-2020 16:51:27,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 2гр",,3,нет,Тбилиси,2 гр,0.0097,7874,3069,263,,True,110,True,,,,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
25,27-07-2020 16:51:27,Tbilisi,9R7SU,ClownBaroN,Skunk 2G (25 % THC)*VHQ* IMPORT,True,2,нет,Тбилиси,2 гр,0.0107,7874,3069,263,,,110,,,True,,,,,,,Skunk 2G (25 % THC)*VHQ* IMPORT
26,27-07-2020 16:51:27,Tbilisi,9CK,Hyperboy,🍬🍬🍬Ex Masserati Red 465 mg 2pc🍬🍬🍬,,3,нет,Тбилиси,2 гр,0.0097,7159,2790,239,,True,100,,,,,,,,,,🍬🍬🍬Ex Masserati Red 465 mg 2pc🍬🍬🍬
27,27-07-2020 16:51:27,Tbilisi,LGRP8,Walker12,!!! NEW !!! 3G Jack Herer(VHQ 24%THC),True,2,нет,Тбилиси,3 гр,0.0146,10738,4185,358,,,150,,,,,,,,,,!!! NEW !!! 3G Jack Herer(VHQ 24%THC)
28,27-07-2020 16:51:27,Tbilisi,JVZTQ,partyshop,3 ecstasy red maseratti VHQ екстази импорт с США,,2,нет,Тбилиси,3 гр,0.0122,8948,3488,299,,True,125,,,,,,,,,,3 ecstasy red maseratti VHQ ekstazi import s SShA
29,27-07-2020 16:51:27,Tbilisi,QUZIV,Hollyweed,Marijuana Super Skunk leaves 3g plan,,1,нет,Тбилиси,3 гр,0.0024,1718,670,57,,,24,True,,,,,,,,,Marijuana Super Skunk leaves 3g plan
30,27-07-2020 16:51:27,Tbilisi,R4156,bestchoice,Northern Lights Regular [budsonly] 3gramm,,4,нет,Тбилиси,3 гр,0.0102,8232,3209,275,,True,115,,,,,,,,,,Northern Lights Regular [budsonly] 3gramm
31,27-07-2020 16:51:27,Tbilisi,JVZTQ,partyshop,5 ecstasy red maseratti VHQ екстази импорт с США,,9,нет,Тбилиси,5 гр,0.0205,15033,5859,502,,True,210,,,,,,,,,,5 ecstasy red maseratti VHQ ekstazi import s SShA
32,27-07-2020 16:51:27,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,1,нет,Тбилиси,5 гр,0.0273,20044,7812,669,,True,280,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
33,27-07-2020 16:51:27,Tbilisi,03F3,geoshop,5 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,1,нет,Тбилиси,5 гр,0.0263,19328,7533,645,,True,270,,,,,,,,,,5 marijuana BUDS northen lights 24% THC ShIShKI!!!
34,27-07-2020 16:51:27,Tbilisi,3TGJ9,Elegant,5g. марихуана шишки Critical,,1,нет,Тбилиси,5 гр,0.0173,13959,5441,466,,True,195,,,,,,,,,,5g. marihuana shishki Critical
35,27-07-2020 16:51:27,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 5гр",,1,1,Тбилиси,5 гр,0.0213,17180,6696,574,,True,240,,,,True,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
36,27-07-2020 16:52:32,Tbilisi,R4156,bestchoice,Northern Lights Regular [budsonly] 10gram,,1,нет,Тбилиси,10 гр,0.0311,25055,9765,836,,True,350,,,,,,,,,,Northern Lights Regular [budsonly] 10gram
37,27-07-2020 16:52:32,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.197,143170,55800,4780,,True,2000,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
38,27-07-2020 16:52:32,Tbilisi,6KB,Marioshop,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,4,Тбилиси,1 гр,0.0357,25971,10137,859,310,True,,,,,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
39,27-07-2020 16:52:32,Tbilisi,03F3,geoshop,10 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,10,Тбилиси,4 гр,0.039,28634,11160,956,,True,400,,,,,,,,,,10 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
40,27-07-2020 16:52:32,Tbilisi,18FB,Mr.Green Tbilis,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.0244,17896,6975,597,,True,250,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
41,27-07-2020 16:52:32,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,6,Тбилиси,5 гр,0.0264,19328,7533,645,,True,270,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
