,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Varketili,Gldani,Saburtalo,Vake,Old Tbilisi (Старый город),Авлобари,Дигоми,Vazisubani,Nadzaladevi,Tbilisis Zgva,€,Батуми,Центр,Кутаиси,desc_en
23,24-04-2020 10:18:36,Tbilisi,PTO3,MeDuZa777,AKA-47 ONLY BUDS 10g TOP VHQ,True,2,нет,Тбилиси,10 гр,0.0392,22539,8175,741,300,,,,,,,,,,,,,,,,AKA-47 ONLY BUDS 10g TOP VHQ
24,24-04-2020 10:18:36,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0502,30052,10900,987,400,,,,,,,,,,,,,,,,gashish evro 10g
25,24-04-2020 10:18:36,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0975,58375,21173,1918,777,,,,,,,,,,,,,,,,Gashish Evro 20gr
26,24-04-2020 10:18:36,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2378,150258,54500,4937,2000,,,,,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
27,24-04-2020 10:18:36,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,9,Тбилиси,2 гр,0.0488,27723,10055,911,369,,,,,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
28,24-04-2020 10:18:36,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,10,Тбилиси,3 гр,0.078,44326,16078,1457,590,,,,,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
29,24-04-2020 10:18:36,Tbilisi,A3I9,Joookerrr,"""JoKer Express"" - Марки н боом 4 штуки!",True,нет,39,Тбилиси,4 гр,0.0071,4463,1623,147,,True,True,True,True,True,True,True,True,True,True,True,55,,,,"""JoKer Express"" - Marki n boom 4 shtuki!"
30,24-04-2020 10:18:36,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0523,30052,10900,987,400,,,,,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
31,24-04-2020 10:18:36,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0719,41321,14988,1358,550,,,,,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
32,24-04-2020 10:18:36,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,8,Тбилиси,5 гр,0.0222,12772,4633,420,170,,,,,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
