,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,€,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,20-02-2020 05:00:34,Tbilisi,61df6a1c90,Метадон 0.15гр,True,5,нет,Тбилиси,0.15 гр,0.012,8279,3186,287,130.0,,,,,,,,,,Metadon 0.15gr
1,1,20-02-2020 05:00:34,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,5,нет,Тбилиси,0.25 гр,0.0166,11464,4412,397,180.0,,,,,,,,,,Metadon VHQ 0.25 24/7
2,2,20-02-2020 05:00:34,Tbilisi,32e645c201,"methadone 0,29 gr",,2,нет,Тбилиси,0.29 гр,0.0213,13374,5147,463,210.0,True,,,,,,,,,"methadone 0,29 gr"
3,3,20-02-2020 05:00:34,Tbilisi,adf2d19b92,methamfethamin crystal 0.3,True,1,нет,Тбилиси,0.3 гр,0.0065,4522,1740,156,71.0,,,,,,,,,,methamfethamin crystal 0.3
4,4,20-02-2020 05:00:34,Tbilisi,61df6a1c90,Метадон 0.30гр,True,2,нет,Тбилиси,0.3 гр,0.0165,12101,4657,419,190.0,,,,,,,,,,Metadon 0.30gr
5,5,20-02-2020 05:00:34,Tbilisi,8a650ecf5f,"A PVP 0,33 VHQ",True,1,нет,Тбилиси,0.33 гр,0.0063,4140,1593,143,65.0,,,,,,,,,,"A PVP 0,33 VHQ"
6,6,20-02-2020 05:00:34,Tbilisi,2dbb5960b9,Methadone HQ in city 0.35g,True,1,нет,Тбилиси,0.35 гр,0.0182,11464,4412,397,180.0,,,,,,,,,,Methadone HQ in city 0.35g
7,7,20-02-2020 05:00:34,Tbilisi,366326d4d6,"0,5 g MDMA - !!!NEW!!! - Purity 93%",True,3,нет,Тбилиси,0.5 гр,0.0071,4394,1691,152,69.0,,,,,,,,,,"0,5 g MDMA - !!!NEW!!! - Purity 93%"
8,8,20-02-2020 05:00:34,Tbilisi,8ddca45a78,"0,5g BLUE CHEESE Indica THC 18% / BTC -10% sale",True,1,нет,Тбилиси,0.5 гр,0.0023,1592,613,55,25.0,,,,,,,,,,"0,5g BLUE CHEESE Indica THC 18% / BTC -10% sale"
9,9,20-02-2020 05:00:34,Tbilisi,366326d4d6,0.5 g. Ketamine,True,10,нет,Тбилиси,0.5 гр,0.006,3758,1446,130,59.0,,,,,,,,,,0.5 g. Ketamine
10,10,20-02-2020 05:00:34,Tbilisi,8219f5e7b8,"Cocaine, 0.5 g",True,2,нет,Тбилиси,0.5 гр,0.0112,7006,2696,242,110.0,,,,,,,,,,"Cocaine, 0.5 g"
11,11,20-02-2020 05:00:34,Tbilisi,8219f5e7b8,Ketamine 0.5g,True,4,нет,Тбилиси,0.5 гр,0.0061,3821,1471,132,60.0,,,,,,,,,,Ketamine 0.5g
12,12,20-02-2020 05:00:34,Tbilisi,ae784bef73,MDMA Кристаллы HQ 0.5G,True,1,нет,Тбилиси,0.5 гр,0.0061,3821,1471,132,60.0,,,,,,,,,,MDMA Kristally HQ 0.5G
13,13,20-02-2020 05:00:34,Tbilisi,8ec76151d3,Metadon VHQ 0.5 24/7,True,3,нет,Тбилиси,0.5 гр,0.0267,18469,7108,639,290.0,,,,,,,,,,Metadon VHQ 0.5 24/7
14,14,20-02-2020 05:00:34,Tbilisi,1768a14bbd,"NEW Sale!! Cocaine 0,5 гр. HQ",True,4,нет,Тбилиси,0.5 гр,0.0101,6305,2426,218,99.0,,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
15,15,20-02-2020 05:00:34,Tbilisi,edfbad0151,Pineapple Express 0.5G pressed buds only (hydro),True,4,нет,Тбилиси,0.5 гр,0.0028,1783,686,62,28.0,,,,,,,,,,Pineapple Express 0.5G pressed buds only (hydro)
16,16,20-02-2020 05:00:34,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,6,нет,Тбилиси,0.5 гр,0.0106,6942,2672,240,109.0,,,,,,,,,,Pure COCAINE VHQ 0.5g
17,17,20-02-2020 05:00:34,Tbilisi,1c14effaaa,Silver Haze | 90% sativa 10% indica | 0.5g,True,5,нет,Тбилиси,0.5 гр,0.0028,1911,735,66,30.0,,,,,,,,,,Silver Haze | 90% sativa 10% indica | 0.5g
18,18,20-02-2020 05:00:34,Tbilisi,edfbad0151,THC Snow Buds Only 0.5 G (THC 23+%),True,1,нет,Тбилиси,0.5 гр,0.003,1911,735,66,30.0,,,,,,,,,,THC Snow Buds Only 0.5 G (THC 23+%)
19,19,20-02-2020 05:00:34,Tbilisi,61df6a1c90,Метадон 0.6гр,True,2,нет,Тбилиси,0.6 гр,0.0276,19106,7353,661,300.0,,,,,,,,,,Metadon 0.6gr
20,20,20-02-2020 05:00:34,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,23,нет,Тбилиси,1 гр,0.0041,2866,1103,99,45.0,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
21,21,20-02-2020 05:00:34,Tbilisi,7c395c455d,1 gr mdma Кристаллы очен силни импорт с европи,True,6,нет,Тбилиси,1 гр,0.0122,7642,2941,264,120.0,,,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
22,22,20-02-2020 05:00:34,Tbilisi,4a91350669,1 gr гашиш VHQ gorilla glue hash тгк 28 %,True,2,нет,Тбилиси,1 гр,0.0091,5732,2206,198,90.0,,,,,,,,,,1 gr gashish VHQ gorilla glue hash tgk 28 %
23,23,20-02-2020 05:00:34,Tbilisi,bb1791277e,1 gr сжатая марихуана EUPHORIA шишки low thc.,True,1,нет,Тбилиси,1 гр,0.0035,2229,858,77,35.0,,,,,,,,,,1 gr szhataja marihuana EUPHORIA shishki low thc.
24,24,20-02-2020 05:00:34,Tbilisi,21de5577be,1 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,7,нет,Тбилиси,1 гр,0.0046,2866,1103,99,45.0,,True,,,,,,,,1 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
25,25,20-02-2020 05:00:34,Tbilisi,cb721d4bca,"1 mdma very strong best quality , import califronia , лучши мдма на саите",True,7,нет,Тбилиси,1 гр,0.0132,8279,3186,287,130.0,,,,,,,,,,"1 mdma very strong best quality , import califronia , luchshi mdma na saite"
