,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Old Tbilisi (Старый город),Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
21,05-03-2020 04:44:45,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0414,26431,9976,892,400,,,,,,,,gashish evro 10g
22,05-03-2020 04:44:45,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0804,51343,19378,1734,777,,,,,,,,Gashish Evro 20gr
23,05-03-2020 04:44:45,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,нет,4,Тбилиси,0.27 гр,0.0294,17841,6734,602,270,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
24,05-03-2020 04:44:45,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,нет,4,Тбилиси,0.35 гр,0.0327,19824,7482,669,300,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
25,05-03-2020 04:44:45,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 1.1 G (SALE),True,нет,5,Тбилиси,1.1 гр,0.0707,42951,16211,1450,650,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.1 G (SALE)
26,05-03-2020 04:44:45,Tbilisi,SF03,CRAZYFROG,2 гр Afghan Mazar-i-Sharif Hash топ товар !!! Оплата BITCOIN -10% Скидка,True,нет,4,Тбилиси,2 гр,0.018,11035,4165,373,167,,,,,,,,2 gr Afghan Mazar-i-Sharif Hash top tovar !!! Oplata BITCOIN -10% Skidka
27,05-03-2020 04:44:45,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2.0g BTC SALE 5% SALE!!! SALE!!! (ПОДЪЕЗД!!!),True,нет,1,Тбилиси,2 гр,0.0383,23458,8854,792,355,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5% SALE!!! SALE!!! (POD'EZD!!!)
28,05-03-2020 04:44:45,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,4,Тбилиси,3 гр,0.0642,38986,14715,1316,590,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
29,05-03-2020 04:44:45,Tbilisi,9VLN,AlienShop,🍃💩💩3g. New! Gorilla Glue Premium Hush💩💩🍃,True,нет,1,Тбилиси,3 гр,0.0185,12489,4714,422,189,,,,,,,,🍃💩💩3g. New! Gorilla Glue Premium Hush💩💩🍃
30,05-03-2020 04:44:45,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0431,26431,9976,892,400,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
