,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Old Tbilisi (Старый город),Saburtalo,Vake,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
10,10,01-03-2020 18:21:40,Tbilisi,7ee4f68218,3 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,3 гр,0.0294,18431,6778,617,,250.0,,,,,,,,,3 gr mdma (skidka v bitkoin 5%)
11,11,01-03-2020 18:21:40,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.0471,29489,10844,987,,400.0,,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
12,12,01-03-2020 18:21:40,Tbilisi,8219f5e7b8,"LSD - 250 ug, 5 pieces",True,1,нет,Тбилиси,5 гр,0.0169,10049,3705,336,150.0,,,,,,,,,,"LSD - 250 ug, 5 pieces"
13,13,01-03-2020 18:21:40,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,7,нет,Тбилиси,10 гр,0.0407,24452,9016,817,365.0,,,,,True,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
14,14,01-03-2020 18:21:40,Tbilisi,8219f5e7b8,"LSD - 250 ug, 10 pieces",True,1,нет,Тбилиси,10 гр,0.0337,20097,7410,672,300.0,,,,,,,,,,"LSD - 250 ug, 10 pieces"
15,15,01-03-2020 18:21:40,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0428,26796,9880,896,400.0,,,,,,,,,,gashish evro 10g
16,16,01-03-2020 18:21:40,Tbilisi,e501bd0ada,"weed gorila glue 20 gram, super duper, popcorn size - mukhattskaro, close to road",True,2,нет,Тбилиси,20 гр,0.0481,30146,11115,1008,450.0,,,,,,,,,,"weed gorila glue 20 gram, super duper, popcorn size - mukhattskaro, close to road"
17,17,01-03-2020 18:21:40,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0831,52052,19192,1740,777.0,,,,,,,,,,Gashish Evro 20gr
18,18,01-03-2020 18:21:40,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,1,2,Тбилиси,0.27 гр,0.0304,18088,6669,605,270.0,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
19,19,01-03-2020 18:21:40,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,нет,5,Тбилиси,0.35 гр,0.0338,20097,7410,672,300.0,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
20,20,01-03-2020 18:21:40,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1.1 G (SALE),True,1,5,Тбилиси,1.1 гр,0.0675,40195,14820,1343,600.0,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.1 G (SALE)
21,21,01-03-2020 18:21:40,Tbilisi,cb721d4bca,2 гр Afghan Mazar-i-Sharif Hash топ товар !!! Оплата BITCOIN -10% Скидка,True,нет,5,Тбилиси,2 гр,0.0186,11187,4125,374,167.0,,,,,,,,,,2 gr Afghan Mazar-i-Sharif Hash top tovar !!! Oplata BITCOIN -10% Skidka
22,22,01-03-2020 18:21:40,Tbilisi,cb721d4bca,"2gr ROYAL AFGHANI HASH FINEST QUALITY гашиш топ качество ,Оплата BITCOIN -10% Скидка",True,нет,3,Тбилиси,2 гр,0.0182,12164,4473,407,,165.0,,,,,,,,,"2gr ROYAL AFGHANI HASH FINEST QUALITY gashish top kachestvo ,Oplata BITCOIN -10% Skidka"
23,23,01-03-2020 18:21:40,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,4,Тбилиси,3 гр,0.0664,39525,14573,1321,590.0,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
24,24,01-03-2020 18:21:40,Tbilisi,dd631c4acf,🍃💩💩3g. New! Gorilla Glue Premium Hush💩💩🍃,True,нет,4,Тбилиси,3 гр,0.0191,12661,4668,423,189.0,,,,,,,,,,🍃💩💩3g. New! Gorilla Glue Premium Hush💩💩🍃
25,25,01-03-2020 18:21:40,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,8,Тбилиси,4 гр,0.0446,26796,9880,896,400.0,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
26,26,01-03-2020 18:21:40,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0613,36845,13585,1232,550.0,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
27,27,01-03-2020 18:21:40,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,8,Тбилиси,5 гр,0.0267,16078,5928,537,240.0,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
28,28,01-03-2020 18:21:40,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0279,16748,6175,560,250.0,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
29,29,01-03-2020 18:21:40,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0279,16748,6175,560,250.0,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
30,30,01-03-2020 18:21:40,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0279,16748,6175,560,250.0,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
31,31,01-03-2020 18:21:40,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,2,Тбилиси,5 гр,0.0222,13331,4915,446,199.0,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
32,32,01-03-2020 18:21:40,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,4,Тбилиси,5 гр,0.0279,16748,6175,560,250.0,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
33,33,01-03-2020 18:21:40,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0222,14671,5409,490,219.0,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
34,34,01-03-2020 18:21:40,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),True,нет,5,Тбилиси,5 гр,0.0338,20097,7410,672,300.0,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
35,35,01-03-2020 18:22:26,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.0279,16748,6175,560,250.0,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
36,36,01-03-2020 18:22:26,Tbilisi,3814ba5701,Weed from Gali 5g.,True,нет,1,Тбилиси,5 гр,0.0257,16078,5928,537,240.0,,,,,,,,,,Weed from Gali 5g.
37,37,01-03-2020 18:22:26,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,17,Тбилиси,5 гр,0.0203,13398,4940,448,200.0,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
38,38,01-03-2020 18:22:26,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2872,190000,87429,6347,,,,,,,,,,,reagent 25i nbome. 5gr
39,39,01-03-2020 18:22:26,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3038,200973,74100,6717,3000.0,,True,,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
40,40,01-03-2020 18:22:26,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,4,Тбилиси,5 гр,0.0966,57545,21217,1923,859.0,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
41,41,01-03-2020 18:22:26,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0208,12393,4570,414,185.0,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
