,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,20-05-2020 14:32:22,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,True,12,нет,Тбилиси,0.5 гр,0.0163,11510,4253,384,159.0,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
1,1,20-05-2020 14:32:22,Tbilisi,2f51af8159,NEW WEED SOMANGO BUDS PRESSED 0.5,,3,нет,Тбилиси,0.5 гр,0.0027,1955,722,65,27.0,True,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
2,2,20-05-2020 14:32:22,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,4,нет,Тбилиси,1 гр,0.0239,17012,6286,568,235.0,,,,,,,,,,Cocaine Pure VHQ 1g
3,3,20-05-2020 14:32:22,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,2,нет,Тбилиси,1 гр,0.0251,18098,6688,604,250.0,,,,,,,,,,Kokain HQ 1g.
4,4,20-05-2020 14:32:22,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.083,65153,24075,2174,900.0,,,,,,,,,,Metadon 1gr
5,5,20-05-2020 14:32:22,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,,4,нет,Тбилиси,1 гр,0.0245,17302,6393,577,239.0,,True,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
6,6,20-05-2020 14:32:22,Tbilisi,366326d4d6,2 ECSTASY << PACO RABANNE >>,True,2,нет,Тбилиси,2 гр,0.0091,6443,2381,215,89.0,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
7,7,20-05-2020 14:32:22,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,2 гр,0.0072,5067,1873,169,70.0,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
8,8,20-05-2020 14:32:22,Tbilisi,d04eeb6525,Кокаин HQ 2г.,True,2,нет,Тбилиси,2 гр,0.0477,35472,13108,1184,490.0,,,,,,,,,,Kokain HQ 2g.
9,9,20-05-2020 14:32:22,Tbilisi,4c4ab8c0de,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨ SALE BTC 10%,,2,нет,Тбилиси,2 гр,0.0089,6370,2354,213,88.0,,,True,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨ SALE BTC 10%
10,10,20-05-2020 14:32:22,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,True,4,нет,Тбилиси,3 гр,0.0122,8615,3183,288,119.0,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
11,11,20-05-2020 14:32:22,Tbilisi,366326d4d6,3LSD ---- LSD ALBERT HOFFMAN 200ug,True,2,нет,Тбилиси,3 гр,0.0122,8615,3183,288,119.0,,,,,,,,,,3LSD ---- LSD ALBERT HOFFMAN 200ug
12,12,20-05-2020 14:32:22,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,7,нет,Тбилиси,3 гр,0.0108,7601,2809,254,105.0,,,,,,,,,,3x Extasy Duracell 223mg MDMA
13,13,20-05-2020 14:32:22,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,True,2,нет,Тбилиси,3 гр,0.0122,8615,3183,288,119.0,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
14,14,20-05-2020 14:32:22,Tbilisi,eb7e03535b,Cocaine Pure VHQ 5g.,True,1,нет,Тбилиси,5 гр,0.1167,83251,30763,2778,1150.0,,,,,,,,,,Cocaine Pure VHQ 5g.
15,15,20-05-2020 14:32:22,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,True,1,нет,Тбилиси,5 гр,0.1132,83251,30763,2778,1150.0,,,,,,,,,,VHQ BEST Cocaine 5g.
16,16,20-05-2020 14:32:22,Tbilisi,9610a68a0a,GABAGAMA 10 SHTUK,True,2,нет,Тбилиси,10 гр,0.0017,1303,482,43,18.0,,,,,,,,,,GABAGAMA 10 SHTUK
17,17,20-05-2020 14:32:22,Tbilisi,c225d2f67d,Гашиш Евро 10гр,True,1,нет,Тбилиси,10 гр,0.0443,32576,12038,1087,450.0,,,,,,,,,,Gashish Evro 10gr
18,18,20-05-2020 14:32:22,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0757,56248,20785,1877,777.0,,,,,,,,,,Gashish Evro 20gr
19,19,20-05-2020 14:32:22,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1845,144784,53500,4832,2000.0,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
20,20,20-05-2020 14:32:22,Tbilisi,54915c4374,Бупренорфин (аналог суботекса) 0.2 гр.,True,нет,9,Тбилиси,0.2 гр,0.01,7125,2628,238,,,,,90.0,,,,,,Buprenorfin (analog suboteksa) 0.2 gr.
21,21,20-05-2020 14:32:22,Tbilisi,54915c4374,"MDMA ""цунами удовольствия) 0.5 грамм",True,нет,10,Тбилиси,0.5 гр,0.0081,5791,2140,193,80.0,,,,,,,,,,"MDMA ""tsunami udovol'stvija) 0.5 gramm"
22,22,20-05-2020 14:32:22,Tbilisi,89f7212915,"""Kief"" Weed trichomes 1G",True,нет,5,Тбилиси,1 гр,0.0162,11583,4280,387,160.0,,,,,,,,,,"""Kief"" Weed trichomes 1G"
23,23,20-05-2020 14:32:22,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,1,Тбилиси,2 гр,0.0378,26713,9871,891,369.0,,,,,,,,,,❄❄2g HQ COCAINE❄❄
24,24,20-05-2020 14:32:22,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,8,Тбилиси,3 гр,0.0594,41915,15488,1399,579.0,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
25,25,20-05-2020 14:32:22,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0406,28957,10700,966,400.0,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
26,26,20-05-2020 14:32:22,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,2,Тбилиси,4 гр,0.0142,10135,3745,338,140.0,True,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
27,27,20-05-2020 14:32:22,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0558,39815,14713,1329,550.0,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
28,28,20-05-2020 14:32:22,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,10,Тбилиси,5 гр,0.0239,17012,6286,568,235.0,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
29,29,20-05-2020 14:32:22,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,6,Тбилиси,5 гр,0.0244,17374,6420,580,240.0,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
30,30,20-05-2020 14:32:22,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,9,Тбилиси,5 гр,0.0233,16650,6153,556,230.0,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
31,31,20-05-2020 14:32:22,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,3,Тбилиси,5 гр,0.0161,11510,4253,384,159.0,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
32,32,20-05-2020 14:32:22,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0244,17374,6420,580,240.0,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
33,33,20-05-2020 14:32:22,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0244,17374,6420,580,240.0,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
34,34,20-05-2020 14:33:10,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0243,17374,6420,580,240.0,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
35,35,20-05-2020 14:33:10,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0243,17374,6420,580,240.0,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
36,36,20-05-2020 14:33:10,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0233,16650,6153,556,230.0,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
37,37,20-05-2020 14:33:10,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0202,15854,5858,529,219.0,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
38,38,20-05-2020 14:33:10,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0238,17012,6286,568,235.0,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
