,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Vake,Gldani,€,Didube,Дигоми,Old Tbilisi (Старый город),Центр,Батуми,Кутаиси,desc_en
39,39,28-03-2020 14:32:03,Tbilisi,b01f16ca19,"10g. Шишки Amnesia Haze, Сатива",True,2,нет,Тбилиси,10 гр,0.0578,31015,11372,1028,399.0,,,,,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
40,40,28-03-2020 14:32:03,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,2,нет,Тбилиси,10 гр,0.0529,28372,10403,940,365.0,,,,,True,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
41,41,28-03-2020 14:32:03,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,,1,нет,Тбилиси,10 гр,0.0387,20755,7610,688,267.0,True,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
42,42,28-03-2020 14:32:03,Tbilisi,c225d2f67d,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.0556,31093,11400,1030,400.0,True,,,,,,,,,,gashish evro 10g
43,43,28-03-2020 14:32:03,Tbilisi,be97026d1d,MDMA from Europe!!! 25g SALE!!!,,1,нет,Тбилиси,25 гр,0.1882,100975,37022,3345,1299.0,,,,,,True,,,,,MDMA from Europe!!! 25g SALE!!!
44,44,28-03-2020 14:32:03,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2634,155465,57000,5151,2000.0,True,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
45,45,28-03-2020 14:32:03,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 100шт. Готовые клады в Грузии от производителя!,,1,нет,Тбилиси,100 гр,0.0527,31093,11400,1030,400.0,,,,,,,True,,,,Moschnye zhirnye marki 25i nbome 100sht. Gotovye klady v Gruzii ot proizvoditelja!
46,46,28-03-2020 14:32:03,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.15 G,,нет,5,Тбилиси,0.15 гр,0.022000000000000002,11660,4275,386,150.0,True,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.15 G
47,47,28-03-2020 14:32:03,Tbilisi,f8a875c191,0.25G - METADON - VHQ,,14,5,Тбилиси,0.25 гр,0.0256,13603,4988,451,175.0,True,,,,,,,,,,0.25G - METADON - VHQ
48,48,28-03-2020 14:32:03,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1.5 G (SALE),,нет,3,Тбилиси,1.5 гр,0.1171,62186,22800,2060,800.0,True,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.5 G (SALE)
49,49,28-03-2020 14:32:03,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,,нет,2,Тбилиси,2 гр,0.0293,15547,5700,515,200.0,True,,,,,,,,,,✨✨2gram. MDMA✨✨
50,50,28-03-2020 14:32:03,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,4,Тбилиси,2 гр,0.054000000000000006,28683,10517,950,369.0,True,,,,,,,,,,❄❄2g HQ COCAINE❄❄
