,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Varketili,€,Vake,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
95,95,19-02-2020 06:21:01,Tbilisi,851e5b91a0,"Godfather OG - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%) (предзаказ будет сделан очень оперативно)",True,нет,5,Тбилиси,5 гр,0.0183,13328,5123,460,209.0,,,,,,,,,,,"Godfather OG - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%) (predzakaz budet sdelan ochen' operativno)"
96,96,19-02-2020 06:21:01,Tbilisi,851e5b91a0,"NEW! O.G. Kush - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,4,Тбилиси,5 гр,0.0183,13328,5123,460,209.0,,,,,,,,,,,"NEW! O.G. Kush - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
97,97,19-02-2020 06:21:01,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.024,15942,6128,551,250.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
98,98,19-02-2020 06:21:01,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,19,Тбилиси,5 гр,0.0175,12754,4902,441,200.0,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
99,99,19-02-2020 06:21:01,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2605,190000,87429,6563,,,,,,,,,,,,reagent 25i nbome. 5gr
100,100,19-02-2020 06:21:01,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2623,191309,73530,6609,3000.0,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
101,101,19-02-2020 06:21:51,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,1,Тбилиси,5 гр,0.0475,31183,11985,1077,489.0,,,,,,,,,,,💘✨5g. MDMA ✨💘
102,102,19-02-2020 06:21:51,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0784,52000,23928,1796,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
103,103,19-02-2020 06:21:51,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0384,25444,9779,879,399.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
104,104,19-02-2020 06:21:51,Tbilisi,ce030318fd,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,3,Тбилиси,10 гр,0.1749,127540,49020,4406,2000.0,,,,,,,,,,,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
105,105,19-02-2020 06:21:51,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0769,51016,19608,1762,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
106,106,19-02-2020 06:21:51,Tbilisi,851e5b91a0,"Godfather OG - (Only Buds, IMPORT) Шишки(всегда подъезд) 10G (BTC sale 10%) (предзаказ будет сделан очень оперативно)",True,нет,5,Тбилиси,10 гр,0.0349,25444,9779,879,399.0,,,,,,,,,,,"Godfather OG - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 10G (BTC sale 10%) (predzakaz budet sdelan ochen' operativno)"
107,107,19-02-2020 06:21:51,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.214,141888,54535,4902,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
108,108,19-02-2020 06:21:51,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.028999999999999998,19067,7328,659,299.0,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
109,109,19-02-2020 06:21:51,Tbilisi,ce030318fd,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,8,Тбилиси,20 гр,0.2885,210440,80883,7270,3300.0,,,,,,,,,,,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
110,110,19-02-2020 06:21:51,Tbilisi,64284550d9,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0646,44639,17157,1542,700.0,,,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
111,111,19-02-2020 06:21:51,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1049,76524,29412,2644,1200.0,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
112,112,19-02-2020 06:21:51,Tbilisi,64284550d9,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.0922,63706,24485,2201,999.0,,,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
113,113,19-02-2020 06:21:51,Tbilisi,30f48d507d,Hybrid Skunk! 50 gr,True,нет,2,Тбилиси,50 гр,0.0914,60581,23285,2093,950.0,,,,,,,,,,,Hybrid Skunk! 50 gr
114,114,19-02-2020 06:21:51,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.1923,127540,49020,4406,2000.0,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
115,115,19-02-2020 06:21:51,Tbilisi,30f48d507d,Hybrid Skunk! 100 gr,True,нет,1,Тбилиси,100 гр,0.1731,114786,44118,3965,1800.0,,,,,,,,,,,Hybrid Skunk! 100 gr
116,116,19-02-2020 06:21:51,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2404,159425,61275,5508,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
117,117,19-02-2020 06:21:51,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (100шт)",True,нет,2,Тбилиси,100 гр,0.0376,27421,10539,947,430.0,,,,,,,,,,,"marki 25i-nbome 2,5mg (100sht)"
118,118,19-02-2020 06:21:51,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4424,293341,112746,10134,4600.0,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
119,119,19-02-2020 06:21:51,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7213,478274,183825,16523,7500.0,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
120,120,19-02-2020 06:21:51,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8175,542043,208335,18726,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
121,121,19-02-2020 06:21:51,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0175,12754,4902,441,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
122,122,19-02-2020 06:21:51,Tbilisi,8528108b62,Требуется Курьер,True,1,нет,Тбилиси,1 гр,0.0175,12754,4902,441,200.0,,,,,,,,,,,Trebuetsja Kur'er
123,123,19-02-2020 06:21:51,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0192,12754,4902,441,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
124,124,19-02-2020 06:21:51,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.024,15942,6128,551,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
125,125,19-02-2020 06:21:51,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.4557,956547,367650,33045,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
126,126,19-02-2020 06:23:23,Batumi,c72111ac1a,NZT-52 mind storm limited 1г мука,,6,нет,Батуми,1 гр,0.0166,12116,4657,419,190.0,,,,,,,,True,,,NZT-52 mind storm limited 1g muka
127,127,19-02-2020 06:23:23,Batumi,f8a875c191,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE ),,3,10,Батуми,0.27 гр,0.022000000000000002,14476,5564,500,227.0,,,,,,,,True,,,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE )
128,128,19-02-2020 06:23:23,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,19,Батуми,5 гр,0.0175,12754,4902,441,200.0,,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
129,129,19-02-2020 06:23:23,Batumi,30f48d507d,Hybrid Skunk! 50 gr,,нет,2,Батуми,50 гр,0.0912,60581,23285,2093,950.0,,,,,,,,True,,,Hybrid Skunk! 50 gr
130,130,19-02-2020 06:23:23,Batumi,30f48d507d,Hybrid Skunk! 100 gr,,нет,1,Батуми,100 гр,0.1729,114786,44118,3965,1800.0,,,,,,,,True,,,Hybrid Skunk! 100 gr
131,131,19-02-2020 06:23:23,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.29100000000000004,191309,73530,6609,3000.0,,,,,,,,True,,,SUBOXIN - HQ - 100 G.
132,132,19-02-2020 06:23:23,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,5,Батуми,150 гр,0.2425,159425,61275,5508,2500.0,,,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
133,133,19-02-2020 06:23:23,Batumi,d4df7908c3,"Приходите к нам работать вторым кладменом (кладчик, курьер)",,1,нет,Батуми,1 гр,0.0097,6377,2451,220,100.0,,,,,,,,True,,,"Prihodite k nam rabotat' vtorym kladmenom (kladchik, kur'er)"
134,134,19-02-2020 06:23:23,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0044,3188,1226,110,50.0,,,,,,,,True,,,kur'er v Batumi
135,135,19-02-2020 06:23:23,Batumi,a5417660bf,Вакансия Курьера в Батуми,,1,нет,Батуми,3 гр,0.0044,3188,1226,110,50.0,,,,,,,,True,,,Vakansija Kur'era v Batumi
136,136,19-02-2020 06:23:23,Batumi,a5417660bf,Вакансия Курьера в Батуми,,1,нет,Батуми,5 гр,0.0068,5000,2301,173,,,,,,,,,True,,,Vakansija Kur'era v Batumi
137,137,19-02-2020 06:23:23,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0218,15942,6128,551,250.0,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
138,138,19-02-2020 06:23:23,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0218,15942,6128,551,250.0,,,,,,,,True,,,Ischu kur'era v Gruzii!
139,139,19-02-2020 06:23:23,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.4538,956547,367650,33045,15000.0,,,,,,,,True,,,Vakansija optovogo kur'era na mef
140,140,19-02-2020 06:23:23,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.048,31885,12255,1102,500.0,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
141,141,19-02-2020 06:24:36,Kutaisi,d4df7908c3,"Шишки/weeds Afghan Kush, - 0,5г - Удобные клады в подъездах",,3,нет,Кутаиси,0.5 гр,0.0021,1403,539,48,22.0,,,,,,,,,,True,"Shishki/weeds Afghan Kush, - 0,5g - Udobnye klady v pod'ezdah"
142,142,19-02-2020 06:24:36,Kutaisi,d4df7908c3,"Шишки/weed Afghan Kush, 1г - Удобные клады в подъездах",,3,нет,Кутаиси,1 гр,0.0039,2551,980,88,40.0,,,,,,,,,,True,"Shishki/weed Afghan Kush, 1g - Udobnye klady v pod'ezdah"
143,143,19-02-2020 06:24:36,Kutaisi,d4df7908c3,Шишки / weeds Afghan Kush - 2г,,2,нет,Кутаиси,2 гр,0.0078,5102,1961,176,80.0,,,,,,,,,,True,Shishki / weeds Afghan Kush - 2g
144,144,19-02-2020 06:24:36,Kutaisi,d4df7908c3,"Шишки / Weed Afghan Kush, 3g",,2,3,Кутаиси,3 гр,0.0108,7078,2721,245,111.0,,,,,,,,,,True,"Shishki / Weed Afghan Kush, 3g"
145,145,19-02-2020 06:24:36,Kutaisi,d4df7908c3,"Приходите к нам работать вторым кладменом (кладчик, курьер)",,1,нет,Кутаиси,1 гр,0.0097,6377,2451,220,100.0,,,,,,,,,,True,"Prihodite k nam rabotat' vtorym kladmenom (kladchik, kur'er)"
