,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Varketili,€,Vake,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
21,21,19-02-2020 06:19:25,Tbilisi,8ddca45a78,1g BLUE CHEESE Indica THC 18% / BTC -10% sale,True,2,нет,Тбилиси,1 гр,0.0034,2487,956,86,39.0,,,,,,,,,,,1g BLUE CHEESE Indica THC 18% / BTC -10% sale
22,22,19-02-2020 06:19:25,Tbilisi,366326d4d6,1g MDMA - !!!NEW!!! - Purity 93%,True,10,нет,Тбилиси,1 гр,0.0106,6951,2672,240,109.0,,,,,,,,,,,1g MDMA - !!!NEW!!! - Purity 93%
23,23,19-02-2020 06:19:25,Tbilisi,cb721d4bca,"1gr ROYAL AFGHANI HASH FINEST QUALITY гашиш топ качество ,Оплата BITCOIN -10% Скидка",True,2,нет,Тбилиси,1 гр,0.0089,5873,2261,203,,,,85.0,,,,,,,,"1gr ROYAL AFGHANI HASH FINEST QUALITY gashish top kachestvo ,Oplata BITCOIN -10% Skidka"
24,24,19-02-2020 06:19:25,Tbilisi,7c395c455d,1gr bubble hash thc 25% гашиш вишего качество HQ,True,3,нет,Тбилиси,1 гр,0.0082,5420,2083,187,85.0,,,,,,,,,,,1gr bubble hash thc 25% gashish vishego kachestvo HQ
25,25,19-02-2020 06:19:25,Tbilisi,7ee4f68218,1gr mdma (скидка в биткоин 5%),True,4,нет,Тбилиси,1 гр,0.0085,5873,2261,203,,,,85.0,,,,,,,,1gr mdma (skidka v bitkoin 5%)
26,26,19-02-2020 06:19:25,Tbilisi,366326d4d6,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,3,нет,Тбилиси,1 гр,0.0192,12626,4853,436,198.0,,,,,,,,,,,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
27,27,19-02-2020 06:19:25,Tbilisi,8ec76151d3,Apvp VHQ 1g 24/7,True,10,нет,Тбилиси,1 гр,0.0115,7652,2941,264,120.0,,,,,,,,,,,Apvp VHQ 1g 24/7
28,28,19-02-2020 06:19:25,Tbilisi,8219f5e7b8,"Cocaine, 1g",True,7,нет,Тбилиси,1 гр,0.0214,14029,5392,485,220.0,,,,,,,,,,,"Cocaine, 1g"
29,29,19-02-2020 06:19:25,Tbilisi,ae784bef73,Gorilla Glue! 1G ! NEW !,True,1,нет,Тбилиси,1 гр,0.0038,2551,980,88,40.0,,,,,,,,,,,Gorilla Glue! 1G ! NEW !
30,30,19-02-2020 06:19:25,Tbilisi,2fdc22f2b2,HASH Mexicana 1 g SALE -10% for bitcoin.,True,9,нет,Тбилиси,1 гр,0.0062,4491,1729,155,,,,65.0,,,,,,,,HASH Mexicana 1 g SALE -10% for bitcoin.
31,31,19-02-2020 06:20:14,Tbilisi,28bf667d16,Hashish Ice-o-lator 1g,True,12,нет,Тбилиси,1 гр,0.0073,4847,1863,167,76.0,,,,,,,,,,,Hashish Ice-o-lator 1g
32,32,19-02-2020 06:20:14,Tbilisi,8219f5e7b8,Ketamine 1g,True,1,нет,Тбилиси,1 гр,0.0097,6377,2451,220,100.0,,,,,,,,,,,Ketamine 1g
33,33,19-02-2020 06:20:14,Tbilisi,1768a14bbd,NEW SALE Cocaine HQ 1 гр.,True,5,нет,Тбилиси,1 гр,0.0184,12053,4632,416,189.0,,,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
34,34,19-02-2020 06:20:14,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,3,нет,Тбилиси,1 гр,0.0184,12690,4877,438,199.0,,,,,,,,,,,VHQ BEST Cocaine 1g.
35,35,19-02-2020 06:20:14,Tbilisi,7ee4f68218,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,2,нет,Тбилиси,1 гр,0.0162,11160,4289,386,175.0,,,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
36,36,19-02-2020 06:20:14,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,2,нет,Тбилиси,1 гр,0.018000000000000002,12053,4632,416,189.0,,,,,,,,,,,Kokain HQ 1g.
37,37,19-02-2020 06:20:14,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,3,нет,Тбилиси,1 гр,0.0172,11415,4387,394,179.0,,,,True,,,,,,,Kokain KOLUMBIA 1g
38,38,19-02-2020 06:20:14,Tbilisi,61df6a1c90,Метадон 1гр,True,3,нет,Тбилиси,1 гр,0.0393,28696,11030,991,450.0,,,,,,,,,,,Metadon 1gr
39,39,19-02-2020 06:20:14,Tbilisi,e8a987a33c,"Метадон, 1gr",True,5,нет,Тбилиси,1 гр,0.0385,25508,9804,881,400.0,,,,,,,,,,,"Metadon, 1gr"
40,40,19-02-2020 06:20:14,Tbilisi,2dbb5960b9,Methadone HQ in city 1.3g,True,4,нет,Тбилиси,1.3 гр,0.0529,35073,13481,1212,550.0,,,,,,,,,,,Methadone HQ in city 1.3g
41,41,19-02-2020 06:20:14,Tbilisi,366326d4d6,2 Ecstasy >TEKASHI 69< !!! L I M I T E D !!!,True,2,нет,Тбилиси,2 гр,0.0077,5038,1936,174,79.0,,,,,,,,,,,2 Ecstasy >TEKASHI 69< !!! L I M I T E D !!!
42,42,19-02-2020 06:20:14,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,5,нет,Тбилиси,2 гр,0.0074,5420,2083,187,85.0,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
43,43,19-02-2020 06:20:14,Tbilisi,7ee4f68218,"2 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg",True,2,нет,Тбилиси,2 гр,0.006999999999999999,4836,1862,167,,,,70.0,,,,,,,,"2 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg"
44,44,19-02-2020 06:20:14,Tbilisi,7ee4f68218,2 ecstasy 💊Tekashi69💊 260mg mdma (скидка в биктоин),True,3,нет,Тбилиси,2 гр,0.006999999999999999,4836,1862,167,,,,70.0,,,,,,,,2 ecstasy 💊Tekashi69💊 260mg mdma (skidka v biktoin)
45,45,19-02-2020 06:20:14,Tbilisi,21de5577be,2.0 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,2,нет,Тбилиси,2 гр,0.0079,5229,2010,181,82.0,,True,,,,,,,,,2.0 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
46,46,19-02-2020 06:20:14,Tbilisi,64284550d9,2G -- AK-47 -> Sativa,True,13,нет,Тбилиси,2 гр,0.0067,4528,1740,156,71.0,True,,,,,,,,,,2G -- AK-47 -> Sativa
47,47,19-02-2020 06:20:14,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,6,нет,Тбилиси,2 гр,0.0077,5038,1936,174,79.0,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
