,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Varketili,Gldani,Didube,Vake,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,11-04-2020 10:31:13,Tbilisi,28bf667d16,Cocaine Fishscale! Limited Quantity 0.5 g. акция -15% при оплате бтк!!!,True,3,нет,Тбилиси,0.5 гр,0.0217,13718,5096,460,186.0,,,,,,,,,,,,Cocaine Fishscale! Limited Quantity 0.5 g. aktsija -15% pri oplate btk!!!
1,1,11-04-2020 10:31:13,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,4,нет,Тбилиси,0.5 гр,0.0142,8039,2987,270,109.0,,,,,,,,,,,,Cocaine Pure VHQ 0.5g
2,2,11-04-2020 10:31:13,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,4,нет,Тбилиси,0.5 гр,0.0169,9588,3562,322,130.0,,,,,,,,,,,,Pure COCAINE VHQ 0.5g
3,3,11-04-2020 10:31:13,Tbilisi,2f51af8159,SUPER HIGH QUALITY MANGO HAZE HYBRID BUDS PRESSED 0.5G ВЕС +15%,,3,нет,Тбилиси,0.5 гр,0.0041,2213,822,74,30.0,True,,,,,,,,,,,SUPER HIGH QUALITY MANGO HAZE HYBRID BUDS PRESSED 0.5G VES +15%
4,4,11-04-2020 10:31:13,Tbilisi,dd631c4acf,☃️ 0.5g HQ COCAINE ☃️,True,2,нет,Тбилиси,0.5 гр,0.015,8039,2987,270,109.0,,,,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
5,5,11-04-2020 10:31:13,Tbilisi,cb721d4bca,1 гр листя плус галовки марихуана,True,3,нет,Тбилиси,1 гр,0.0041,2213,822,74,30.0,,,,,,,,,,,,1 gr listja plus galovki marihuana
6,6,11-04-2020 10:31:13,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,2,нет,Тбилиси,1 гр,0.0253,14308,5316,480,194.0,,,,,,,,,,,,Cocaine Pure VHQ 1g
7,7,11-04-2020 10:31:13,Tbilisi,99accec7c7,HEROINE-999 1 гр из авганистана! скидка при покупке BTC,,5,нет,Тбилиси,1 гр,0.0815,44251,16440,1485,600.0,True,,,,,,,,,,,HEROINE-999 1 gr iz avganistana! skidka pri pokupke BTC
8,8,11-04-2020 10:31:13,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,True,1,нет,Тбилиси,1 гр,0.1087,59001,21920,1980,800.0,,,,,,,,,,,,Metadon VHQ 1 24/7
9,9,11-04-2020 10:31:13,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,5,нет,Тбилиси,1 гр,0.0274,15488,5754,520,210.0,,,,,,,,,,,,VHQ BEST Cocaine 1g.
10,10,11-04-2020 10:31:13,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 1 штука!!!!,True,9,нет,Тбилиси,1 гр,0.0028,1696,630,57,23.0,,,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 1 shtuka!!!!
11,11,11-04-2020 10:31:13,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1111,66376,24660,2228,900.0,,,,,,,,,,,,Metadon 1gr
12,12,11-04-2020 10:31:13,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,6,нет,Тбилиси,1 гр,0.0025,1475,548,50,20.0,,,,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
13,13,11-04-2020 10:31:13,Tbilisi,83f3d55917,19% ТГК Шишки Northern Lights 1.1г Скидка 3% через БИТКОИН,,4,нет,Тбилиси,1.1 гр,0.006,3319,1233,111,45.0,,True,,,,,,,,,,19% TGK Shishki Northern Lights 1.1g Skidka 3% cherez BITKOIN
14,14,11-04-2020 10:31:13,Tbilisi,4659482266,2g super Skunk top class buds. Indica,,2,нет,Тбилиси,2 гр,0.0114,6121,2274,205,83.0,True,,True,,,,,,,,,2g super Skunk top class buds. Indica
15,15,11-04-2020 10:31:13,Tbilisi,e56bb6ca93,2g zkittlez auto. 420 Strain. LIMITED!,True,1,нет,Тбилиси,2 гр,0.0121,6564,2439,220,89.0,,,,,,,,,,,,2g zkittlez auto. 420 Strain. LIMITED!
16,16,11-04-2020 10:31:13,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 2 штуки!!!,True,3,нет,Тбилиси,2 гр,0.0043,2581,959,87,35.0,,,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 2 shtuki!!!
17,17,11-04-2020 10:31:13,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome. 2шт. готовые клады в Грузии от производителя!,True,1,нет,Тбилиси,2 гр,0.0043,2581,959,87,35.0,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome. 2sht. gotovye klady v Gruzii ot proizvoditelja!
18,18,11-04-2020 10:31:13,Tbilisi,4c4ab8c0de,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨,,4,нет,Тбилиси,2 гр,0.0115,6269,2329,210,85.0,,,,True,,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨
19,19,11-04-2020 10:31:13,Tbilisi,366326d4d6,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,1,нет,Тбилиси,5 гр,0.0218,11726,4357,394,159.0,,,,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
20,20,11-04-2020 10:31:13,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,2,нет,Тбилиси,5 гр,0.0417,23600,8768,792,320.0,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
21,21,11-04-2020 10:31:13,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,3,нет,Тбилиси,5 гр,0.0403,22125,8220,743,300.0,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
22,22,11-04-2020 10:31:13,Tbilisi,f4d1c31614,5g MDMA (IMPORTED),True,2,нет,Тбилиси,5 гр,0.0521,29501,10960,990,400.0,,,,,,,,,,,,5g MDMA (IMPORTED)
23,23,11-04-2020 10:31:13,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (hight quality),True,1,нет,Тбилиси,5 гр,0.0182,9883,3672,332,134.0,,,,,,,,,,,,5gr marijuana buds -indica- (hight quality)
24,24,11-04-2020 10:31:13,Tbilisi,366326d4d6,NEW !!! 5G White Widow !!! NEW,True,1,нет,Тбилиси,5 гр,0.0211,11358,4220,381,154.0,,,,,,,,,,,,NEW !!! 5G White Widow !!! NEW
25,25,11-04-2020 10:31:13,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбоооом!!! 5 штук!!!,,1,нет,Тбилиси,5 гр,0.0095,5652,2097,189,,,,,,True,70.0,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 5 shtuk!!!
26,26,11-04-2020 10:31:13,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,1,нет,Тбилиси,10 гр,0.0496,26919,10001,903,365.0,,,,True,,,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
27,27,11-04-2020 10:31:13,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,2,нет,Тбилиси,10 гр,0.0105,6269,2329,210,85.0,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
28,28,11-04-2020 10:31:13,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0521,29501,10960,990,400.0,,,,,,,,,,,,gashish evro 10g
29,29,11-04-2020 10:31:13,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.1013,57305,21290,1923,777.0,,,,,,,,,,,,Gashish Evro 20gr
30,30,11-04-2020 10:31:13,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2469,147503,54800,4950,2000.0,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
31,31,11-04-2020 10:31:13,Tbilisi,f8a875c191,METADON - 0.27 G.,True,6,10,Тбилиси,0.27 гр,0.0311,16742,6220,562,227.0,,,,,,,,,,,,METADON - 0.27 G.
32,32,11-04-2020 10:31:13,Tbilisi,28bf667d16,Cocaine Fishscale! Limited Quantity 1g. акция -20% при оплате бтк!!!,True,7,10,Тбилиси,1 гр,0.0401,26919,10001,903,365.0,,,,,,,,,,,,Cocaine Fishscale! Limited Quantity 1g. aktsija -20% pri oplate btk!!!
