,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Nadzaladevi,Saburtalo,Varketili,Zahesi,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,0,27-06-2020 04:23:47,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,5,нет,Тбилиси,0.25 гр,0.0099,6824,2653,235,88.0,,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,1,27-06-2020 04:23:47,Tbilisi,21e6be39fb,"Black Gerain, Sirec VHQ 0.4g",,2,нет,Тбилиси,0.4 гр,0.0123,8295,3228,286,,True,120.0,,,,,,,,,,"Black Gerain, Sirec VHQ 0.4g"
2,2,27-06-2020 04:23:47,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,,3,нет,Тбилиси,0.5 гр,0.0165,10991,4277,379,,True,159.0,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
3,3,27-06-2020 04:23:47,Tbilisi,21e6be39fb,"Black Geroin, Sirec 0.5g",,5,нет,Тбилиси,0.5 гр,0.0154,10369,4035,358,,True,150.0,,,,,,,,,,"Black Geroin, Sirec 0.5g"
4,4,27-06-2020 04:23:47,Tbilisi,52fe6d0af9,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ 0.5G On Iron Magnet,,1,нет,Тбилиси,0.5 гр,0.0151,10162,3954,350,,True,147.0,,,,,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ 0.5G On Iron Magnet
5,5,27-06-2020 04:23:47,Tbilisi,52fe6d0af9,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,13,нет,Тбилиси,0.5 гр,0.0031,2074,807,72,,True,30.0,True,True,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
6,6,27-06-2020 04:23:47,Tbilisi,8e86176694,"Weed ""BIG BEMON"" sat 60% ind 40% only buds 0.5gr",,5,нет,Тбилиси,0.5 гр,0.0027,2005,780,69,,,29.0,,,True,,,,,,,"Weed ""BIG BEMON"" sat 60% ind 40% only buds 0.5gr"
7,7,27-06-2020 04:23:47,Tbilisi,8e86176694,КЕТАМИН WHQ 0.5g,,2,нет,Тбилиси,0.5 гр,0.013000000000000001,9609,3739,331,,True,139.0,,,,,,,,,,KETAMIN WHQ 0.5g
8,8,27-06-2020 04:23:47,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано 0.5г.,,1,нет,Тбилиси,0.5 гр,0.003,2005,780,69,,,29.0,,,,True,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
9,9,27-06-2020 04:23:47,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,,6,нет,Тбилиси,1 гр,0.0062,4148,1614,143,,,60.0,,,True,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
