,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vazisubani,Tbilisis Zgva,Дигоми,€,Old Tbilisi (Старый город),Авлобари,Varketili,Vake,Центр,Батуми,desc_en
10,10,30-07-2020 06:21:44,Tbilisi,0cd3c52bb8,White Russian - сорт чемпион ! Накуривает мощно.На магните.Вес всегда больше 1 грамма.,True,1,нет,Тбилиси,1 гр,0.0045,3973,1532,133,55.0,,,,,,,,,,,,White Russian - sort chempion ! Nakurivaet moschno.Na magnite.Ves vsegda bol'she 1 gramma.
11,11,30-07-2020 06:21:44,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,,2,нет,Тбилиси,2 гр,0.0088,7151,2757,239,99.0,,,,True,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
12,12,30-07-2020 06:21:44,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,True,4,нет,Тбилиси,2 гр,0.0107,8668,3342,290,120.0,,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
13,13,30-07-2020 06:21:44,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,3,нет,Тбилиси,2 гр,0.0107,8668,3342,290,120.0,,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
14,14,30-07-2020 06:21:44,Tbilisi,69672fee0d,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,1,нет,Тбилиси,2 гр,0.0089,7223,2785,242,100.0,,,,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
15,15,30-07-2020 06:21:44,Tbilisi,bb1791277e,2gr Amnesia Haze Auto сжатая марихуана BUDS,True,2,нет,Тбилиси,2 гр,0.0107,8668,3342,290,120.0,,,,,,,,,,,,2gr Amnesia Haze Auto szhataja marihuana BUDS
16,16,30-07-2020 06:21:44,Tbilisi,bb1791277e,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,True,1,нет,Тбилиси,2 гр,0.0107,8668,3342,290,120.0,,,,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
17,17,30-07-2020 06:21:44,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 2гр",True,1,нет,Тбилиси,2 гр,0.0089,7946,3064,266,110.0,,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
18,18,30-07-2020 06:21:44,Tbilisi,e771f4c371,Skunk 2G (25 % THC)*VHQ* IMPORT SPECIAL PRICE,,1,нет,Тбилиси,2 гр,0.0085,6862,2646,230,95.0,True,,,,,,,,,,,Skunk 2G (25 % THC)*VHQ* IMPORT SPECIAL PRICE
19,19,30-07-2020 06:21:44,Tbilisi,83f3d55917,!!! NEW !!! 3G Jack Herer(VHQ 24%THC),,2,нет,Тбилиси,3 гр,0.0134,10835,4178,363,150.0,True,,,,,,,,,,,!!! NEW !!! 3G Jack Herer(VHQ 24%THC)
