,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,Дигоми,€,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,18-03-2020 03:09:49,Tbilisi,V4T,COCAcoLA,HEROINE 0.25 VHQ tru heroine из авганистана!,True,9,нет,Тбилиси,0.25 гр,0.0293,14778,5800,473,200,,,,,,,,,,,HEROINE 0.25 VHQ tru heroine iz avganistana!
1,18-03-2020 03:09:49,Tbilisi,C36EL,TripGuru,Iranian Black Heroin Old WHQ Не сырец 0.25g,,2,нет,Тбилиси,0.25 гр,0.0145,6650,2610,213,90,True,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
2,18-03-2020 03:09:49,Tbilisi,BP40,WakeShop,Metadon VHQ 0.25 24/7,,3,нет,Тбилиси,0.25 гр,0.0278,14039,5510,450,190,True,,,,,,,,,,Metadon VHQ 0.25 24/7
3,18-03-2020 03:09:49,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),,10,10,Тбилиси,0.27 гр,0.0369,16773,6583,537,227,True,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
4,18-03-2020 03:09:49,Tbilisi,LYHBG,Playboy,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!",,1,нет,Тбилиси,0.5 гр,0.0177,8054,3161,258,109,True,,,,,,,,,,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!"
5,18-03-2020 03:09:49,Tbilisi,V4T,COCAcoLA,COCAINE VHQ!!! 0.5gr,True,4,нет,Тбилиси,0.5 гр,0.016,8054,3161,258,109,,,,,,,,,,,COCAINE VHQ!!! 0.5gr
6,18-03-2020 03:09:49,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 0.5g,,3,нет,Тбилиси,0.5 гр,0.0153,7315,2871,234,99,True,,,,,,,,,,Cocaine Pure VHQ 0.5g
7,18-03-2020 03:09:49,Tbilisi,V4T,COCAcoLA,MEPHEDRONE 0.5 лучший меф! лечит корона вирус!!!))),True,19,нет,Тбилиси,0.5 гр,0.0117,5911,2320,189,80,,,,,,,,,,,MEPHEDRONE 0.5 luchshij mef! lechit korona virus!!!)))
8,18-03-2020 03:09:49,Tbilisi,P285,Trippyshop,"NEW Sale!! Cocaine 0,5 гр. HQ",,4,нет,Тбилиси,0.5 гр,0.0161,7315,2871,234,99,True,,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
9,18-03-2020 03:09:49,Tbilisi,JVZTQ,partyshop,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,3,нет,Тбилиси,1 гр,0.0081,3694,1450,118,50,True,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
10,18-03-2020 03:09:49,Tbilisi,8B31,bobbyz,1 gr Indica dominant Buds,True,1,нет,Тбилиси,1 гр,0.0053,2438,957,78,33,,,,,,,,,,,1 gr Indica dominant Buds
11,18-03-2020 03:09:49,Tbilisi,03F3,geoshop,1 gr mdma Кристаллы очен силни импорт с европи,,8,нет,Тбилиси,1 гр,0.0193,8867,3480,284,120,True,,,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
12,18-03-2020 03:09:49,Tbilisi,JVZTQ,partyshop,1 gr гашиш VHQ gorilla glue hash тгк 28 %,,2,нет,Тбилиси,1 гр,0.0145,6650,2610,213,90,True,,,,,,,,,,1 gr gashish VHQ gorilla glue hash tgk 28 %
13,18-03-2020 03:09:49,Tbilisi,1GT8,GREENGY,1g MDMA (IMPORTED),True,2,нет,Тбилиси,1 гр,0.0176,8867,3480,284,120,,,,,,,,,,,1g MDMA (IMPORTED)
14,18-03-2020 03:09:49,Tbilisi,03F3,geoshop,2 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,,3,нет,Тбилиси,1 гр,0.0129,5911,2320,189,80,True,,,,,,,,,,2 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
15,18-03-2020 03:09:49,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,,5,нет,Тбилиси,1 гр,0.0277,13226,5191,424,179,True,,,,,,,,,,Cocaine Pure VHQ 1g
16,18-03-2020 03:09:49,Tbilisi,BP40,WakeShop,Metadon VHQ 1 24/7,,4,нет,Тбилиси,1 гр,0.0806,40639,15950,1302,550,True,,,,,,,,,,Metadon VHQ 1 24/7
