,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Varketili,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,08-02-2020 22:32:29,Tbilisi,61df6a1c90,Метадон 0.15гр,True,1,нет,Тбилиси,0.15 гр,0.0117,8251,3211,283,130.0,,,,,,,,,,Metadon 0.15gr
1,1,08-02-2020 22:32:29,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,1,нет,Тбилиси,0.25 гр,0.0162,11425,4446,392,180.0,,,,,,,,,,Metadon VHQ 0.25 24/7
2,2,08-02-2020 22:32:29,Tbilisi,32e645c201,"methadone 0,29 gr",,8,нет,Тбилиси,0.29 гр,0.0208,13329,5187,457,210.0,True,,,,,,,,,"methadone 0,29 gr"
3,3,08-02-2020 22:32:29,Tbilisi,61df6a1c90,Метадон 0.30гр,True,1,нет,Тбилиси,0.3 гр,0.0161,12060,4693,413,190.0,,,,,,,,,,Metadon 0.30gr
4,4,08-02-2020 22:32:29,Tbilisi,8a650ecf5f,"A PVP 0,33 VHQ",True,5,нет,Тбилиси,0.33 гр,0.0057,3808,1482,131,60.0,,,,,,,,,,"A PVP 0,33 VHQ"
5,5,08-02-2020 22:32:29,Tbilisi,69ebd25fed,0.5 GRAM LEMON Cheese VHQ,,5,нет,Тбилиси,0.5 гр,0.0028,1777,692,61,28.0,,True,,,,,,,,0.5 GRAM LEMON Cheese VHQ
6,6,08-02-2020 22:32:29,Tbilisi,21de5577be,0.5 gr. Auto Jamaica Feminized 100% Natural/Hybrid/ IMPORT,,9,нет,Тбилиси,0.5 гр,0.0031,1968,766,67,31.0,,,True,,,,,,,0.5 gr. Auto Jamaica Feminized 100% Natural/Hybrid/ IMPORT
7,7,08-02-2020 22:32:29,Tbilisi,da96c34455,ALFA PVP in City 0.5g,True,5,нет,Тбилиси,0.5 гр,0.0079,5078,1976,174,80.0,,,,,,,,,,ALFA PVP in City 0.5g
8,8,08-02-2020 22:32:29,Tbilisi,013e75d78f,"H i B R i D 0.5г. Три вадном ----> amnezia , tutanhamon, jackherer )",True,1,нет,Тбилиси,0.5 гр,0.0048,3110,1210,107,49.0,,,,,,,,,,"H i B R i D 0.5g. Tri vadnom ----> amnezia , tutanhamon, jackherer )"
9,9,08-02-2020 22:32:29,Tbilisi,8219f5e7b8,Ketamine 0.5g,True,8,нет,Тбилиси,0.5 гр,0.006,3808,1482,131,60.0,,,,,,,,,,Ketamine 0.5g
10,10,08-02-2020 22:32:29,Tbilisi,8ec76151d3,Metadon VHQ 0.5 24/7,True,3,нет,Тбилиси,0.5 гр,0.027000000000000003,19042,7410,653,300.0,,,,,,,,,,Metadon VHQ 0.5 24/7
11,11,08-02-2020 22:32:29,Tbilisi,61df6a1c90,Метадон 0.6гр,True,1,нет,Тбилиси,0.6 гр,0.0279,19676,7657,675,310.0,,,,,,,,,,Metadon 0.6gr
12,12,08-02-2020 22:32:29,Tbilisi,97bbc3dfd6,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука) ВНИМАНИЕ! НЕДЕЛЬНАЯ РАСПРОДАЖА! 120$!,True,9,нет,Тбилиси,0.8 гр,0.0119,7617,2964,261,120.0,,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka) VNIMANIE! NEDEL'NAJa RASPRODAZhA! 120$!
