,time_stamp,region,sell_code,sell_name,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Saburtalo,Nadzaladevi,Didube,Vake,Old Tbilisi (Старый город),Авлобари,Varketili,Батуми,Центр,Кутаиси,desc_en
0,11-07-2020 22:27:22,Tbilisi,EIH4,San4oPan4o,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,4,нет,Тбилиси,0.25 гр,0.0115,7947,3039,272,99,,,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,11-07-2020 22:27:22,Tbilisi,C36EL,TripGuru,Iranian Black Heroin Old WHQ Не сырец 0.25,,1,нет,Тбилиси,0.25 гр,0.0119,8027,3070,274,100,True,,,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25
2,11-07-2020 22:27:22,Tbilisi,C36EL,TripGuru,NEW Iranian Sirec 0.25g.,,1,нет,Тбилиси,0.25 гр,0.0107,7224,2763,247,90,True,,,,,,,,,,,,NEW Iranian Sirec 0.25g.
3,11-07-2020 22:27:22,Tbilisi,7LHWP,GEOBUDS,0.5 gr HYBRID buds,,12,нет,Тбилиси,0.5 гр,0.0035,2351,899,80,,True,33,,,,,,,,,,,0.5 gr HYBRID buds
4,11-07-2020 22:27:22,Tbilisi,U26MW,Skyhigh,VERY STRONG HYBRID GRANDADDY PURPLE WEED THC 26%++ 0.5G,,9,нет,Тбилиси,0.5 гр,0.0034,2279,872,78,,,32,True,,,,,,,,,,VERY STRONG HYBRID GRANDADDY PURPLE WEED THC 26%++ 0.5G
5,11-07-2020 22:27:22,Tbilisi,QVK5,Galiak,уро / Hammer 0.5G 100%шишки! LIMITED,,4,нет,Тбилиси,0.5 гр,0.0037,2493,954,85,,,35,,True,,,,,,,,,uro / Hammer 0.5G 100%shishki! LIMITED
6,11-07-2020 22:27:22,Tbilisi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️,,8,нет,Тбилиси,0.5 гр,0.0042,2809,1075,96,35,True,,,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️
7,11-07-2020 22:27:22,Tbilisi,JVZTQ,partyshop,1 Amnesia Haze марихуана шишки тгк 25%,,7,нет,Тбилиси,1 гр,0.0063,4274,1635,146,,True,60,,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
8,11-07-2020 22:27:22,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds,,7,нет,Тбилиси,1 гр,0.0062,4203,1608,143,,True,59,,,,,,,,,,,1 G Hybrid Marijuana Buds
9,11-07-2020 22:27:22,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,8,нет,Тбилиси,1 гр,0.0063,4274,1635,146,,True,60,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
10,11-07-2020 22:27:22,Tbilisi,SF03,CRAZYFROG,1 gr top buds white widow wишки THC 25% VHQ,,10,нет,Тбилиси,1 гр,0.0062,4203,1608,143,,True,59,,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
11,11-07-2020 22:27:22,Tbilisi,03F3,geoshop,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,4,нет,Тбилиси,1 гр,0.0063,4274,1635,146,,True,60,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
12,11-07-2020 22:27:22,Tbilisi,3Y9,HIGHTHC,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,11,нет,Тбилиси,1 гр,0.0062,4203,1608,143,,True,59,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
13,11-07-2020 22:27:22,Tbilisi,ABOAB,ProGrow,1G ---> Big Devil (BTC - Sale),,12,нет,Тбилиси,1 гр,0.006,4060,1553,139,,True,57,True,,,,,,,,,,1G ---> Big Devil (BTC - Sale)
14,11-07-2020 22:27:22,Tbilisi,7LHWP,GEOBUDS,1gr HYBRID o.g,,6,нет,Тбилиси,1 гр,0.0052,3490,1335,119,,True,49,,,,,,,,,,,1gr HYBRID o.g
15,11-07-2020 22:27:22,Tbilisi,XUYA,MRweed,"Amnesia Haze (photoperiod, regular) 1 гр. Спокойно, Надёжно, Качественно.",,1,нет,Тбилиси,1 гр,0.0053,3918,1499,134,,True,55,,,,,,,,,,,"Amnesia Haze (photoperiod, regular) 1 gr. Spokojno, Nadezhno, Kachestvenno."
16,11-07-2020 22:27:22,Tbilisi,QVK5,Galiak,Gorilla Glue 1G Super strong weed LIMITED,,2,нет,Тбилиси,1 гр,0.0063,4274,1635,146,,,60,,,True,,,,,,,,Gorilla Glue 1G Super strong weed LIMITED
17,11-07-2020 22:27:22,Tbilisi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 1g 🍭☄🧞‍♀️,,4,нет,Тбилиси,1 гр,0.0072,4816,1842,165,60,True,,,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 1g 🍭☄🧞‍♀️
18,11-07-2020 22:27:22,Tbilisi,JVZTQ,partyshop,2 Amnesia Haze марихуана шишки тгк 25%,,1,нет,Тбилиси,2 гр,0.0104,7052,2698,241,,,99,True,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
19,11-07-2020 22:27:22,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,,2,нет,Тбилиси,2 гр,0.0115,7764,2970,265,,,109,True,,,,,,,,,,2 G Hybrid Marijuana Buds
20,11-07-2020 22:27:22,Tbilisi,03F3,geoshop,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,1,нет,Тбилиси,2 гр,0.0126,8548,3270,292,,True,120,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
21,11-07-2020 22:27:22,Tbilisi,BB6E,WEEDSH0P,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,,2,нет,Тбилиси,2 гр,0.0126,8548,3270,292,,True,120,,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
22,11-07-2020 22:27:22,Tbilisi,03F3,geoshop,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,3,нет,Тбилиси,2 гр,0.0126,8548,3270,292,,True,120,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
23,11-07-2020 22:27:22,Tbilisi,3Y9,HIGHTHC,2 г Skunk #1 марихуана шишки тгк 29% VHQ,,3,нет,Тбилиси,2 гр,0.0105,7123,2725,243,,True,100,,,,,,,,,,,2 g Skunk #1 marihuana shishki tgk 29% VHQ
24,11-07-2020 22:27:22,Tbilisi,BB6E,WEEDSH0P,2gr Amnesia Haze Auto сжатая марихуана BUDS,,2,нет,Тбилиси,2 гр,0.0126,8548,3270,292,,True,120,,,,,,,,,,,2gr Amnesia Haze Auto szhataja marihuana BUDS
25,11-07-2020 22:27:22,Tbilisi,7LHWP,GEOBUDS,2gr HYBRID buds,,6,нет,Тбилиси,2 гр,0.0093,6268,2398,214,,True,88,,,,,,,,,,,2gr HYBRID buds
26,11-07-2020 22:27:22,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 2гр",,2,нет,Тбилиси,2 гр,0.0105,7835,2998,267,,True,110,,,,True,,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
27,11-07-2020 22:27:22,Tbilisi,3TGJ9,Elegant,3g. марихуана шишки Critical,,1,нет,Тбилиси,3 гр,0.0144,10684,4088,365,,True,150,,,,,,,,,,,3g. marihuana shishki Critical
28,11-07-2020 22:27:22,Tbilisi,8B31,GEOWEEDSHOP,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,8,нет,Тбилиси,3 гр,0.0058,3918,1499,134,,True,55,,,,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
29,11-07-2020 22:27:22,Tbilisi,3TGJ9,Elegant,5g. марихуана шишки Critical,,2,нет,Тбилиси,5 гр,0.023,17095,6540,583,,True,240,,,,,,,,,,,5g. marihuana shishki Critical
30,11-07-2020 22:27:22,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 5гр",True,1,нет,Тбилиси,5 гр,0.023,17095,6540,583,,,240,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
31,11-07-2020 22:27:22,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано. 5г.,,1,нет,Тбилиси,5 гр,0.0242,16383,6268,559,,,230,,,,True,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
32,11-07-2020 22:27:22,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 10гр,,2,нет,Тбилиси,10 гр,0.046,32053,12263,1094,,True,450,,,,,,,,,,,Gashish Evro 10gr
33,11-07-2020 22:27:22,Tbilisi,F8K,BestAcid,"марки 25i-nbome 2,5mg (10шт)",,6,нет,Тбилиси,10 гр,0.0091,6767,2589,231,,True,95,,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
34,11-07-2020 22:27:22,Tbilisi,2LY77,SveetWeed,11+ GRAMM BEASTWEED NEW,,1,нет,Тбилиси,11 гр,0.0172,12821,4905,437,,True,180,,,,,,,,,,,11+ GRAMM BEASTWEED NEW
35,11-07-2020 22:28:13,Tbilisi,2LY77,SveetWeed,11+ GRAMM BEASTWEED NEW,,1,нет,Тбилиси,11 гр,0.0172,12821,4905,437,,True,180,,,,,,,,,,,11+ GRAMM BEASTWEED NEW
36,11-07-2020 22:28:13,Tbilisi,3TGJ9,Elegant,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0479,35615,13625,1215,,True,500,,,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
37,11-07-2020 22:28:13,Tbilisi,X4ZM,ZYX,Silver haze leaves листья 15гр sale,,8,нет,Тбилиси,15 гр,0.0069,4630,1771,158,,True,65,,,,,,,,,,,Silver haze leaves list'ja 15gr sale
38,11-07-2020 22:28:13,Tbilisi,2LY77,SveetWeed,25 GGAMM NEW BEASTWEED,,1,нет,Тбилиси,25 гр,0.035,25999,9946,887,,True,365,,,,,,,,,,,25 GGAMM NEW BEASTWEED
39,11-07-2020 22:28:13,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2127,142460,54500,4860,,True,2000,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
40,11-07-2020 22:28:13,Tbilisi,6KB,Marioshop,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,5,Тбилиси,1 гр,0.0372,24883,9517,850,310,True,,,,,,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
41,11-07-2020 22:28:13,Tbilisi,R4156,bestchoice,Northern Lights Regular [budsonly] 3gram,,нет,10,Тбилиси,3 гр,0.0144,10684,4088,365,,True,150,,,,,,,,,,,Northern Lights Regular [budsonly] 3gram
42,11-07-2020 22:28:13,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,2,Тбилиси,4 гр,0.0422,28492,10900,972,,True,400,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
43,11-07-2020 22:28:13,Tbilisi,18FB,Mr.Green Tbilis,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.0263,17807,6813,608,,True,250,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
44,11-07-2020 22:28:13,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,4,Тбилиси,5 гр,0.058,39176,14988,1337,,True,550,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
