,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Дигоми,Saburtalo,Old Tbilisi (Старый город),Авлобари,Didube,Vake,Varketili,Батуми,Центр,€,desc_en
22,16-08-2020 12:00:08,Tbilisi,7LHWP,GEOBUDS,1g 🍁🍁🍁NEW glueberry o.g Dutch Passion Strain. (High quality)🌿🌿🌿,True,6,нет,Тбилиси,1 гр,0.0041,3514,1325,118,48,,,,,,,,,,,,1g 🍁🍁🍁NEW glueberry o.g Dutch Passion Strain. (High quality)🌿🌿🌿
23,16-08-2020 12:00:08,Tbilisi,7LHWP,GEOBUDS,1gr HYBRID o.g,True,9,нет,Тбилиси,1 гр,0.0041,3588,1352,120,49,,,,,,,,,,,,1gr HYBRID o.g
24,16-08-2020 12:00:08,Tbilisi,BB6E,WEEDSH0P,1gr Stardawg Auto WEED BUDS,True,1,нет,Тбилиси,1 гр,0.0046,4027,1518,135,55,,,,,,,,,,,,1gr Stardawg Auto WEED BUDS
25,16-08-2020 12:00:08,Tbilisi,8B31,GEOWEEDSHOP,1gr ☘NEW☘ Gorilla Cookies☘ (КЛАДИ НА МАГНИТАХ),True,6,нет,Тбилиси,1 гр,0.0049,4173,1573,140,57,,,,,,,,,,,,1gr ☘NEW☘ Gorilla Cookies☘ (KLADI NA MAGNITAH)
26,16-08-2020 12:00:08,Tbilisi,H9FHF,OldStar,Auto Amnesia Haze 1 gr,True,10,нет,Тбилиси,1 гр,0.0034,3000,1380,101,,,,,,,,,,,,,Auto Amnesia Haze 1 gr
27,16-08-2020 12:00:08,Tbilisi,X4ZM,ZYX,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G,True,4,нет,Тбилиси,1 гр,0.0046,3954,1490,133,54,,,,,,,,,,,,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G
28,16-08-2020 12:00:08,Tbilisi,X4ZM,ZYX,NEW * Green Gelato * NEW * BUDS ! 1G VHQ,True,1,нет,Тбилиси,1 гр,0.0049,4247,1601,142,58,,,,,,,,,,,,NEW * Green Gelato * NEW * BUDS ! 1G VHQ
29,16-08-2020 12:00:08,Tbilisi,X4ZM,ZYX,NEW * Royal Moby * NEW ! HQ BUDS 1G,True,5,нет,Тбилиси,1 гр,0.0046,4027,1518,135,55,,,,,,,,,,,,NEW * Royal Moby * NEW ! HQ BUDS 1G
30,16-08-2020 12:00:08,Tbilisi,9CK,Hyperboy,VHQ Hybrid MJ Buds 1G,True,1,нет,Тбилиси,1 гр,0.0042,3661,1380,123,50,,,,,,,,,,,,VHQ Hybrid MJ Buds 1G
31,16-08-2020 12:00:08,Tbilisi,03F3,geoshop,2 gr Amnesia Haze шишки импорт с европы тгк 28%,True,5,нет,Тбилиси,2 гр,0.0084,7248,2732,243,99,,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
32,16-08-2020 12:00:08,Tbilisi,BB6E,WEEDSH0P,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,True,2,нет,Тбилиси,2 гр,0.0089,7761,2926,260,106,,,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
33,16-08-2020 12:00:08,Tbilisi,3Y9,HIGHTHC,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,4,нет,Тбилиси,2 гр,0.0084,7322,2760,246,100,,,,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
34,16-08-2020 12:00:08,Tbilisi,5XD8,TYsonWeed,2G TYson Budds Скидка 5%,True,8,нет,Тбилиси,2 гр,0.006,5711,2153,192,78,,,True,,,,,,,,,2G TYson Budds Skidka 5%
35,16-08-2020 12:00:08,Tbilisi,51K,tiabaldo66,Метадон VHQ 0.5гр,True,1,нет,Тбилиси,0.5 гр,0.0359,32508,12254,1091,444,,,,,,,,,,,,Metadon VHQ 0.5gr
36,16-08-2020 12:01:13,Tbilisi,8B31,GEOWEEDSHOP,2g 🍁🌿WEST COAST 420 O.G🍁🌿 (HIGH QUALITY),True,1,нет,Тбилиси,2 гр,0.0073,6297,2374,211,86,,,,,,,,,,,,2g 🍁🌿WEST COAST 420 O.G🍁🌿 (HIGH QUALITY)
37,16-08-2020 12:01:13,Tbilisi,7LHWP,GEOBUDS,2g 🍁🍁🍁NEW glueberry o.g Dutch Passion Strain. (High quality)🌿🌿🌿,True,3,нет,Тбилиси,2 гр,0.0073,6297,2374,211,86,,,,,,,,,,,,2g 🍁🍁🍁NEW glueberry o.g Dutch Passion Strain. (High quality)🌿🌿🌿
38,16-08-2020 12:01:13,Tbilisi,BB6E,WEEDSH0P,Crystal METH 2gr Auto марихуана BUDS ! 15% pay bitcoin discount !,True,2,нет,Тбилиси,2 гр,0.0093,8054,3036,270,110,,,,,,,,,,,,Crystal METH 2gr Auto marihuana BUDS ! 15% pay bitcoin discount !
39,16-08-2020 12:01:13,Tbilisi,XUYA,MRweed,"Gorilla Breath - photoperiod, feminised 2 гр",True,2,нет,Тбилиси,2 гр,0.0084,8054,3036,270,110,,True,,,,,,,,,,"Gorilla Breath - photoperiod, feminised 2 gr"
40,16-08-2020 12:01:13,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 2гр",True,2,нет,Тбилиси,2 гр,0.0084,8054,3036,270,110,,True,,,,,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
41,16-08-2020 12:01:13,Tbilisi,9R7SU,ClownBaroN,MORNING GLORY 3G.( *VHQ*BUDS-26%THC) FROM EUROPE,,1,нет,Тбилиси,3 гр,0.0126,10982,4140,368,150,,,True,,,,,,,,,MORNING GLORY 3G.( *VHQ*BUDS-26%THC) FROM EUROPE
42,16-08-2020 12:01:13,Tbilisi,R4156,bestchoice,Northern Lights Regular [budsonly] 3gramm,True,3,нет,Тбилиси,3 гр,0.0069,6589,2484,221,90,,,,,,,,,,,,Northern Lights Regular [budsonly] 3gramm
43,16-08-2020 12:01:13,Tbilisi,03F3,geoshop,5 gr Amnesia Haze шишки импорт с европы тгк 28%,True,2,нет,Тбилиси,5 гр,0.0202,17572,6624,590,240,,,,,,,,,,,,5 gr Amnesia Haze shishki import s evropy tgk 28%
44,16-08-2020 12:01:13,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,1,нет,Тбилиси,5 гр,0.0211,18304,6900,614,250,,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
45,16-08-2020 12:01:13,Tbilisi,TDSHF,THC,Weed from Gali 5g.,True,1,нет,Тбилиси,5 гр,0.0186,16840,6348,565,230,,,,,,,,,,,,Weed from Gali 5g.
46,16-08-2020 12:01:13,Tbilisi,6P9R,RickNMorty,Subotex From France B8 VHQ 1pc,True,нет,5,Тбилиси,1 гр,0.0194,16840,6348,565,230,,,,,,,,,,,,Subotex From France B8 VHQ 1pc
