,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Saburtalo,Didube,Gldani,Дигоми,Vazisubani,Old Tbilisi (Старый город),Авлобари,Центр,€,Батуми,Кутаиси,desc_en
0,0,09-05-2020 05:35:43,Tbilisi,8ddca45a78,"0,5g WHITE WIDOW (Hybrid, more sativa)",True,3,нет,Тбилиси,0.5 гр,0.0028,2068,759,68,28.0,,,,,,,,,,,,,"0,5g WHITE WIDOW (Hybrid, more sativa)"
1,1,09-05-2020 05:35:43,Tbilisi,69672fee0d,0.5 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,3,нет,Тбилиси,0.5 гр,0.0035,2586,949,85,35.0,,,,,,,,,,,,,0.5 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
2,2,09-05-2020 05:35:43,Tbilisi,69672fee0d,0.5 г Skunk #1 марихуана шишки тгк 29% VHQ,True,3,нет,Тбилиси,0.5 гр,0.0034,2512,922,83,34.0,,,,,,,,,,,,,0.5 g Skunk #1 marihuana shishki tgk 29% VHQ
3,3,09-05-2020 05:35:43,Tbilisi,2f51af8159,NEW WEED SOMANGO BUDS PRESSED 0.5,,1,нет,Тбилиси,0.5 гр,0.0027,1995,732,66,27.0,True,,,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
4,4,09-05-2020 05:35:43,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0139,10342,3795,342,140.0,,,,,,,,,,,,,Pure COCAINE VHQ 0.5g
5,5,09-05-2020 05:35:43,Tbilisi,dd631c4acf,☃️ 0.5g New Columbian COCAINE ☃️,True,4,нет,Тбилиси,0.5 гр,0.0131,9603,3524,317,130.0,,True,True,,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
6,6,09-05-2020 05:35:43,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,True,2,нет,Тбилиси,1 гр,0.0055,4063,1491,134,55.0,,,,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
7,7,09-05-2020 05:35:43,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,True,9,нет,Тбилиси,1 гр,0.0302,22088,8106,730,299.0,,,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
8,8,09-05-2020 05:35:43,Tbilisi,8ddca45a78,"1g WHITE WIDOW (Hybrid, more sativa)",True,8,нет,Тбилиси,1 гр,0.0048,3546,1301,117,48.0,,,,,,,,,,,,,"1g WHITE WIDOW (Hybrid, more sativa)"
9,9,09-05-2020 05:35:43,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,2,нет,Тбилиси,1 гр,0.0235,17360,6371,574,235.0,,,,,,,,,,,,,Cocaine Pure VHQ 1g
10,10,09-05-2020 05:35:43,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,3,нет,Тбилиси,1 гр,0.0238,17729,6506,586,240.0,,,,,,,,,,,,,VHQ BEST Cocaine 1g.
11,11,09-05-2020 05:35:43,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0819,66485,24399,2197,900.0,,,,,,,,,,,,,Metadon 1gr
12,12,09-05-2020 05:35:43,Tbilisi,366326d4d6,2 ECSTASY << PACO RABANNE >>,True,2,нет,Тбилиси,2 гр,0.009000000000000001,6575,2413,217,89.0,,,,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
13,13,09-05-2020 05:35:43,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,True,2,нет,Тбилиси,2 гр,0.01,7387,2711,244,100.0,,,,,,,,,,,,,2 G Hybrid Marijuana Buds
14,14,09-05-2020 05:35:43,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,3,нет,Тбилиси,2 гр,0.009000000000000001,7313,2684,242,99.0,,True,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
15,15,09-05-2020 05:35:43,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,2,нет,Тбилиси,2 гр,0.009000000000000001,6575,2413,217,89.0,,,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
16,16,09-05-2020 05:35:43,Tbilisi,4659482266,2g super Skunk top class buds.,,6,нет,Тбилиси,2 гр,0.0086,6279,2304,208,85.0,,,,True,,,,,,,,,2g super Skunk top class buds.
17,17,09-05-2020 05:35:43,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.Авламбари,True,3,нет,Тбилиси,2 гр,0.0071,5171,1898,171,70.0,,,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.Avlambari
18,18,09-05-2020 05:35:43,Tbilisi,e56bb6ca93,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,6,нет,Тбилиси,2 гр,0.0089,6575,2413,217,89.0,,,True,,True,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
19,19,09-05-2020 05:35:43,Tbilisi,ae784bef73,NEW ! Silver Haze NEW ! HQ BUDS 2G,,1,нет,Тбилиси,2 гр,0.0098,7240,2657,239,98.0,,True,,,,,,,,,,,NEW ! Silver Haze NEW ! HQ BUDS 2G
20,20,09-05-2020 05:35:43,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,4,нет,Тбилиси,2 гр,0.0085,6279,2304,208,85.0,,True,,,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
21,21,09-05-2020 05:35:43,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,True,2,нет,Тбилиси,3 гр,0.012,8791,3226,291,119.0,,,,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
22,22,09-05-2020 05:35:43,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,5,нет,Тбилиси,3 гр,0.0106,7757,2847,256,105.0,,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
23,23,09-05-2020 05:35:43,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,2,нет,Тбилиси,5 гр,0.0307,23639,8675,781,320.0,,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
24,24,09-05-2020 05:35:43,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,2,нет,Тбилиси,5 гр,0.0297,22162,8133,732,300.0,,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
25,25,09-05-2020 05:35:43,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,1,нет,Тбилиси,5 гр,0.0119,8791,3226,291,119.0,,,,,,True,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
26,26,09-05-2020 05:35:43,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,2,нет,Тбилиси,5 гр,0.0177,12928,4744,427,175.0,,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
27,27,09-05-2020 05:35:43,Tbilisi,b01f16ca19,"10g. Шишки Amnesia Haze, Сатива",,1,нет,Тбилиси,10 гр,0.0399,29475,10817,974,399.0,,True,,,,,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
28,28,09-05-2020 05:35:43,Tbilisi,21e6be39fb,BANANA KUSH SUPER BUDS 10g TOP VHQ THC 28%,True,1,нет,Тбилиси,10 гр,0.033,24378,8946,806,330.0,,,,,,,,,,,,,BANANA KUSH SUPER BUDS 10g TOP VHQ THC 28%
29,29,09-05-2020 05:35:43,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0384,29549,10844,977,400.0,,,,,,,,,,,,,gashish evro 10g
30,30,09-05-2020 05:35:43,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0746,57399,21064,1897,777.0,,,,,,,,,,,,,Gashish Evro 20gr
31,31,09-05-2020 05:35:43,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.182,147745,54220,4883,2000.0,,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
32,32,09-05-2020 05:35:43,Tbilisi,e56bb6ca93,100 гр Марихуана шишки. ИНДИКА. оптовая Цена,,1,нет,Тбилиси,100 гр,0.1651,121816,44704,4026,1649.0,,True,,,,,,,,,,,100 gr Marihuana shishki. INDIKA. optovaja Tsena
33,33,09-05-2020 05:35:43,Tbilisi,89f7212915,"""Kief"" Weed trichomes 1G",True,нет,6,Тбилиси,1 гр,0.016,11820,4338,391,160.0,,,,,,,,,,,,,"""Kief"" Weed trichomes 1G"
34,34,09-05-2020 05:36:25,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,3,Тбилиси,2 гр,0.0213,15513,5693,513,210.0,,,,,,,,,,,,,✨✨2gram. MDMA✨✨
35,35,09-05-2020 05:36:25,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,5,Тбилиси,2 гр,0.0374,27259,10004,901,369.0,,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
36,36,09-05-2020 05:36:25,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,9,Тбилиси,3 гр,0.0586,42772,15697,1414,579.0,,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
37,37,09-05-2020 05:36:25,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0401,29549,10844,977,400.0,,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
38,38,09-05-2020 05:36:25,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0551,40630,14911,1343,550.0,,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
39,39,09-05-2020 05:36:25,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,10,Тбилиси,5 гр,0.0236,17360,6371,574,235.0,,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
40,40,09-05-2020 05:36:25,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,7,Тбилиси,5 гр,0.0241,17729,6506,586,240.0,,,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
41,41,09-05-2020 05:36:25,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,5 гр,0.0231,16991,6235,562,230.0,,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
42,42,09-05-2020 05:36:25,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,3,Тбилиси,5 гр,0.0241,17729,6506,586,240.0,,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
43,43,09-05-2020 05:36:25,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,5,Тбилиси,5 гр,0.0241,17729,6506,586,240.0,,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
44,44,09-05-2020 05:36:25,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0241,17729,6506,586,240.0,,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
45,45,09-05-2020 05:36:25,Tbilisi,bb1791277e,5gr Stardawg Auto WEED BUDS,True,нет,10,Тбилиси,5 гр,0.0241,17729,6506,586,240.0,,,,,,,,,,,,,5gr Stardawg Auto WEED BUDS
46,46,09-05-2020 05:36:25,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0231,16991,6235,562,230.0,,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
47,47,09-05-2020 05:36:25,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.02,16178,5937,535,219.0,,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
48,48,09-05-2020 05:36:25,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0236,17360,6371,574,235.0,,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
49,49,09-05-2020 05:36:25,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 5 Gr,True,нет,1,Тбилиси,5 гр,0.016,11820,4338,391,160.0,,,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 5 Gr
50,50,09-05-2020 05:36:25,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.23399999999999999,190000,87429,6279,,,,,,,,,,,,,,reagent 25i nbome. 5gr
51,51,09-05-2020 05:36:25,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2734,221618,81330,7325,3000.0,,,,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
52,52,09-05-2020 05:36:25,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,9,Тбилиси,5 гр,0.0971,70844,25998,2341,959.0,,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
53,53,09-05-2020 05:36:25,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,нет,3,Тбилиси,5 гр,0.0191,13962,5124,461,189.0,,,,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
54,54,09-05-2020 05:36:25,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0192,14036,5151,464,190.0,,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
55,55,09-05-2020 05:36:25,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0495,36124,13257,1194,489.0,,,,,,,,,,,,,💘✨5g. MDMA ✨💘
56,56,09-05-2020 05:36:25,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,3,Тбилиси,5 гр,0.0191,13962,5124,461,189.0,,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
