,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Vake,€,Didube,Дигоми,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
92,30-03-2020 07:44:03,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,2.2589,1165988,427500,38631,15000,True,,,,,,,,,,Vakansija optovogo kur'era na mef
93,30-03-2020 07:44:59,Batumi,V4T,COCAcoLA,METHADONE 0.25 THE BEST QUALITY VHQ,,3,нет,Батуми,0.25 гр,0.0298,15547,5700,515,200,,,,,,,,True,,,METHADONE 0.25 THE BEST QUALITY VHQ
94,30-03-2020 07:44:59,Batumi,V4T,COCAcoLA,MEPHEDRONE 0.5 gr,,2,нет,Батуми,0.5 гр,0.0109,6219,2280,206,80,,,,,,,,True,,,MEPHEDRONE 0.5 gr
95,30-03-2020 07:44:59,Batumi,V4T,COCAcoLA,mephedrone 1gr высшый стиль!) лекарство от корона вируса!),,4,нет,Батуми,1 гр,0.0224,11660,4275,386,150,,,,,,,,True,,,mephedrone 1gr vysshyj stil'!) lekarstvo ot korona virusa!)
96,30-03-2020 07:44:59,Batumi,72B,CHINATOWN,NZT-52 limited 2г мука,,1,нет,Батуми,2 гр,0.0461,26429,9690,876,340,,,,,,,,,True,,NZT-52 limited 2g muka
97,30-03-2020 07:44:59,Batumi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 2 штуки!!!,,17,нет,Батуми,2 гр,0.0061,3498,1283,116,45,,,,,,,,,True,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 2 shtuki!!!
98,30-03-2020 07:44:59,Batumi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 4 штуки!!!,,1,нет,Батуми,4 гр,0.0095,5441,1995,180,70,,,,,,,,,True,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 4 shtuki!!!
99,30-03-2020 07:44:59,Batumi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 6 штук!!!!,,1,нет,Батуми,6 гр,0.0129,7385,2708,245,95,,,,,,,,,True,,Bozhestvennyj ejforik!!! Marki nboooom!!! 6 shtuk!!!!
100,30-03-2020 07:44:59,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.3283,171012,62700,5666,2200,,,,,,,,,True,,[100g] SPAIN HASH
101,30-03-2020 07:44:59,Batumi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),,нет,13,Батуми,5 гр,0.0271,15547,5700,515,200,,,,,,,,,True,,Metamfetamin ratsemat 5 g. (MQ)
102,30-03-2020 07:44:59,Batumi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.3015,155465,57000,5151,2000,,,,,,,,,True,,SUBOXIN - HQ - 100 G.
103,30-03-2020 07:44:59,Batumi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.2261,116599,42750,3863,1500,,,,,,,,,True,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
104,30-03-2020 07:44:59,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0136,7773,2850,258,100,,,,,,,,,True,,kur'er v Batumi
105,30-03-2020 07:44:59,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0339,19433,7125,644,250,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
106,30-03-2020 07:44:59,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0339,19433,7125,644,250,,,,,,,,,True,,Ischu kur'era v Gruzii!
107,30-03-2020 07:44:59,Batumi,A3I9,Joookerrr,Работа на марки (курьер),,1,нет,Батуми,50 гр,0.0374,21435,7938,709,,,,250,,,,,,True,,Rabota na marki (kur'er)
108,30-03-2020 07:44:59,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.2589,1165988,427500,38631,15000,,,,,,,,,True,,Vakansija optovogo kur'era na mef
109,30-03-2020 07:44:59,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0746,38866,14250,1288,500,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
110,30-03-2020 07:46:22,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 1g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! КУТАИСИ!!!,,4,нет,Кутаиси,1 гр,0.0282,14847,5444,492,191,,,,,,,,,,True,Columbia Cocaine VHQ 1g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! KUTAISI!!!
111,30-03-2020 07:46:22,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 1.5g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! КУТАИСИ!!!,,7,нет,Кутаиси,1.5 гр,0.0214,11271,4133,373,145,,,,,,,,,,True,MDMA from Europe!!! 1.5g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! KUTAISI!!!
112,30-03-2020 07:46:22,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! КУТАИСИ!!!,,10,нет,Кутаиси,2 гр,0.0539,28372,10403,940,365,,,,,,,,,,True,Columbia Cocaine VHQ 2g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! KUTAISI!!!
113,30-03-2020 07:46:22,Kutaisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 2 штуки!!!,,10,нет,Кутаиси,2 гр,0.0061,3498,1283,116,45,,,,,,,,,,True,Bozhestvennyj eiforik!!! Marki nbooooom!!! 2 shtuki!!!
114,30-03-2020 07:46:22,Kutaisi,EIH4,San4oPan4o,ГАШИШ твердый!!! Hash!!!! 2.0 g !!BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! КУТАИСИ!!!,,4,нет,Кутаиси,2 гр,0.0199,10494,3848,348,135,,,,,,,,,,True,GAShISh tverdyj!!! Hash!!!! 2.0 g !!BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! KUTAISI!!!
115,30-03-2020 07:46:22,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 3g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! КУТАИСИ!!!,,10,нет,Кутаиси,3 гр,0.0406,21376,7838,708,275,,,,,,,,,,True,MDMA from Europe!!! 3g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! KUTAISI!!!
116,30-03-2020 07:46:22,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,1,нет,Кутаиси,50 гр,0.0374,21435,7938,709,,,,250,,,,,,,True,Rabota na marki (kur'er)
