,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Vake,€,Didube,Дигоми,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
20,30-03-2020 07:42:41,Tbilisi,03F3,geoshop,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,3,нет,Тбилиси,2 гр,0.0103,5364,1967,178,69,True,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
21,30-03-2020 07:42:41,Tbilisi,BB6E,WEEDSH0P,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,,6,нет,Тбилиси,2 гр,0.0103,5364,1967,178,69,True,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
22,30-03-2020 07:42:41,Tbilisi,SF03,CRAZYFROG,2 gr Шишки “OG KUSH VHQ”,,8,нет,Тбилиси,2 гр,0.0103,5364,1967,178,69,True,,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
23,30-03-2020 07:42:41,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,,3,нет,Тбилиси,2 гр,0.0106,5441,1995,180,70,True,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
24,30-03-2020 07:42:41,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 2 g,,2,нет,Тбилиси,2 гр,0.0488,27984,10260,927,360,True,,,,,,,,,,Cocaine Pure VHQ 2 g
25,30-03-2020 07:42:41,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 2g.,,3,нет,Тбилиси,2 гр,0.0556,31870,11685,1056,410,True,,,,,,,,,,VHQ BEST Cocaine 2g.
26,30-03-2020 07:42:41,Tbilisi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 2 штуки!!! (в упаковке одна бумага которую вы можете сами ножницей поднлить так как вы считайте нужным! или же если вы старец и имейте большой опыт можно целую,,4,нет,Тбилиси,2 гр,0.0047,2721,998,90,35,True,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 2 shtuki!!! (v upakovke odna bumaga kotoruju vy mozhete sami nozhnitsej podnlit' tak kak vy schitajte nuzhnym! ili zhe esli vy starets i imejte bol'shoj opyt mozhno tseluju
27,30-03-2020 07:42:41,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome. 2шт. готовые клады в Грузии от производителя!,True,5,нет,Тбилиси,2 гр,0.0047,2721,998,90,35,True,,,,,,,,,,Moschnye zhirnye marki 25i nbome. 2sht. gotovye klady v Gruzii ot proizvoditelja!
28,30-03-2020 07:42:41,Tbilisi,WLV7F,AGsgrowgro,metadon hydrochloride 4г,True,3,нет,Тбилиси,4 гр,0.0082,4275,1568,142,55,,,,,,,,,,,metadon hydrochloride 4g
29,30-03-2020 07:42:41,Tbilisi,LYHBG,Playboy,!!!NEW!!! 5G Jack Herer !!!NEW!!!,,1,нет,Тбилиси,5 гр,0.0234,12049,4418,399,155,True,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
30,30-03-2020 07:42:41,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",,2,нет,Тбилиси,5 гр,0.0434,24874,9120,824,320,True,,,,,,,,,,"5 Grm MDMA , Purity A +++"
31,30-03-2020 07:42:41,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,,1,нет,Тбилиси,5 гр,0.0443,23320,8550,773,300,True,,,,,,,,,,5 Grm Mdma Pure Quality A +++
32,30-03-2020 07:42:41,Tbilisi,03F3,geoshop,5 gr Amnesia Haze шишки импорт с европы тгк 28%,,2,нет,Тбилиси,5 гр,0.0246,12826,4703,425,165,True,,,,,,,,,,5 gr Amnesia Haze shishki import s evropy tgk 28%
33,30-03-2020 07:42:41,Tbilisi,0WE,Khachapuri,5 gr mdma (скидка в биткоин 5%),,2,нет,Тбилиси,5 гр,0.0363,19720,7303,653,,True,,230,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
34,30-03-2020 07:43:28,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,,7,нет,Тбилиси,5 гр,0.0264,13603,4988,451,175,True,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
35,30-03-2020 07:43:28,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 5g.,,1,нет,Тбилиси,5 гр,0.1084,62108,22772,2058,799,True,,,,,,,,,,Cocaine Pure VHQ 5g.
36,30-03-2020 07:43:28,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 5g.,,1,нет,Тбилиси,5 гр,0.1165,66772,24482,2212,859,True,,,,,,,,,,VHQ BEST Cocaine 5g.
37,30-03-2020 07:43:28,Tbilisi,7LHWP,GEOBUDS,10 gr georgian weed. Wholesale,True,1,нет,Тбилиси,10 гр,0.0297,15469,5672,513,199,,,,,,,,,,,10 gr georgian weed. Wholesale
38,30-03-2020 07:43:28,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica-,True,2,нет,Тбилиси,10 гр,0.0357,18578,6812,616,239,,,,,,,,,,,10 gr marijuana buds. -indica-
39,30-03-2020 07:43:28,Tbilisi,ABOAB,ProGrow,10G ---> ONLY BUDS,,1,нет,Тбилиси,10 гр,0.0313,16324,5985,541,210,True,,,,,,,,,,10G ---> ONLY BUDS
40,30-03-2020 07:43:28,Tbilisi,5ZOKU,AGROHUUB,"10g. Шишки Amnesia Haze, Сатива",True,1,нет,Тбилиси,10 гр,0.0595,31015,11372,1028,399,,,,,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
41,30-03-2020 07:43:28,Tbilisi,P5MBO,ToppoT,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,1,нет,Тбилиси,10 гр,0.0545,28372,10403,940,365,,,,True,,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
42,30-03-2020 07:43:28,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 10шт. вес таблетки 450mg,,1,нет,Тбилиси,10 гр,0.0398,20755,7610,688,267,True,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
43,30-03-2020 07:43:28,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,,1,нет,Тбилиси,10 гр,0.0573,31093,11400,1030,400,True,,,,,,,,,,gashish evro 10g
44,30-03-2020 07:43:28,Tbilisi,EIH4,San4oPan4o,MDMA from Europe!!! 25g SALE!!!,,1,нет,Тбилиси,25 гр,0.1864,97088,35597,3217,1249,,,,,True,,,,,,MDMA from Europe!!! 25g SALE!!!
45,30-03-2020 07:43:28,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2713,155465,57000,5151,2000,True,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
46,30-03-2020 07:43:28,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 100шт. Готовые клады в Грузии от производителя!,,1,нет,Тбилиси,100 гр,0.0543,31093,11400,1030,400,,,,,,True,,,,,Moschnye zhirnye marki 25i nbome 100sht. Gotovye klady v Gruzii ot proizvoditelja!
