,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),€,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,10-03-2020 11:47:22,Tbilisi,BP40,WakeShop,Metadon VHQ 0.25 24/7,True,10,нет,Тбилиси,0.25 гр,0.0217,14179,5414,494,210,,,,,,,,Metadon VHQ 0.25 24/7
1,10-03-2020 11:47:22,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.35 G,True,3,нет,Тбилиси,0.35 гр,0.0368,21606,8250,753,320,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G
2,10-03-2020 11:47:22,Tbilisi,OX85,amnesia420,"0,5g AFGHANI Indica THC 18% / BTC -5% sale",True,4,нет,Тбилиси,0.5 гр,0.0027,1688,645,59,25,,,,,,,,"0,5g AFGHANI Indica THC 18% / BTC -5% sale"
3,10-03-2020 11:47:22,Tbilisi,Y7587,PVPStore,ALFA PVP 1g,True,1,нет,Тбилиси,1 гр,0.0145,9452,3609,329,140,,,,,,,,ALFA PVP 1g
4,10-03-2020 11:47:22,Tbilisi,BP40,WakeShop,Apvp VHQ 1g 24/7,True,10,нет,Тбилиси,1 гр,0.0171,10128,3867,353,150,,,,,,,,Apvp VHQ 1g 24/7
5,10-03-2020 11:47:22,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,3,нет,Тбилиси,1 гр,0.0206,12761,4872,445,189,,,,,,,,Cocaine Pure VHQ 1g
6,10-03-2020 11:47:22,Tbilisi,X4ZM,ZYX,NEW ! Super Critical ! NEW ! BUDS ! 1G,True,1,нет,Тбилиси,1 гр,0.0051,3038,1160,106,45,,,,,,,,NEW ! Super Critical ! NEW ! BUDS ! 1G
7,10-03-2020 11:47:22,Tbilisi,72B,CHINATOWN,NZT-52 mind storm limited 1г мука,True,5,нет,Тбилиси,1 гр,0.0145,9452,3609,329,140,,,,,,,,NZT-52 mind storm limited 1g muka
8,10-03-2020 11:47:22,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,3,нет,Тбилиси,1 гр,0.0217,13436,5130,468,199,,,,,,,,VHQ BEST Cocaine 1g.
9,10-03-2020 11:47:22,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,True,4,нет,Тбилиси,1 гр,0.0213,12761,4872,445,189,,,,,,,,Kokain HQ 1g.
