,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Old Tbilisi (Старый город),€,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,09-03-2020 15:03:01,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,6,нет,Тбилиси,0.25 гр,0.0213,14179,5359,470,210.0,,,,,,,,,Metadon VHQ 0.25 24/7
1,1,09-03-2020 15:03:01,Tbilisi,8ec76151d3,Metadon VHQ 0.33,True,2,нет,Тбилиси,0.33 гр,0.0285,18905,7146,627,280.0,,,,,,,,,Metadon VHQ 0.33
2,2,09-03-2020 15:03:01,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G,True,1,нет,Тбилиси,0.35 гр,0.0361,21606,8166,717,320.0,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G
3,3,09-03-2020 15:03:01,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,1,нет,Тбилиси,0.5 гр,0.0106,6684,2526,222,99.0,,,,,,,,,Cocaine Pure VHQ 0.5g
4,4,09-03-2020 15:03:01,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS saburtalo!! btc sale 1%",True,1,нет,Тбилиси,1 гр,0.0044,2633,995,87,39.0,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS saburtalo!! btc sale 1%"
5,5,09-03-2020 15:03:01,Tbilisi,64284550d9,1G -- ФОТО РАБОТАЕТ -> Sativa,,24,нет,Тбилиси,1 гр,0.0041,2498,944,83,37.0,True,,,,,,,,1G -- FOTO RABOTAET -> Sativa
6,6,09-03-2020 15:03:01,Tbilisi,da96c34455,ALFA PVP 1g,True,2,нет,Тбилиси,1 гр,0.0142,9452,3573,314,140.0,,,,,,,,,ALFA PVP 1g
7,7,09-03-2020 15:03:01,Tbilisi,8ec76151d3,Apvp VHQ 1g 24/7,True,10,нет,Тбилиси,1 гр,0.0168,10128,3828,336,150.0,,,,,,,,,Apvp VHQ 1g 24/7
8,8,09-03-2020 15:03:01,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,6,нет,Тбилиси,1 гр,0.0203,12761,4823,423,189.0,,,,,,,,,Cocaine Pure VHQ 1g
9,9,09-03-2020 15:03:01,Tbilisi,c72111ac1a,NZT-52 mind storm limited 1г мука,True,7,нет,Тбилиси,1 гр,0.0142,9452,3573,314,140.0,,,,,,,,,NZT-52 mind storm limited 1g muka
10,10,09-03-2020 15:03:01,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,5,нет,Тбилиси,1 гр,0.0213,13436,5078,446,199.0,,,,,,,,,VHQ BEST Cocaine 1g.
11,11,09-03-2020 15:03:01,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,4,нет,Тбилиси,1 гр,0.0209,12761,4823,423,189.0,,,,,,,,,Kokain HQ 1g.
12,12,09-03-2020 15:03:01,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,3,нет,Тбилиси,1 гр,0.02,12086,4568,401,179.0,,True,,,,,,,Kokain KOLUMBIA 1g
13,13,09-03-2020 15:03:01,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано. 1г.,True,4,нет,Тбилиси,1 гр,0.005,3038,1148,101,45.0,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 1g.
14,14,09-03-2020 15:03:01,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0914,60766,22968,2016,900.0,,,,,,,,,Metadon 1gr
15,15,09-03-2020 15:03:01,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,True,2,нет,Тбилиси,2 гр,0.0396,26332,9953,873,390.0,,,,,,,,,VHQ BEST Cocaine 2g.
16,16,09-03-2020 15:03:01,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,True,14,нет,Тбилиси,2 гр,0.0036,2363,893,78,35.0,,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
17,17,09-03-2020 15:03:01,Tbilisi,d04eeb6525,Кокаин HQ 2г.,True,5,нет,Тбилиси,2 гр,0.0407,25589,9672,849,379.0,,,,,,,,,Kokain HQ 2g.
18,18,09-03-2020 15:03:01,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,1,нет,Тбилиси,3 гр,0.0119,7089,2680,235,105.0,,,,,,,,,3x Extasy Duracell 223mg MDMA
19,19,09-03-2020 15:03:01,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,True,2,нет,Тбилиси,3 гр,0.0112,6684,2526,222,99.0,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
20,20,09-03-2020 15:03:01,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0325,21606,8166,717,320.0,,,,,,,,,"5 Grm MDMA , Purity A +++"
21,21,09-03-2020 15:03:01,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.0452,28441,10935,944,,,,375.0,,,,,,5 gr mdma (skidka v bitkoin 5%)
22,22,09-03-2020 15:03:01,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,6,нет,Тбилиси,5 гр,0.0198,11816,4466,392,175.0,,,,,,,,,5x Extasy Duracell 223mg MDMA.
