,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Didube,Varketili,Saburtalo,€,Vake,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
17,22-02-2020 12:19:31,Tbilisi,7R3WM,RastaShop,1 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,6,нет,Тбилиси,1 гр,0.0045,2894,1103,100,45,True,,True,,,,,,,,,,1 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
18,22-02-2020 12:19:31,Tbilisi,SF03,CRAZYFROG,"1 mdma very strong best quality , import califronia , лучши мдма на саите",True,10,нет,Тбилиси,1 гр,0.0131,8359,3186,288,130,,,,,,,,,,,,,"1 mdma very strong best quality , import califronia , luchshi mdma na saite"
19,22-02-2020 12:19:31,Tbilisi,SF03,CRAZYFROG,1 гр Afghan Mazar-i-Sharif Hash топ товар !!! . Оплата BITCOIN -10% Скидка,True,1,нет,Тбилиси,1 гр,0.0085,5466,2083,188,85,,,,,,,,,,,,,1 gr Afghan Mazar-i-Sharif Hash top tovar !!! . Oplata BITCOIN -10% Skidka
20,22-02-2020 12:19:31,Tbilisi,ABOAB,ProGrow,1G -- AK-47 -> Sativa,,20,нет,Тбилиси,1 гр,0.0036,2379,907,82,37,,,,True,,,,,,,,,1G -- AK-47 -> Sativa
21,22-02-2020 12:19:31,Tbilisi,SF03,CRAZYFROG,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",True,3,нет,Тбилиси,1 гр,0.005,3215,1226,111,50,,,,,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
22,22-02-2020 12:19:31,Tbilisi,03F3,geoshop,1gr bubble hash thc 25% гашиш вишего качество HQ,True,4,нет,Тбилиси,1 гр,0.0085,5466,2083,188,85,,,,,,,,,,,,,1gr bubble hash thc 25% gashish vishego kachestvo HQ
23,22-02-2020 12:19:31,Tbilisi,03F3,geoshop,2 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,3,нет,Тбилиси,1 гр,0.008,5144,1961,177,80,,,,,,,,,,,,,2 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
24,22-02-2020 12:19:31,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,5,нет,Тбилиси,1 гр,0.0173,12217,4657,420,190,,,,,,,,,,,,,Cocaine Pure VHQ 1g
25,22-02-2020 12:19:31,Tbilisi,5JG6,BenderMan,"Cocaine, 1g",True,1,нет,Тбилиси,1 гр,0.0223,14146,5392,487,220,,,,,,,,,,,,,"Cocaine, 1g"
26,22-02-2020 12:19:31,Tbilisi,X4ZM,ZYX,Gorilla Glue! 1G ! NEW !,True,3,нет,Тбилиси,1 гр,0.004,2572,980,88,40,,,,,,,,,,,,,Gorilla Glue! 1G ! NEW !
27,22-02-2020 12:19:31,Tbilisi,YOI,Hashland,HASH Mexicana 1 g SALE -10% for bitcoin.,True,5,нет,Тбилиси,1 гр,0.0064,4512,1724,155,,,,,,65,,,,,,,,HASH Mexicana 1 g SALE -10% for bitcoin.
28,22-02-2020 12:19:31,Tbilisi,Z5UFK,Vein,Hashish Ice-o-lator 1g,True,9,нет,Тбилиси,1 гр,0.0076,4887,1863,168,76,,,,,,,,,,,,,Hashish Ice-o-lator 1g
29,22-02-2020 12:19:31,Tbilisi,5JG6,BenderMan,Ketamine 1g,True,6,нет,Тбилиси,1 гр,0.0101,6430,2451,221,100,,,,,,,,,,,,,Ketamine 1g
30,22-02-2020 12:19:31,Tbilisi,5JG6,BenderMan,"LSD - 250 ug, 1piece",True,5,нет,Тбилиси,1 гр,0.0041,2572,980,88,40,,,,,,,,,,,,,"LSD - 250 ug, 1piece"
31,22-02-2020 12:20:09,Tbilisi,X4ZM,ZYX,Maserati (ecstasy) 1шт,True,2,нет,Тбилиси,1 гр,0.0045,2894,1103,100,45,,,,,,,,,,,,,Maserati (ecstasy) 1sht
32,22-02-2020 12:20:09,Tbilisi,BP40,WakeShop,Metadon VHQ 1 24/7,True,2,нет,Тбилиси,1 гр,0.0456,32150,12255,1106,500,,,,,,,,,,,,,Metadon VHQ 1 24/7
33,22-02-2020 12:20:09,Tbilisi,P285,Trippyshop,NEW SALE Cocaine HQ 1 гр.,True,3,нет,Тбилиси,1 гр,0.0192,12153,4632,418,189,,,,,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
34,22-02-2020 12:20:09,Tbilisi,UJP9,420Inc,THC Snow Buds Only 1G (THC 23+%),True,7,нет,Тбилиси,1 гр,0.0047,3022,1152,104,47,,,,,,,,,,,,,THC Snow Buds Only 1G (THC 23+%)
35,22-02-2020 12:20:09,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,1,нет,Тбилиси,1 гр,0.0192,12796,4877,440,199,,,,,,,,,,,,,VHQ BEST Cocaine 1g.
