,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Didube,Gldani,Vazisubani,Saburtalo,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,05-06-2020 18:57:55,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,2,нет,Тбилиси,0.25 гр,0.017,11695,4553,403,150.0,,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,1,05-06-2020 18:57:55,Tbilisi,8ddca45a78,"0,5g GORILLA GLUE #4 (Hybrid, more indica)",,1,нет,Тбилиси,0.5 гр,0.0031,2059,804,72,,True,30.0,,,,,,,,,,"0,5g GORILLA GLUE #4 (Hybrid, more indica)"
2,2,05-06-2020 18:57:55,Tbilisi,52fe6d0af9,VHQ MDMA Champagne Imported 0.5G A+++,,1,1,Тбилиси,0.5 гр,0.0066,4461,1742,156,,True,65.0,True,,,,,,,,,VHQ MDMA Champagne Imported 0.5G A+++
3,3,05-06-2020 18:57:55,Tbilisi,22610cd7c4,Amsterdam weed sativa 1гр,,8,нет,Тбилиси,1 гр,0.0047,3157,1233,110,,True,46.0,,,,,,,,,,Amsterdam weed sativa 1gr
4,4,05-06-2020 18:57:55,Tbilisi,0cd3c52bb8,"Remo Chemo , сорт чемпион ! Накуривает по-царски.На магните.Вес всегда больше 1 грамма.",,7,нет,Тбилиси,1 гр,0.0051,3775,1474,132,,True,55.0,,,,,,,,,,"Remo Chemo , sort chempion ! Nakurivaet po-tsarski.Na magnite.Ves vsegda bol'she 1 gramma."
5,5,05-06-2020 18:57:55,Tbilisi,366326d4d6,2 ECSTASY << PACO RABANNE >>,,10,нет,Тбилиси,2 гр,0.0092,6108,2385,213,,True,89.0,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
6,6,05-06-2020 18:57:55,Tbilisi,0dec0e1c48,2gr HYBRID buds,,10,нет,Тбилиси,2 гр,0.009000000000000001,6040,2358,211,,True,88.0,,,,,,,,,,2gr HYBRID buds
7,7,05-06-2020 18:57:55,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,,3,нет,Тбилиси,2 гр,0.0493,33492,13078,1170,,True,488.0,,,,,,,,,,VHQ BEST Cocaine 2g.
8,8,05-06-2020 18:57:55,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,,10,нет,Тбилиси,3 гр,0.0123,8167,3189,285,,True,119.0,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
9,9,05-06-2020 18:57:55,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,,2,нет,Тбилиси,3 гр,0.0108,7206,2814,252,,True,105.0,,,,,,,,,,3x Extasy Duracell 223mg MDMA
10,10,05-06-2020 18:57:55,Tbilisi,4659482266,Marijuana Super Skunk leaves 3g plan,,2,нет,Тбилиси,3 гр,0.004,2677,1045,94,,,39.0,,True,,,,,,,,Marijuana Super Skunk leaves 3g plan
11,11,05-06-2020 18:57:55,Tbilisi,8528108b62,4g.марихуана шишки white widow,,1,нет,Тбилиси,4 гр,0.0181,13383,5226,468,,True,195.0,,,,,,,,,,4g.marihuana shishki white widow
12,12,05-06-2020 18:57:55,Tbilisi,97d5fcd29b,Suboxene 4mg,,1,нет,Тбилиси,4 гр,0.0054,3775,1474,132,,True,55.0,,,,,,,,,,Suboxene 4mg
13,13,05-06-2020 18:57:55,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,,2,нет,Тбилиси,5 гр,0.0303,20590,8040,719,,True,300.0,,,,,,,,,,5 Grm Mdma Pure Quality A +++
14,14,05-06-2020 18:57:55,Tbilisi,8528108b62,5g. марихуана шишки Critical,,1,нет,Тбилиси,5 гр,0.0223,16472,6432,575,,True,240.0,,,,,,,,,,5g. marihuana shishki Critical
15,15,05-06-2020 18:57:55,Tbilisi,bb1791277e,5gr NORTHEN LIGHTS marijuana LEAVES листя если платите с бтк скидка 10% !!,,1,нет,Тбилиси,5 гр,0.006,4049,1581,141,,True,59.0,,,,,,,,,,5gr NORTHEN LIGHTS marijuana LEAVES listja esli platite s btk skidka 10% !!
16,16,05-06-2020 18:57:55,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,4,нет,Тбилиси,5 гр,0.0132,8854,3457,309,,True,129.0,,,,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
17,17,05-06-2020 18:57:55,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,5,нет,Тбилиси,5 гр,0.018000000000000002,12011,4690,420,,True,175.0,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
18,18,05-06-2020 18:57:55,Tbilisi,eb7e03535b,Cocaine Pure VHQ 5g.,,1,нет,Тбилиси,5 гр,0.1173,78927,30820,2757,,True,1150.0,,,,,,,,,,Cocaine Pure VHQ 5g.
