,Unnamed: 0,time_stamp,region,sell_code,description,Didube,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Saburtalo,Дигоми,Nadzaladevi,Varketili,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
0,0,23-06-2020 10:48:33,Tbilisi,be97026d1d,!!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,1,нет,Тбилиси,0.25 гр,0.0121,8483,3286,290,109.0,,,,,,,,,,,,!!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,1,23-06-2020 10:48:33,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,,19,нет,Тбилиси,0.5 гр,0.0162,11048,4263,378,,True,159.0,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
2,2,23-06-2020 10:48:33,Tbilisi,21e6be39fb,"Black Geroin, Sirec 0.5g",,7,нет,Тбилиси,0.5 гр,0.0177,12160,4692,416,,True,175.0,,,,,,,,,,"Black Geroin, Sirec 0.5g"
3,3,23-06-2020 10:48:33,Tbilisi,52fe6d0af9,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 0.5G,,7,нет,Тбилиси,0.5 гр,0.0162,11117,4290,380,,True,160.0,True,,,,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 0.5G
4,4,23-06-2020 10:48:33,Tbilisi,52fe6d0af9,RickNMorty's Hybrid's Buds ONLY high THc 0.5,,7,нет,Тбилиси,0.5 гр,0.003,2085,804,71,,,30.0,,True,,,,,,,,RickNMorty's Hybrid's Buds ONLY high THc 0.5
5,5,23-06-2020 10:48:33,Tbilisi,8e86176694,"Weed ""BIG BEMON"" sat 60% ind 40% only buds 0.5gr",,1,нет,Тбилиси,0.5 гр,0.0029,2085,804,71,,True,30.0,,,,,,,,,,"Weed ""BIG BEMON"" sat 60% ind 40% only buds 0.5gr"
6,6,23-06-2020 10:48:33,Tbilisi,8e86176694,КЕТАМИН WHQ 0.5g,,2,нет,Тбилиси,0.5 гр,0.0138,10423,4022,356,,True,150.0,,,,,,,,,,KETAMIN WHQ 0.5g
7,7,23-06-2020 10:48:33,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано 0.5г.,,6,нет,Тбилиси,0.5 гр,0.0029,2015,777,69,,True,29.0,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
8,8,23-06-2020 10:48:33,Tbilisi,dd631c4acf,☃️ 0.5g New Columbian COCAINE ☃️,,1,нет,Тбилиси,0.5 гр,0.0133,9033,3485,309,,,130.0,,True,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
9,9,23-06-2020 10:48:33,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,,9,нет,Тбилиси,1 гр,0.0061,4169,1609,142,,True,60.0,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
10,10,23-06-2020 10:48:33,Tbilisi,4a91350669,1 шишки Girl Scout Cookies тгк thc 28%,,2,нет,Тбилиси,1 гр,0.0059,4030,1555,138,,,58.0,,,True,,,,,,,1 shishki Girl Scout Cookies tgk thc 28%
11,11,23-06-2020 10:48:33,Tbilisi,bb1791277e,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,,13,нет,Тбилиси,1 гр,0.0061,4169,1609,142,,True,60.0,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
12,12,23-06-2020 10:48:33,Tbilisi,16a8841259,Ak - 47 1г,,1,нет,Тбилиси,1 гр,0.0056,3822,1475,131,,True,55.0,,,,,,,,,,Ak - 47 1g
13,13,23-06-2020 10:48:33,Tbilisi,ebadfc162f,Bubba Kush 1G Super strong indica dominant weed 100%шишки!,,2,нет,Тбилиси,1 гр,0.0056,3822,1475,131,,,55.0,,,True,,,,,,,Bubba Kush 1G Super strong indica dominant weed 100%shishki!
14,14,23-06-2020 10:48:33,Tbilisi,52fe6d0af9,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 1G,,2,нет,Тбилиси,1 гр,0.0307,21123,8150,722,,True,304.0,,,,True,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 1G
15,15,23-06-2020 10:48:33,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,,2,нет,Тбилиси,1 гр,0.0244,16607,6408,568,,,239.0,,True,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
16,16,23-06-2020 10:48:33,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,,6,нет,Тбилиси,2 гр,0.011000000000000001,7574,2922,259,,,109.0,,,True,,,,,,,2 G Hybrid Marijuana Buds
17,17,23-06-2020 10:48:33,Tbilisi,cb721d4bca,2 gr top buds white widow wишки THC 25% VHQ,,4,нет,Тбилиси,2 гр,0.0111,7643,2949,261,,True,110.0,,,,,,,,,,2 gr top buds white widow wishki THC 25% VHQ
