,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Old Tbilisi (Старый город),€,Didube,Nadzaladevi,Авлобари,Кутаиси,desc_en
28,28,03-03-2020 20:07:08,Tbilisi,dd631c4acf,🍃💩💩3g. New! Gorilla Glue Premium Hush💩💩🍃,True,нет,2,Тбилиси,3 гр,0.0189,12558,4725,422,189.0,,,,,,,,🍃💩💩3g. New! Gorilla Glue Premium Hush💩💩🍃
29,29,03-03-2020 20:07:08,Tbilisi,adf2d19b92,"Метадон прямиком с Ленинграда 3+0,5гр",,нет,1,Тбилиси,3.5 гр,0.1348,89699,33750,3016,1350.0,,,,,True,,,"Metadon prjamikom s Leningrada 3+0,5gr"
30,30,03-03-2020 20:07:08,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0439,26577,10000,894,400.0,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
31,31,03-03-2020 20:07:08,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0604,36544,13750,1229,550.0,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
32,32,03-03-2020 20:07:08,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,8,Тбилиси,5 гр,0.0264,15946,6000,536,240.0,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
33,33,03-03-2020 20:07:08,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0275,16611,6250,559,250.0,,,,,,,,5 gr Shishki “OG KUSH VHQ”
34,34,03-03-2020 20:07:54,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0275,16611,6250,559,250.0,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
35,35,03-03-2020 20:07:54,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0275,16611,6250,559,250.0,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
36,36,03-03-2020 20:07:54,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,2,Тбилиси,5 гр,0.0219,13222,4975,445,199.0,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
37,37,03-03-2020 20:07:54,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,4,Тбилиси,5 гр,0.0275,16611,6250,559,250.0,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
38,38,03-03-2020 20:07:54,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0219,14551,5475,489,219.0,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
39,39,03-03-2020 20:07:54,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),True,нет,5,Тбилиси,5 гр,0.0333,19933,7500,670,300.0,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
40,40,03-03-2020 20:07:54,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.0275,16611,6250,559,250.0,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
41,41,03-03-2020 20:07:54,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,17,Тбилиси,5 гр,0.02,13289,5000,447,200.0,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
42,42,03-03-2020 20:07:54,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2856,190000,87429,6396,,,,,,,,,reagent 25i nbome. 5gr
43,43,03-03-2020 20:07:54,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2996,199331,75000,6703,3000.0,,True,,,,True,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
44,44,03-03-2020 20:07:54,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,3,Тбилиси,5 гр,0.0953,57075,21475,1919,859.0,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
45,45,03-03-2020 20:07:54,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0205,12292,4625,413,185.0,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
