,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,€,Дигоми,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,17-03-2020 17:30:31,Tbilisi,V4T,COCAcoLA,HEROINE 0.25 VHQ tru heroine из авганистана!,True,10,нет,Тбилиси,0.25 гр,0.03,14778,5840,473,200,,,,,,,,,,,HEROINE 0.25 VHQ tru heroine iz avganistana!
1,17-03-2020 17:30:31,Tbilisi,C36EL,TripGuru,Iranian Black Heroin Old WHQ Не сырец 0.25g,,2,нет,Тбилиси,0.25 гр,0.0149,6650,2628,213,90,True,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
2,17-03-2020 17:30:31,Tbilisi,BP40,WakeShop,Metadon VHQ 0.25 24/7,,9,нет,Тбилиси,0.25 гр,0.0285,14039,5548,449,190,True,,,,,,,,,,Metadon VHQ 0.25 24/7
3,17-03-2020 17:30:31,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),,10,10,Тбилиси,0.27 гр,0.0378,16773,6628,537,227,True,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
4,17-03-2020 17:30:31,Tbilisi,LYHBG,Playboy,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!",,1,нет,Тбилиси,0.5 гр,0.0182,8054,3183,258,109,True,,,,,,,,,,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!"
5,17-03-2020 17:30:31,Tbilisi,V4T,COCAcoLA,COCAINE VHQ!!! 0.5gr,True,9,нет,Тбилиси,0.5 гр,0.0164,8054,3183,258,109,,,,,,,,,,,COCAINE VHQ!!! 0.5gr
6,17-03-2020 17:30:31,Tbilisi,V4T,COCAcoLA,MEPHEDRONE 0.5 лучший меф! лечит корона вирус!!!))),True,22,нет,Тбилиси,0.5 гр,0.012,5911,2336,189,80,,,,,,,,,,,MEPHEDRONE 0.5 luchshij mef! lechit korona virus!!!)))
7,17-03-2020 17:30:31,Tbilisi,P285,Trippyshop,"NEW Sale!! Cocaine 0,5 гр. HQ",,6,нет,Тбилиси,0.5 гр,0.0165,7315,2891,234,99,True,,,,,,,,,,"NEW Sale!! Cocaine 0,5 gr. HQ"
8,17-03-2020 17:30:31,Tbilisi,91Z98,Avocado,Pure COCAINE VHQ 0.5g,,1,нет,Тбилиси,0.5 гр,0.0173,8054,3183,258,109,True,,,,,,,,,,Pure COCAINE VHQ 0.5g
9,17-03-2020 17:30:31,Tbilisi,JVZTQ,partyshop,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,3,нет,Тбилиси,1 гр,0.0083,3694,1460,118,50,True,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
10,17-03-2020 17:30:31,Tbilisi,03F3,geoshop,1 gr mdma Кристаллы очен силни импорт с европи,,4,нет,Тбилиси,1 гр,0.0198,8867,3504,284,120,True,,,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
11,17-03-2020 17:30:31,Tbilisi,03F3,geoshop,2 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,,3,нет,Тбилиси,1 гр,0.0132,5911,2336,189,80,True,,,,,,,,,,2 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
12,17-03-2020 17:30:31,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,,4,нет,Тбилиси,1 гр,0.0283,13226,5227,423,179,True,,,,,,,,,,Cocaine Pure VHQ 1g
13,17-03-2020 17:30:31,Tbilisi,V4T,COCAcoLA,MDMA 1gr лучший товар на площадке!,True,1,нет,Тбилиси,1 гр,0.0182,8128,3212,260,110,,,,,,,,,,,MDMA 1gr luchshij tovar na ploschadke!
14,17-03-2020 17:30:31,Tbilisi,BP40,WakeShop,Metadon VHQ 1 24/7,,5,нет,Тбилиси,1 гр,0.0825,40639,16060,1300,550,True,,,,,,,,,,Metadon VHQ 1 24/7
15,17-03-2020 17:30:31,Tbilisi,P285,Trippyshop,NEW SALE Cocaine HQ 1 гр.,,1,нет,Тбилиси,1 гр,0.0315,13965,5519,447,189,True,,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
16,17-03-2020 17:30:31,Tbilisi,V4T,COCAcoLA,cocaine 1gr СУПЕР COCA!!!,True,6,нет,Тбилиси,1 гр,0.03,14778,5840,473,200,,,,,,,,,,,cocaine 1gr SUPER COCA!!!
17,17-03-2020 17:30:31,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,,2,нет,Тбилиси,1 гр,0.0309,13965,5519,447,189,True,,,,,,,,,,Kokain HQ 1g.
18,17-03-2020 17:30:31,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.135,66501,26280,2127,900,True,,,,,,,,,,Metadon 1gr
19,17-03-2020 17:30:31,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,14,нет,Тбилиси,2 гр,0.0135,6650,2628,213,90,True,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
20,17-03-2020 17:30:31,Tbilisi,8B31,bobbyz,2gr Indica dominant Buds,True,3,нет,Тбилиси,2 гр,0.0109,4877,1927,156,66,,,,,,,,,,,2gr Indica dominant Buds
21,17-03-2020 17:30:31,Tbilisi,7LHWP,GEOBUDS,2gr Marijuana Buds -INDICA-,True,2,нет,Тбилиси,2 гр,0.0102,4581,1810,147,62,,,,,,,,,,,2gr Marijuana Buds -INDICA-
22,17-03-2020 17:30:32,Tbilisi,LYHBG,Playboy,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,,3,нет,Тбилиси,2 гр,0.06,26600,10512,851,360,True,,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
23,17-03-2020 17:30:32,Tbilisi,QUZIV,Hollyweed,Marijuana Blackberry 2g. Indica,,5,нет,Тбилиси,2 гр,0.0132,5837,2307,187,79,,True,,,,,,,,,Marijuana Blackberry 2g. Indica
24,17-03-2020 17:30:32,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,,2,нет,Тбилиси,2 гр,0.0053,2586,1022,83,35,True,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
25,17-03-2020 17:30:32,Tbilisi,7LHWP,GEOBUDS,3 gr Marijuana Buds -INDICA-,True,1,нет,Тбилиси,3 гр,0.014,6281,2482,201,85,,,,,,,,,,,3 gr Marijuana Buds -INDICA-
26,17-03-2020 17:30:32,Tbilisi,0WE,Khachapuri,3 gr mdma (скидка в биткоин 5%),,1,нет,Тбилиси,3 гр,0.0441,20576,8000,660,,True,,250,,,,,,,,3 gr mdma (skidka v bitkoin 5%)
27,17-03-2020 17:30:32,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,,5,нет,Тбилиси,3 гр,0.0175,7758,3066,248,105,True,,,,,,,,,,3x Extasy Duracell 223mg MDMA
28,17-03-2020 17:30:32,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",,2,нет,Тбилиси,5 гр,0.048,23645,9344,756,320,True,,,,,,,,,,"5 Grm MDMA , Purity A +++"
29,17-03-2020 17:30:32,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,,2,нет,Тбилиси,5 гр,0.049,22167,8760,709,300,True,,,,,,,,,,5 Grm Mdma Pure Quality A +++
30,17-03-2020 17:30:32,Tbilisi,0WE,Khachapuri,5 gr mdma (скидка в биткоин 5%),,2,нет,Тбилиси,5 гр,0.06,27984,10880,897,,True,,340,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
31,17-03-2020 17:30:32,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,,7,нет,Тбилиси,5 гр,0.0292,12931,5110,414,175,True,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
32,17-03-2020 17:30:32,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 5g BTC SALE 5%!!,,3,нет,Тбилиси,5 гр,0.1299,58151,22980,1860,787,,,,True,,,,,,,Columbia Cocaine VHQ 5g BTC SALE 5%!!
33,17-03-2020 17:30:32,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,10,нет,Тбилиси,5 гр,0.0098,4803,1898,154,65,True,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
34,17-03-2020 17:31:06,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,,7,нет,Тбилиси,5 гр,0.0293,12931,5110,414,175,True,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
35,17-03-2020 17:31:06,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 5g BTC SALE 5%!!,,3,нет,Тбилиси,5 гр,0.1304,58151,22980,1860,787,,,,True,,,,,,,Columbia Cocaine VHQ 5g BTC SALE 5%!!
36,17-03-2020 17:31:06,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,10,нет,Тбилиси,5 гр,0.0098,4803,1898,154,65,True,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
37,17-03-2020 17:31:06,Tbilisi,EIH4,San4oPan4o,MDMA from Europe!!! 5g + (0.5g hash подарок !!!!) BTC SALE 5%!!,,4,нет,Тбилиси,5.5 гр,0.0538,24014,9490,768,325,,,,True,,,,,,,MDMA from Europe!!! 5g + (0.5g hash podarok !!!!) BTC SALE 5%!!
