,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Дигоми,Vazisubani,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,Центр,€,Батуми,Кутаиси,desc_en
0,0,08-05-2020 02:49:36,Tbilisi,eb7e03535b,Cocaine Pure VHQ 0.5g,True,1,нет,Тбилиси,0.5 гр,0.0135,10006,3645,331,135.0,,,,,,,,,,,,Cocaine Pure VHQ 0.5g
1,1,08-05-2020 02:49:36,Tbilisi,dd631c4acf,☃️ 0.5g New Columbian COCAINE ☃️,True,5,нет,Тбилиси,0.5 гр,0.0132,9635,3510,319,130.0,True,True,,,,,,,,,,☃️ 0.5g New Columbian COCAINE ☃️
2,2,08-05-2020 02:49:36,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,True,4,нет,Тбилиси,1 гр,0.0055,4076,1485,135,55.0,,,,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
3,3,08-05-2020 02:49:36,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,4,нет,Тбилиси,1 гр,0.0057,4225,1539,140,57.0,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
4,4,08-05-2020 02:49:36,Tbilisi,4a91350669,1 шишки Girl Scout Cookies тгк thc 28%,True,5,нет,Тбилиси,1 гр,0.0055,4076,1485,135,55.0,,,,,,,,,,,,1 shishki Girl Scout Cookies tgk thc 28%
5,5,08-05-2020 02:49:36,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,True,10,нет,Тбилиси,1 гр,0.0303,22161,8073,734,299.0,,,,,,,,,,,,1G --... BoLiVian Coke ...-- 1G
6,6,08-05-2020 02:49:36,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,2,нет,Тбилиси,1 гр,0.0236,17417,6345,577,235.0,,,,,,,,,,,,Cocaine Pure VHQ 1g
7,7,08-05-2020 02:49:36,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,3,нет,Тбилиси,1 гр,0.0238,17788,6480,589,240.0,,,,,,,,,,,,VHQ BEST Cocaine 1g.
8,8,08-05-2020 02:49:36,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 1 Gr,True,1,нет,Тбилиси,1 гр,0.0041,3039,1107,101,41.0,,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 1 Gr
9,9,08-05-2020 02:49:36,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.08199999999999999,66705,24300,2208,900.0,,,,,,,,,,,,Metadon 1gr
10,10,08-05-2020 02:49:36,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,,2,нет,Тбилиси,1 гр,0.0242,17714,6453,586,239.0,True,,,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
11,11,08-05-2020 02:49:36,Tbilisi,366326d4d6,2 ECSTASY << PACO RABANNE >>,True,2,нет,Тбилиси,2 гр,0.009000000000000001,6596,2403,218,89.0,,,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
12,12,08-05-2020 02:49:36,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,True,7,нет,Тбилиси,2 гр,0.01,7412,2700,245,100.0,,,,,,,,,,,,2 G Hybrid Marijuana Buds
13,13,08-05-2020 02:49:36,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,1,нет,Тбилиси,2 гр,0.009000000000000001,7338,2673,243,99.0,,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
14,14,08-05-2020 02:49:36,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,5,нет,Тбилиси,2 гр,0.009000000000000001,6596,2403,218,89.0,,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
15,15,08-05-2020 02:49:36,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,2 гр,0.0071,5188,1890,172,70.0,,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
16,16,08-05-2020 02:49:36,Tbilisi,e56bb6ca93,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,6,нет,Тбилиси,2 гр,0.0089,6596,2403,218,89.0,,True,True,,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
17,17,08-05-2020 02:49:36,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,True,2,нет,Тбилиси,3 гр,0.012,8820,3213,292,119.0,,,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
18,18,08-05-2020 02:49:36,Tbilisi,89f7212915,3 G Hybrid Marijuana Big Buds,True,1,нет,Тбилиси,3 гр,0.013000000000000001,9635,3510,319,130.0,,,,,,,,,,,,3 G Hybrid Marijuana Big Buds
19,19,08-05-2020 02:49:36,Tbilisi,7c395c455d,3 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,1,нет,Тбилиси,3 гр,0.0127,10302,3753,341,139.0,,,,,,,,,,,,3 marijuana BUDS northen lights 24% THC ShIShKI!!!
20,20,08-05-2020 02:49:36,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,6,нет,Тбилиси,3 гр,0.0106,7782,2835,258,105.0,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
21,21,08-05-2020 02:49:36,Tbilisi,21e6be39fb,THE BEST GAGARIN WEED 3g (TOP)(VHQ),True,4,нет,Тбилиси,3 гр,0.0115,8523,3105,282,115.0,,,,,,,,,,,,THE BEST GAGARIN WEED 3g (TOP)(VHQ)
22,22,08-05-2020 02:49:36,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,2,нет,Тбилиси,5 гр,0.0308,23717,8640,785,320.0,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
23,23,08-05-2020 02:49:36,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,1,нет,Тбилиси,5 гр,0.0298,22235,8100,736,300.0,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
24,24,08-05-2020 02:49:36,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,8,нет,Тбилиси,5 гр,0.0119,8820,3213,292,119.0,,,,True,,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
25,25,08-05-2020 02:49:36,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,2,нет,Тбилиси,5 гр,0.0177,12970,4725,429,175.0,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
26,26,08-05-2020 02:49:36,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,4,нет,Тбилиси,10 гр,0.0199,14749,5373,488,199.0,,,,True,,,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
27,27,08-05-2020 02:49:36,Tbilisi,b01f16ca19,"10g. Шишки Amnesia Haze, Сатива",,1,нет,Тбилиси,10 гр,0.04,29573,10773,979,399.0,True,,,,,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
28,28,08-05-2020 02:49:36,Tbilisi,21e6be39fb,BANANA KUSH SUPER BUDS 10g TOP VHQ THC 28%,True,1,нет,Тбилиси,10 гр,0.0331,24459,8910,810,330.0,,,,,,,,,,,,BANANA KUSH SUPER BUDS 10g TOP VHQ THC 28%
29,29,08-05-2020 02:49:36,Tbilisi,21e6be39fb,THE BEST GAGARIN WEED 10g (TOP)(VHQ),True,2,нет,Тбилиси,10 гр,0.0331,24459,8910,810,330.0,,,,,,,,,,,,THE BEST GAGARIN WEED 10g (TOP)(VHQ)
