,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Дигоми,€,Didube,Gldani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,20-03-2020 07:32:22,Tbilisi,99accec7c7,HEROINE-999 0.25гр из авганистана! скидка при покупке BTC,True,12,нет,Тбилиси,0.25 гр,0.0286,15230,5434,483,190.0,,,,,,,,,,,HEROINE-999 0.25gr iz avganistana! skidka pri pokupke BTC
1,1,20-03-2020 07:32:22,Tbilisi,4b4cde4fad,Iranian Black Heroin Old WHQ Не сырец 0.25g,,1,нет,Тбилиси,0.25 гр,0.0137,7214,2574,229,90.0,True,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 0.25g
2,2,20-03-2020 07:32:22,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,,1,нет,Тбилиси,0.25 гр,0.0319,16833,6006,534,210.0,True,,,,,,,,,,Metadon VHQ 0.25 24/7
3,3,20-03-2020 07:32:22,Tbilisi,99accec7c7,MEPHEDRONE 0.5 лучший меф! лечит корона вирус!!!))) скидка припокупке битком!,True,8,нет,Тбилиси,0.5 гр,0.0109,6012,2145,191,75.0,,,,,,,,,,,MEPHEDRONE 0.5 luchshij mef! lechit korona virus!!!))) skidka pripokupke bitkom!
4,4,20-03-2020 07:32:22,Tbilisi,1c14effaaa,Silver Haze | 90% sativa 10% indica | 0.5g,,6,нет,Тбилиси,0.5 гр,0.0041,2405,858,76,30.0,True,,,,,,,,,,Silver Haze | 90% sativa 10% indica | 0.5g
5,5,20-03-2020 07:32:22,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,4,нет,Тбилиси,1 гр,0.0076,4008,1430,127,50.0,True,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
6,6,20-03-2020 07:32:22,Tbilisi,7c395c455d,1 gr mdma Кристаллы очен силни импорт с европи,,4,нет,Тбилиси,1 гр,0.0183,9619,3432,305,120.0,True,,,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
7,7,20-03-2020 07:32:22,Tbilisi,f4d1c31614,1g Cocaine (SOUTH AMERICA),,2,нет,Тбилиси,1 гр,0.0292,16031,5720,508,200.0,True,,,,,,,,,,1g Cocaine (SOUTH AMERICA)
8,8,20-03-2020 07:32:22,Tbilisi,f4d1c31614,1g MDMA (IMPORTED),,6,нет,Тбилиси,1 гр,0.0175,9619,3432,305,120.0,True,,,,,,,,,,1g MDMA (IMPORTED)
9,9,20-03-2020 07:32:22,Tbilisi,22610cd7c4,Amsterdam weed sativa 1гр,,10,нет,Тбилиси,1 гр,0.006999999999999999,3687,1316,117,46.0,True,,,,,,,,,,Amsterdam weed sativa 1gr
10,10,20-03-2020 07:32:22,Tbilisi,ae784bef73,Gorilla Glue! 1G ! NEW !,,1,нет,Тбилиси,1 гр,0.0059,3126,1115,99,39.0,True,,,,,,,,,,Gorilla Glue! 1G ! NEW !
11,11,20-03-2020 07:32:22,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,,1,нет,Тбилиси,1 гр,0.0913,48094,17160,1525,600.0,True,,,,,,,,,,Metadon VHQ 1 24/7
12,12,20-03-2020 07:32:22,Tbilisi,ae784bef73,NEW ! Afghan HQ buds ! NEW ! 1G,,4,нет,Тбилиси,1 гр,0.0076,4008,1430,127,50.0,True,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 1G
13,13,20-03-2020 07:32:22,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,,2,нет,Тбилиси,1 гр,0.0299,16432,5863,521,205.0,True,,,,,,,,,,VHQ BEST Cocaine 1g.
14,14,20-03-2020 07:32:22,Tbilisi,d04eeb6525,Кокаин HQ 1г.,,3,нет,Тбилиси,1 гр,0.0285,15150,5405,480,189.0,True,,,,,,,,,,Kokain HQ 1g.
15,15,20-03-2020 07:32:22,Tbilisi,61df6a1c90,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.1245,72141,25740,2287,900.0,True,,,,,,,,,,Metadon 1gr
16,16,20-03-2020 07:32:22,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,5,нет,Тбилиси,2 гр,0.0124,7214,2574,229,90.0,True,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
17,17,20-03-2020 07:32:22,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,5,нет,Тбилиси,2 гр,0.0122,6413,2288,203,80.0,True,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
18,18,20-03-2020 07:32:22,Tbilisi,bb1791277e,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,,3,нет,Тбилиси,2 гр,0.0105,5531,1973,175,69.0,True,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
19,19,20-03-2020 07:32:22,Tbilisi,cb721d4bca,2 gr Шишки “OG KUSH VHQ”,,3,нет,Тбилиси,2 гр,0.012,6332,2259,201,79.0,True,,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
20,20,20-03-2020 07:32:22,Tbilisi,64284550d9,2G ---> Plan,,12,нет,Тбилиси,2 гр,0.0046,2405,858,76,30.0,True,,,,,,,,,,2G ---> Plan
21,21,20-03-2020 07:32:22,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2g BTC SALE 5% ПОДЪЕЗД!!! НА МАГНИТЕ!!!,,2,нет,Тбилиси,2 гр,0.0535,28456,10153,902,355.0,,True,,,,,,,,,Columbia Cocaine VHQ 2g BTC SALE 5% POD'EZD!!! NA MAGNITE!!!
22,22,20-03-2020 07:32:22,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,,2,нет,Тбилиси,2 гр,0.0567,32864,11726,1042,410.0,True,,,,,,,,,,VHQ BEST Cocaine 2g.
23,23,20-03-2020 07:32:22,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,,11,нет,Тбилиси,2 гр,0.005,2886,1030,92,36.0,True,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
24,24,20-03-2020 07:32:22,Tbilisi,d04eeb6525,Кокаин HQ 2г.,,4,нет,Тбилиси,2 гр,0.0553,30380,10839,963,379.0,True,,,,,,,,,,Kokain HQ 2g.
25,25,20-03-2020 07:32:22,Tbilisi,7ee4f68218,3 gr mdma (скидка в биткоин 5%),,1,нет,Тбилиси,3 гр,0.035,19199,6776,608,,True,,220.0,,,,,,,,3 gr mdma (skidka v bitkoin 5%)
26,26,20-03-2020 07:32:22,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,,6,нет,Тбилиси,3 гр,0.0161,8416,3003,267,105.0,True,,,,,,,,,,3x Extasy Duracell 223mg MDMA
27,27,20-03-2020 07:32:22,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 3 штуки!!!,,2,нет,Тбилиси,3 гр,0.0069,4008,1430,127,50.0,True,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 3 shtuki!!!
28,28,20-03-2020 07:32:23,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",,2,нет,Тбилиси,5 гр,0.0443,25650,9152,813,320.0,True,,,,,,,,,,"5 Grm MDMA , Purity A +++"
29,29,20-03-2020 07:32:23,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,,1,нет,Тбилиси,5 гр,0.0452,24047,8580,762,300.0,True,,,,,,,,,,5 Grm Mdma Pure Quality A +++
30,30,20-03-2020 07:32:23,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),,2,нет,Тбилиси,5 гр,0.0493,27053,9548,857,,True,,310.0,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
31,31,20-03-2020 07:32:23,Tbilisi,64284550d9,5G ---> ONLY BUDS,True,4,нет,Тбилиси,5 гр,0.0183,9619,3432,305,120.0,,,,,,,,,,,5G ---> ONLY BUDS
32,32,20-03-2020 07:32:23,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,6,нет,Тбилиси,5 гр,0.0269,14027,5005,445,175.0,True,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
33,33,20-03-2020 07:32:23,Tbilisi,be97026d1d,Columbia Cocaine VHQ 5g BTC SALE 5%!!,,3,нет,Тбилиси,5 гр,0.1197,63084,22508,2000,787.0,,True,,,,,,,,,Columbia Cocaine VHQ 5g BTC SALE 5%!!
34,34,20-03-2020 07:33:23,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,9,нет,Тбилиси,5 гр,0.009000000000000001,5210,1859,165,65.0,True,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
