,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,01-03-2020 07:54:13,Tbilisi,366326d4d6,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!",True,1,нет,Тбилиси,0.5 гр,0.0122,7302,2692,244,109.0,,,,,,,,,,"0,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!"
1,1,01-03-2020 07:54:13,Tbilisi,7c395c455d,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,1,нет,Тбилиси,1 гр,0.0056,3350,1235,112,50.0,,,,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
2,2,01-03-2020 07:54:13,Tbilisi,da96c34455,ALFA PVP 1g,True,1,нет,Тбилиси,1 гр,0.0156,9379,3458,313,140.0,,,,,,,,,,ALFA PVP 1g
3,3,01-03-2020 07:54:13,Tbilisi,4a91350669,2 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,1,нет,Тбилиси,2 гр,0.01,6029,2223,202,90.0,,,,,,,,,,2 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
4,4,01-03-2020 07:54:13,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2.0g BTC SALE 5% SALE!!! SALE!!!,,2,нет,Тбилиси,2 гр,0.0352,21437,7904,717,320.0,True,,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5% SALE!!! SALE!!!
5,5,01-03-2020 07:54:13,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 2g,,1,нет,Тбилиси,2 гр,0.0388,23380,8620,781,349.0,,True,,,,,,,,Kokain KOLUMBIA 2g
6,6,01-03-2020 07:54:13,Tbilisi,366326d4d6,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,1,нет,Тбилиси,5 гр,0.0178,10652,3927,356,159.0,,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
7,7,01-03-2020 07:54:13,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,1,нет,Тбилиси,5 гр,0.0174,10384,3829,347,155.0,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
8,8,01-03-2020 07:54:13,Tbilisi,366326d4d6,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!,True,1,нет,Тбилиси,5 гр,0.0954,56942,20995,1903,850.0,,,,,,,,,,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!
9,9,01-03-2020 07:54:13,Tbilisi,8219f5e7b8,"LSD - 250 ug, 5 pieces",True,1,нет,Тбилиси,5 гр,0.0168,10049,3705,336,150.0,,,,,,,,,,"LSD - 250 ug, 5 pieces"
10,10,01-03-2020 07:54:13,Tbilisi,366326d4d6,NEW !!! 5G OG KusH !!! NEW,True,2,нет,Тбилиси,5 гр,0.0178,10652,3927,356,159.0,,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
11,11,01-03-2020 07:54:13,Tbilisi,366326d4d6,NEW !!! 5G White Widow !!! NEW,True,1,нет,Тбилиси,5 гр,0.0173,10317,3804,345,154.0,,,,,,,,,,NEW !!! 5G White Widow !!! NEW
12,12,01-03-2020 07:54:13,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,7,нет,Тбилиси,10 гр,0.0406,24452,9016,817,365.0,,,True,,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
13,13,01-03-2020 07:54:13,Tbilisi,8219f5e7b8,"LSD - 250 ug, 10 pieces",True,1,нет,Тбилиси,10 гр,0.0336,20097,7410,672,300.0,,,,,,,,,,"LSD - 250 ug, 10 pieces"
14,14,01-03-2020 07:54:13,Tbilisi,e501bd0ada,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light - mukhattskaro, close to road",True,1,нет,Тбилиси,10 гр,0.0256,16078,5928,537,240.0,,,,,,,,,,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light - mukhattskaro, close to road"
15,15,01-03-2020 07:54:13,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0427,26796,9880,896,400.0,,,,,,,,,,gashish evro 10g
16,16,01-03-2020 07:54:13,Tbilisi,e501bd0ada,"weed gorila glue 20 gram, super duper, popcorn size - mukhattskaro, close to road",True,2,нет,Тбилиси,20 гр,0.048,30146,11115,1008,450.0,,,,,,,,,,"weed gorila glue 20 gram, super duper, popcorn size - mukhattskaro, close to road"
17,17,01-03-2020 07:54:13,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0829,52052,19192,1740,777.0,,,,,,,,,,Gashish Evro 20gr
18,18,01-03-2020 07:54:13,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,1,4,Тбилиси,0.27 гр,0.0303,18088,6669,605,270.0,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
19,19,01-03-2020 07:54:13,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,нет,5,Тбилиси,0.35 гр,0.0337,20097,7410,672,300.0,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
20,20,01-03-2020 07:54:13,Tbilisi,dd631c4acf,☃️ 0.5g HQ COCAINE ☃️,True,нет,1,Тбилиси,0.5 гр,0.0111,6632,2445,222,99.0,,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
21,21,01-03-2020 07:54:13,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1.1 G (SALE),True,2,5,Тбилиси,1.1 гр,0.073,43544,16055,1455,650.0,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.1 G (SALE)
22,22,01-03-2020 07:54:13,Tbilisi,cb721d4bca,2 гр Afghan Mazar-i-Sharif Hash топ товар !!! Оплата BITCOIN -10% Скидка,True,нет,5,Тбилиси,2 гр,0.0186,11187,4125,374,167.0,,,,,,,,,,2 gr Afghan Mazar-i-Sharif Hash top tovar !!! Oplata BITCOIN -10% Skidka
23,23,01-03-2020 07:54:13,Tbilisi,cb721d4bca,"2gr ROYAL AFGHANI HASH FINEST QUALITY гашиш топ качество ,Оплата BITCOIN -10% Скидка",True,нет,3,Тбилиси,2 гр,0.0181,12164,4473,407,,,,,165.0,,,,,,"2gr ROYAL AFGHANI HASH FINEST QUALITY gashish top kachestvo ,Oplata BITCOIN -10% Skidka"
24,24,01-03-2020 07:54:13,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,4,Тбилиси,3 гр,0.0662,39525,14573,1321,590.0,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
25,25,01-03-2020 07:54:13,Tbilisi,dd631c4acf,🍃💩💩3g. New! Gorilla Glue Premium Hush💩💩🍃,True,нет,5,Тбилиси,3 гр,0.0191,12661,4668,423,189.0,,,,,,,,,,🍃💩💩3g. New! Gorilla Glue Premium Hush💩💩🍃
26,26,01-03-2020 07:54:13,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,8,Тбилиси,4 гр,0.0445,26796,9880,896,400.0,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
27,27,01-03-2020 07:54:13,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0611,36845,13585,1232,550.0,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
