,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Gldani,Varketili,Saburtalo,Nadzaladevi,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,01-05-2020 05:51:16,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 0.25 G.,True,1,нет,Тбилиси,0.25 гр,0.0278,18182,6800,604,250,,,,,,,,,,,,,METADON - 0.25 G.
1,01-05-2020 05:51:16,Tbilisi,OX85,amnesia420,"0,5g NORTHERN LIGHTS (Indica)",True,2,нет,Тбилиси,0.5 гр,0.0031,2036,762,68,28,,,,,,,,,,,,,"0,5g NORTHERN LIGHTS (Indica)"
2,01-05-2020 05:51:16,Tbilisi,U26MW,Skyhigh,NEW WEED SOMANGO BUDS PRESSED 0.5,,1,нет,Тбилиси,0.5 гр,0.0026,1745,653,58,24,True,,,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
3,01-05-2020 05:51:16,Tbilisi,A3SS3,Parrots,"Somango, MARIJUANA BUDS 0.5G, BTC SALE 10%",,2,нет,Тбилиси,0.5 гр,0.0029,2109,789,70,29,,True,True,,,,,,,,,,"Somango, MARIJUANA BUDS 0.5G, BTC SALE 10%"
4,01-05-2020 05:51:16,Tbilisi,6P9R,RickNMorty,VHQ Tutankhamon Buds ONLY high THc 0.5,True,18,нет,Тбилиси,0.5 гр,0.0032,2109,789,70,29,,,,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 0.5
5,01-05-2020 05:51:16,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds,True,9,нет,Тбилиси,1 гр,0.006,4000,1496,133,55,,,,,,,,,,,,,1 G Hybrid Marijuana Buds
6,01-05-2020 05:51:16,Tbilisi,OX85,amnesia420,"1g SOUR DIESEL (Hybrid, Sativa)",True,1,нет,Тбилиси,1 гр,0.0053,3491,1306,116,48,,,,,,,,,,,,,"1g SOUR DIESEL (Hybrid, Sativa)"
7,01-05-2020 05:51:16,Tbilisi,OX85,amnesia420,"1g WHITE WIDOW (Hybrid, more sativa)",True,1,нет,Тбилиси,1 гр,0.0053,3491,1306,116,48,,,,,,,,,,,,,"1g WHITE WIDOW (Hybrid, more sativa)"
8,01-05-2020 05:51:16,Tbilisi,7IU5,ANASHA777,Hybrid Ana-sha 1G.,True,4,нет,Тбилиси,1 гр,0.0041,2982,1115,99,41,,,,,,,,,,,,,Hybrid Ana-sha 1G.
9,01-05-2020 05:51:16,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0899,65454,24480,2173,900,,,,,,,,,,,,,Metadon 1gr
10,01-05-2020 05:51:16,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,True,4,нет,Тбилиси,2 гр,0.011,7273,2720,241,100,,,,,,,,,,,,,2 G Hybrid Marijuana Buds
11,01-05-2020 05:51:16,Tbilisi,U26MW,Skyhigh,Weed Hybrid Somango 2 G,,1,нет,Тбилиси,2 гр,0.0077,5091,1904,169,70,,,,True,,,,,,,,,Weed Hybrid Somango 2 G
12,01-05-2020 05:51:16,Tbilisi,1MZLP,WeedbooM,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,3,нет,Тбилиси,2 гр,0.0093,6182,2312,205,85,,,,True,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
13,01-05-2020 05:51:16,Tbilisi,18FB,Mr.Green Tbilis,3 G Hybrid Marijuana Big Buds,True,4,нет,Тбилиси,3 гр,0.0143,9454,3536,314,130,,,,,,,,,,,,,3 G Hybrid Marijuana Big Buds
