,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Varketili,Vake,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
25,12-02-2020 15:02:54,Tbilisi,72B,CHINATOWN,NZT-52 mind storm limited 1г мука,True,14,нет,Тбилиси,1 гр,0.0112,8196,3203,285,130,,,,,,,,,,,NZT-52 mind storm limited 1g muka
26,12-02-2020 15:02:54,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,7,нет,Тбилиси,1 гр,0.0181,12546,4903,436,199,,,,,,,,,,,VHQ BEST Cocaine 1g.
27,12-02-2020 15:02:54,Tbilisi,0WE,Khachapuri,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,3,нет,Тбилиси,1 гр,0.0137,9457,3696,329,150,,,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
28,12-02-2020 15:02:54,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,True,3,нет,Тбилиси,1 гр,0.0177,11916,4657,414,189,,,,,,,,,,,Kokain HQ 1g.
29,12-02-2020 15:02:54,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 1g,,6,нет,Тбилиси,1 гр,0.0189,12546,4903,436,199,,,,True,,,,,,,Kokain KOLUMBIA 1g
30,12-02-2020 15:02:54,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,2,нет,Тбилиси,1 гр,0.041,28371,11088,987,450,,,,,,,,,,,Metadon 1gr
31,12-02-2020 15:02:54,Tbilisi,EYO96,ROCKSHOP,"Метадон, 1gr",True,6,нет,Тбилиси,1 гр,0.0379,25219,9856,877,400,,,,,,,,,,,"Metadon, 1gr"
32,12-02-2020 15:03:33,Tbilisi,Y6FO,Opiate,Methadone HQ in city 1.3g,True,1,нет,Тбилиси,1.3 гр,0.0529,35172,13552,1206,550,,,,,,,,,,,Methadone HQ in city 1.3g
33,12-02-2020 15:03:33,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,2 гр,0.0068,4476,1725,153,70,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
34,12-02-2020 15:03:33,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2.0g BTC SALE 5%,True,1,нет,Тбилиси,2 гр,0.0363,24620,9486,844,385,,,,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5%
35,12-02-2020 15:03:33,Tbilisi,5HOGC,NewHybrid,Hybrid Weed VHQ (2г) BТС 10% СКИДКА,True,4,нет,Тбилиси,2 гр,0.0061,4476,1725,153,70,,,,,,,,,,,Hybrid Weed VHQ (2g) BTS 10% SKIDKA
36,12-02-2020 15:03:33,Tbilisi,72B,CHINATOWN,NZT-52 mind storm limited 2г мука,True,8,нет,Тбилиси,2 гр,0.0201,14708,5667,504,230,,,,,,,,,,,NZT-52 mind storm limited 2g muka
37,12-02-2020 15:03:33,Tbilisi,5LZ,ExtraShop,Кокаин HQ 2г.,True,1,нет,Тбилиси,2 гр,0.035,24237,9339,831,379,,,,,,,,,,,Kokain HQ 2g.
38,12-02-2020 15:03:33,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 2g,,5,нет,Тбилиси,2 гр,0.0384,25516,9831,875,399,,,,True,,,,,,,Kokain KOLUMBIA 2g
39,12-02-2020 15:03:33,Tbilisi,UJP9,420Inc,VHQ Cx Columbia Import 2+0.2G High Quality,True,2,нет,Тбилиси,2.2 гр,0.0287,19504,7515,669,305,,,,,,,,,,,VHQ Cx Columbia Import 2+0.2G High Quality
40,12-02-2020 15:03:33,Tbilisi,C7LQ,Scandal,"3 Grm Mdma , Purity A +++",True,3,нет,Тбилиси,3 гр,0.0192,14069,5421,482,220,,,,,,,,,,,"3 Grm Mdma , Purity A +++"
41,12-02-2020 15:03:33,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,4,нет,Тбилиси,3 гр,0.0102,6715,2587,230,105,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
42,12-02-2020 15:03:33,Tbilisi,72B,CHINATOWN,NZT-52 mind storm limited 3г мука,True,1,нет,Тбилиси,3 гр,0.0289,21103,8131,724,330,,,,,,,,,,,NZT-52 mind storm limited 3g muka
43,12-02-2020 15:03:33,Tbilisi,9VLN,AlienShop,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈,True,3,нет,Тбилиси,3 гр,0.0116,7610,2932,261,119,,,,,,,,,,,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈
44,12-02-2020 15:03:33,Tbilisi,UJP9,420Inc,"VHQ Cx Columbia Import 3+0.3G High Quality ""Btc -10% Sale""",True,1,нет,Тбилиси,3.3 гр,0.0394,28777,11088,987,450,,,,,,,,,,,"VHQ Cx Columbia Import 3+0.3G High Quality ""Btc -10% Sale"""
45,12-02-2020 15:03:33,Tbilisi,6ZR,Geogrowers,*new* Cocaine peru HQ 5 gr BTC -10 %,True,2,нет,Тбилиси,5 гр,0.0847,61954,23878,2124,,,,,,888,,,,,,*new* Cocaine peru HQ 5 gr BTC -10 %
46,12-02-2020 15:03:33,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,5,нет,Тбилиси,5 гр,0.017,11191,4312,384,175,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
47,12-02-2020 15:03:33,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,2,нет,Тбилиси,5 гр,0.0057,4157,1602,143,65,,,,,,True,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
48,12-02-2020 15:03:33,Tbilisi,SM7B,SWEETWEED,гашиш евро 5г,True,3,нет,Тбилиси,5 гр,0.0194,13429,5174,460,210,,,,,,,,,,,gashish evro 5g
49,12-02-2020 15:03:33,Tbilisi,UJP9,420Inc,Morocco Hash Ice-Scream 5+1G High THc,True,1,нет,Тбилиси,6 гр,0.0342,23661,9117,811,370,,,,,,,,,,,Morocco Hash Ice-Scream 5+1G High THc
50,12-02-2020 15:03:33,Tbilisi,UJP9,420Inc,"VHQ Cx Columbia Import 5G+1G High Quality ""Btc -10% Sale""",True,1,нет,Тбилиси,6 гр,0.0754,51159,19712,1754,800,,,,,,,,,,,"VHQ Cx Columbia Import 5G+1G High Quality ""Btc -10% Sale"""
51,12-02-2020 15:03:33,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0369,25580,9856,877,400,,,,,,,,,,,gashish evro 10g
52,12-02-2020 15:03:33,Tbilisi,F8K,BestAcid,"марки 25i-nbome 2,5mg (10шт)",True,23,нет,Тбилиси,10 гр,0.0087,6395,2464,219,100,,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
53,12-02-2020 15:03:33,Tbilisi,6ZR,Geogrowers,* SALE * COCAINE Peru 11 gr BTC -50 %,True,2,нет,Тбилиси,11 гр,0.0883,116234,44799,3985,,,,,,1666,,,,,,* SALE * COCAINE Peru 11 gr BTC -50 %
54,12-02-2020 15:03:33,Tbilisi,ITJ,seazon,weed leaves 13gr +,True,3,нет,Тбилиси,13 гр,0.0058,4221,1626,145,66,,,,,,,,,,,weed leaves 13gr +
55,12-02-2020 15:03:33,Tbilisi,ITJ,seazon,georgian weed 15 gr salee !!!,True,1,нет,Тбилиси,15 гр,0.012,8761,3376,300,137,,,,,,,,,,,georgian weed 15 gr salee !!!
56,12-02-2020 15:03:33,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0717,49688,19145,1704,777,,,,,,,,,,,Gashish Evro 20gr
57,12-02-2020 15:03:33,Tbilisi,6ZR,Geogrowers,* SALE *COCAINE Peru 20+2 gr BTC-50%,True,2,нет,Тбилиси,22 гр,0.1472,193747,74674,6642,,,,,,2777,,,,,,* SALE *COCAINE Peru 20+2 gr BTC-50%
58,12-02-2020 15:03:33,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,нет,4,Тбилиси,0.27 гр,0.0243,15987,6160,548,250,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
59,12-02-2020 15:03:33,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,1,5,Тбилиси,0.35 гр,0.034,22382,8624,767,350,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
60,12-02-2020 15:03:33,Tbilisi,Z5UFK,Vein,Hashish Ice-o-lator 1g Promotion -5% for Bitcoin,True,нет,1,Тбилиси,1 гр,0.007,4860,1873,167,76,,,,,,,,,,,Hashish Ice-o-lator 1g Promotion -5% for Bitcoin
61,12-02-2020 15:03:33,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 1 G (SALE),True,нет,5,Тбилиси,1 гр,0.0583,38369,14784,1315,600,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1 G (SALE)
62,12-02-2020 15:03:33,Tbilisi,03F3,geoshop,2 gr mdma Кристаллы очен силни импорт с европи,True,нет,2,Тбилиси,2 гр,0.0212,14069,5421,482,220,,,,,,,,,,,2 gr mdma Kristally ochen silni import s evropi
63,12-02-2020 15:03:33,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,10,Тбилиси,4 гр,0.0385,25580,9856,877,400,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
64,12-02-2020 15:03:33,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,9,Тбилиси,5 гр,0.0231,15348,5914,526,240,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
65,12-02-2020 15:04:02,Tbilisi,7B8EQ,w1ld1nd1an,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,9,Тбилиси,5 гр,0.1293,94571,36960,3289,1500,,,,,,,,,,,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
66,12-02-2020 15:04:02,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0237,15762,6160,548,250,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
67,12-02-2020 15:04:02,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0237,15762,6160,548,250,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
68,12-02-2020 15:04:02,Tbilisi,SF03,CRAZYFROG,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,4,Тбилиси,5 гр,0.0189,12546,4903,436,199,,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
69,12-02-2020 15:04:02,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,4,Тбилиси,5 гр,0.0237,15762,6160,548,250,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
