,time_stamp,region,sell_code,sell_name,description,Vake,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Old Tbilisi (Старый город),Тбилиси,Didube,€,Авлобари,Центр,Батуми,Кутаиси,desc_en
0,31-03-2020 20:51:46,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.2 грамм",True,6,нет,Тбилиси,0.2 гр,0.0046,2721,982,91,35,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.2 gramm"
1,31-03-2020 20:51:46,Tbilisi,TI21,Campaari,"Метадон VHQ 0,25",,11,нет,Тбилиси,0.25 гр,0.0272,14769,5330,494,190,True,True,,,,,,,,"Metadon VHQ 0,25"
2,31-03-2020 20:51:46,Tbilisi,TI21,Campaari,"Метадон VHQ 0,5",,1,нет,Тбилиси,0.5 гр,0.0472,25652,9257,859,330,True,,,,,,,,,"Metadon VHQ 0,5"
3,31-03-2020 20:51:46,Tbilisi,9VLN,AlienShop,☃️ 0.5g HQ COCAINE ☃️,,2,нет,Тбилиси,0.5 гр,0.0158,8473,3057,284,109,,,True,,,,,,,☃️ 0.5g HQ COCAINE ☃️
4,31-03-2020 20:51:46,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.7 грамм",True,2,нет,Тбилиси,0.7 гр,0.0117,6996,2525,234,90,,,True,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.7 gramm"
5,31-03-2020 20:51:46,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,11,нет,Тбилиси,1 гр,0.0078,4664,1683,156,60,,,True,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
6,31-03-2020 20:51:46,Tbilisi,JVZTQ,partyshop,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,4,нет,Тбилиси,1 гр,0.0072,3887,1403,130,50,,,True,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
7,31-03-2020 20:51:46,Tbilisi,SF03,CRAZYFROG,1 gr Шишки “OG KUSH VHQ”,,12,нет,Тбилиси,1 гр,0.0056,3032,1094,101,39,,,,True,,,,,,1 gr Shishki “OG KUSH VHQ”
8,31-03-2020 20:51:46,Tbilisi,03F3,geoshop,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,,10,нет,Тбилиси,1 гр,0.0054,2954,1066,99,38,,,True,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
9,31-03-2020 20:51:46,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,,3,нет,Тбилиси,1 гр,0.026,14691,5301,492,189,,,True,,,,,,,Cocaine Pure VHQ 1g
10,31-03-2020 20:51:46,Tbilisi,7IU5,ANASHA777,Hybrid Ana-sha 1G.,,1,нет,Тбилиси,1 гр,0.0053,3187,1150,107,41,,,True,,,,,,,Hybrid Ana-sha 1G.
11,31-03-2020 20:51:46,Tbilisi,42AF,Leningrad6,"NEW PRODUCT,,💣💣💣 Amsterdam weed sativa 1гр",,1,нет,Тбилиси,1 гр,0.0062,3343,1206,112,43,,,True,,,,,,,"NEW PRODUCT,,💣💣💣 Amsterdam weed sativa 1gr"
12,31-03-2020 20:51:46,Tbilisi,LGRP8,Walker12,VHQ 1 G NORTHERN LIGHT (THC 20 % Import),,5,нет,Тбилиси,1 гр,0.0062,3731,1346,125,48,,,True,,,,,,,VHQ 1 G NORTHERN LIGHT (THC 20 % Import)
13,31-03-2020 20:51:46,Tbilisi,V4T,COCAcoLA,mephedrone 1gr высшый стиль!) лекарство от корона вируса!),,7,нет,Тбилиси,1 гр,0.0215,11660,4208,390,150,True,,,,,,,,,mephedrone 1gr vysshyj stil'!) lekarstvo ot korona virusa!)
14,31-03-2020 20:51:46,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 1g,True,2,нет,Тбилиси,1 гр,0.0256,13914,5021,466,179,,,,,,,,,,Kokain KOLUMBIA 1g
15,31-03-2020 20:51:46,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.1171,69959,25245,2342,900,,,True,,,,,,,Metadon 1gr
16,31-03-2020 20:51:46,Tbilisi,JVZTQ,partyshop,2 Amnesia Haze марихуана шишки тгк 25%,,1,нет,Тбилиси,2 гр,0.0107,5830,2104,195,75,,,True,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
17,31-03-2020 20:51:46,Tbilisi,BB6E,WEEDSH0P,2 gr Stardawg Auto WEED PRESED BUDS !! thc 21%,,3,нет,Тбилиси,2 гр,0.0122,6607,2384,221,85,,,True,,,,,,,2 gr Stardawg Auto WEED PRESED BUDS !! thc 21%
18,31-03-2020 20:51:46,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 2 g,,5,нет,Тбилиси,2 гр,0.0468,27984,10098,937,360,,,True,,,,,,,Cocaine Pure VHQ 2 g
19,31-03-2020 20:51:46,Tbilisi,X4ZM,ZYX,Gorilla Glue! 2G ! NEW ! BUDS !,,1,нет,Тбилиси,2 гр,0.0107,5830,2104,195,75,,,True,,,,,,,Gorilla Glue! 2G ! NEW ! BUDS !
20,31-03-2020 20:51:46,Tbilisi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 2 штуки!!!,,26,нет,Тбилиси,2 гр,0.0046,2721,982,91,35,True,,True,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 2 shtuki!!!
21,31-03-2020 20:51:46,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome. 2шт. готовые клады в Грузии от производителя!,,5,нет,Тбилиси,2 гр,0.0046,2721,982,91,35,True,,True,,,,,,,Moschnye zhirnye marki 25i nbome. 2sht. gotovye klady v Gruzii ot proizvoditelja!
22,31-03-2020 20:51:46,Tbilisi,9VLN,AlienShop,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,,2,нет,Тбилиси,3 гр,0.0158,8473,3057,284,109,,,True,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
23,31-03-2020 20:51:46,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",,2,нет,Тбилиси,5 гр,0.0416,24874,8976,833,320,,,True,,,,,,,"5 Grm MDMA , Purity A +++"
24,31-03-2020 20:51:46,Tbilisi,0WE,Khachapuri,5 gr mdma (скидка в биткоин 5%),,2,нет,Тбилиси,5 гр,0.0348,19720,7107,662,,,,True,,230,,,,,5 gr mdma (skidka v bitkoin 5%)
25,31-03-2020 20:51:46,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,,5,нет,Тбилиси,5 гр,0.0253,13603,4909,455,175,,,True,,,,,,,5x Extasy Duracell 223mg MDMA.
26,31-03-2020 20:51:46,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 5g.,,2,нет,Тбилиси,5 гр,0.1039,62108,22412,2079,799,,,True,,,,,,,Cocaine Pure VHQ 5g.
27,31-03-2020 20:51:46,Tbilisi,BCF,Doitgod,Ketamine S 5grm(Netherlands) Purity 87%,,1,нет,Тбилиси,5 гр,0.0813,48583,17531,1626,625,,,True,,,,,,,Ketamine S 5grm(Netherlands) Purity 87%
28,31-03-2020 20:51:46,Tbilisi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 6 штук!!!!,,2,нет,Тбилиси,6 гр,0.0117,6996,2525,234,90,True,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 6 shtuk!!!!
29,31-03-2020 20:51:46,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica-,,2,нет,Тбилиси,10 гр,0.0342,18578,6704,622,239,True,,,,,,,,,10 gr marijuana buds. -indica-
30,31-03-2020 20:51:46,Tbilisi,P5MBO,ToppoT,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,1,нет,Тбилиси,10 гр,0.0522,28372,10238,950,365,,,,True,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
31,31-03-2020 20:51:46,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 10шт. вес таблетки 450mg,,1,нет,Тбилиси,10 гр,0.0382,20755,7489,695,267,,,True,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
32,31-03-2020 20:51:46,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!!,,1,нет,Тбилиси,10 гр,0.0144,8574,3090,288,,True,,,,100,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!!
33,31-03-2020 20:52:28,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,,1,нет,Тбилиси,10 гр,0.011,6607,2384,221,85,,,True,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
34,31-03-2020 20:52:28,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.0548,31093,11220,1041,400,,,True,,,,,,,gashish evro 10g
35,31-03-2020 20:52:28,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.1064,60398,21795,2022,777,,,True,,,,,,,Gashish Evro 20gr
36,31-03-2020 20:52:28,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2596,155465,56100,5205,2000,,,True,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
37,31-03-2020 20:52:28,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 100шт. Готовые клады в Грузии от производителя!,,1,нет,Тбилиси,100 гр,0.0519,31093,11220,1041,400,,True,,,,,,,,Moschnye zhirnye marki 25i nbome 100sht. Gotovye klady v Gruzii ot proizvoditelja!
38,31-03-2020 20:52:28,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 0.25 G.,,нет,5,Тбилиси,0.25 гр,0.036,19433,7013,651,250,,,True,,,,,,,METADON - 0.25 G.
39,31-03-2020 20:52:28,Tbilisi,Z5UFK,Vein,Cocaine Fishscale! Limited Quantity 0.5 g. акция -10% при оплате бтк!!!,,нет,1,Тбилиси,0.5 гр,0.0241,14458,5217,484,186,,,True,,,,,,,Cocaine Fishscale! Limited Quantity 0.5 g. aktsija -10% pri oplate btk!!!
40,31-03-2020 20:52:28,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,,1,2,Тбилиси,2 гр,0.0288,15547,5610,520,200,,,True,,,,,,,✨✨2gram. MDMA✨✨
41,31-03-2020 20:52:28,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,,нет,3,Тбилиси,2 гр,0.0532,28683,10350,960,369,,,True,,,,,,,❄❄2g HQ COCAINE❄❄
42,31-03-2020 20:52:28,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,3,Тбилиси,3 гр,0.0851,45862,16550,1535,590,,,True,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
43,31-03-2020 20:52:28,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0571,31093,11220,1041,400,,,True,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
