,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Vazisubani,Saburtalo,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
0,01-06-2020 23:55:10,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,2,нет,Тбилиси,1 гр,0.0244,16382,6345,566,235,,,,,,,,,,Cocaine Pure VHQ 1g
1,01-06-2020 23:55:10,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.085,62740,24300,2169,900,,,,,,,,,,Metadon 1gr
2,01-06-2020 23:55:10,Tbilisi,7LHWP,GEOBUDS,2gr HYBRID buds,True,9,нет,Тбилиси,2 гр,0.0091,6135,2376,212,88,,,,,,,,,,2gr HYBRID buds
3,01-06-2020 23:55:10,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 2g.,True,1,нет,Тбилиси,2 гр,0.0502,34019,13176,1176,488,,,,,,,,,,VHQ BEST Cocaine 2g.
4,01-06-2020 23:55:10,Tbilisi,LYHBG,Playboy,3 ECSTASY << PACO RABANNE >>,True,2,нет,Тбилиси,3 гр,0.0125,8296,3213,287,119,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
5,01-06-2020 23:55:10,Tbilisi,7LHWP,GEOBUDS,3 gr georgian weed. Package on magnet,True,12,нет,Тбилиси,3 гр,0.009,6065,2349,210,87,,,,,,,,,,3 gr georgian weed. Package on magnet
6,01-06-2020 23:55:10,Tbilisi,3TGJ9,Elegant,4g.марихуана шишки white widow,True,2,нет,Тбилиси,4 гр,0.0184,13594,5265,470,195,,,,,,,,,,4g.marihuana shishki white widow
7,01-06-2020 23:55:10,Tbilisi,7LHWP,GEOBUDS,5 gr georgian weed. Package on magnet,True,9,нет,Тбилиси,5 гр,0.0144,9690,3753,335,139,,,,,,,,,,5 gr georgian weed. Package on magnet
8,01-06-2020 23:55:10,Tbilisi,3TGJ9,Elegant,5g. марихуана шишки Critical,True,3,нет,Тбилиси,5 гр,0.0227,16731,6480,578,240,,,,,,,,,,5g. marihuana shishki Critical
9,01-06-2020 23:55:10,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,2,нет,Тбилиси,5 гр,0.0184,12200,4725,422,175,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
10,01-06-2020 23:55:10,Tbilisi,EIH4,San4oPan4o,!! Lemon Haze 7.5g!! !!! BTC SALE 5% !!!,,1,нет,Тбилиси,7.5 гр,0.0276,18752,7263,648,269,True,,,,,,,,,!! Lemon Haze 7.5g!! !!! BTC SALE 5% !!!
11,01-06-2020 23:55:10,Tbilisi,03F3,geoshop,10 gr марихуана листья top гибрид,True,13,нет,Тбилиси,10 гр,0.0104,6971,2700,241,100,,True,,,,,,,,10 gr marihuana list'ja top gibrid
12,01-06-2020 23:55:10,Tbilisi,HWUW,opiopi,GABAGAMA 20 SHTUK,True,3,нет,Тбилиси,20 гр,0.0034,2510,972,87,36,,,,,,,,,,GABAGAMA 20 SHTUK
13,01-06-2020 23:55:10,Tbilisi,HWUW,opiopi,GABAGAMA 50 SHTUK,True,2,нет,Тбилиси,50 гр,0.0076,5577,2160,193,80,,,,,,,,,,GABAGAMA 50 SHTUK
14,01-06-2020 23:55:10,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1888,139423,54000,4820,2000,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
15,01-06-2020 23:55:10,Tbilisi,HWUW,opiopi,GABAGAMA 150 shtuk,True,1,нет,Тбилиси,150 гр,0.0175,12897,4995,446,185,,,,,,,,,,GABAGAMA 150 shtuk
16,01-06-2020 23:55:10,Tbilisi,6P9R,RickNMorty,VHQ MDMA Champagne Imported 0.25 A+++ same day adress,True,нет,10,Тбилиси,0.25 гр,0.0042,2788,1080,96,40,,,,,,,,,,VHQ MDMA Champagne Imported 0.25 A+++ same day adress
17,01-06-2020 23:55:10,Tbilisi,6KB,Marioshop,⚜⭕💉SUBUTEX™️(Limited Edition) Original for EU & UK 1/3шт (0.27мг) BTC sale!💉⭕⚜,True,нет,5,Тбилиси,0.3 гр,0.0075,5228,2025,181,75,,,,,,,,,,⚜⭕💉SUBUTEX™️(Limited Edition) Original for EU & UK 1/3sht (0.27mg) BTC sale!💉⭕⚜
18,01-06-2020 23:55:10,Tbilisi,A3I9,Joookerrr,Сирец (геройн) очень сильный 0.33 гр,True,нет,46,Тбилиси,0.33 гр,0.0156,10457,4050,362,150,,,,,,,,,,Sirets (gerojn) ochen' sil'nyj 0.33 gr
19,01-06-2020 23:55:10,Tbilisi,A3I9,Joookerrr,Геройн (сирец) 1 гр,True,нет,20,Тбилиси,1 гр,0.0374,25096,9720,868,360,,,,,,,,,,Gerojn (sirets) 1 gr
20,01-06-2020 23:55:10,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,True,нет,4,Тбилиси,2 гр,0.022,14639,5670,506,210,,,,,,,,,,✨✨2gram. MDMA✨✨
21,01-06-2020 23:55:10,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,6,Тбилиси,2 гр,0.0387,25724,9963,889,369,,,,,,,,,,❄❄2g HQ COCAINE❄❄
22,01-06-2020 23:55:10,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,7,Тбилиси,3 гр,0.0607,40363,15633,1395,579,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
23,01-06-2020 23:55:10,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0415,27885,10800,964,400,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
24,01-06-2020 23:55:10,Tbilisi,1MZLP,WeedbooM,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,3,2,Тбилиси,4 гр,0.0145,9760,3780,337,140,,,True,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
25,01-06-2020 23:55:10,Tbilisi,18FB,Mr.Green Tbilis,"""Kief"" Weed trichomes 5G",True,нет,1,Тбилиси,5 гр,0.0727,48798,18900,1687,700,,,,,,,,,,"""Kief"" Weed trichomes 5G"
26,01-06-2020 23:55:10,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0571,38341,14850,1326,550,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
27,01-06-2020 23:55:10,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,9,Тбилиси,5 гр,0.0244,16382,6345,566,235,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
28,01-06-2020 23:55:10,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,6,Тбилиси,5 гр,0.0249,16731,6480,578,240,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
29,01-06-2020 23:55:10,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,True,нет,8,Тбилиси,5 гр,0.0239,16034,6210,554,230,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
