,Unnamed: 0,time_stamp,region,sell_code,description,Old Tbilisi (Старый город),готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Saburtalo,Дигоми,Тбилиси,Nadzaladevi,Didube,€,Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,26-04-2020 00:08:50,Tbilisi,69672fee0d,0.5 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,4,нет,Тбилиси,0.5 гр,0.0045,2615,957,86,35.0,,,,,,,,,,,,0.5 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
1,1,26-04-2020 00:08:50,Tbilisi,69672fee0d,0.5 г Skunk #1 марихуана шишки тгк 29% VHQ,True,3,нет,Тбилиси,0.5 гр,0.0044,2540,930,84,34.0,,,,,,,,,,,,0.5 g Skunk #1 marihuana shishki tgk 29% VHQ
2,2,26-04-2020 00:08:50,Tbilisi,2f51af8159,INDICA MARIJUANA BUDS HIGH QUALITY PRESSED 0.5G,,6,нет,Тбилиси,0.5 гр,0.0031,1793,656,59,24.0,True,,,,,,,,,,,INDICA MARIJUANA BUDS HIGH QUALITY PRESSED 0.5G
3,3,26-04-2020 00:08:50,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,,20,нет,Тбилиси,1 гр,0.0065,4109,1504,135,55.0,,True,,,,,,,,,,1 G Hybrid Marijuana Buds
4,4,26-04-2020 00:08:50,Tbilisi,013e75d78f,A - P v P Best VHQ 1 g крыстали,,2,нет,Тбилиси,1 гр,0.0324,18679,6838,616,250.0,,,True,,,,,,,,,A - P v P Best VHQ 1 g krystali
5,5,26-04-2020 00:08:50,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,,3,нет,Тбилиси,1 гр,0.0304,17558,6427,579,235.0,,,,True,,,,,,,,Cocaine Pure VHQ 1g
6,6,26-04-2020 00:08:50,Tbilisi,61df6a1c90,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.1059,67245,24615,2217,900.0,,,,True,,,,,,,,Metadon 1gr
7,7,26-04-2020 00:08:50,Tbilisi,83f3d55917,19% ТГК Шишки Northern Lights 2 Gr Скидка 1 % через БИТКОИН !!!,,3,нет,Тбилиси,2 гр,0.0104,5977,2188,197,80.0,,,,,True,,,,,,,19% TGK Shishki Northern Lights 2 Gr Skidka 1 % cherez BITKOIN !!!
8,8,26-04-2020 00:08:50,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,,2,нет,Тбилиси,2 гр,0.0103,5903,2161,195,79.0,,,,True,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
9,9,26-04-2020 00:08:50,Tbilisi,eb7e03535b,Cocaine Pure VHQ 2 g,,1,нет,Тбилиси,2 гр,0.0608,35117,12855,1158,470.0,,,,True,,,,,,,,Cocaine Pure VHQ 2 g
