,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Saburtalo,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,15-05-2020 14:24:09,Tbilisi,f25c0d6c5c,0.3 a-pvp white,True,46,нет,Тбилиси,0.3 гр,0.0098,3221,232,7000,,,,,,,,,0.3 a-pvp white
1,1,15-05-2020 14:24:09,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,True,9,нет,Тбилиси,1 гр,0.0314,8028,733,22105,299.0,,,,,,,,1G --... BoLiVian Coke ...-- 1G
2,2,15-05-2020 14:24:09,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.085,24165,2206,66537,900.0,,,,,,,,Metadon 1gr
3,3,15-05-2020 14:24:09,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,True,10,нет,Тбилиси,2 гр,0.0104,2685,245,7393,100.0,,,,,,,,2 G Hybrid Marijuana Buds
4,4,15-05-2020 14:24:09,Tbilisi,cb721d4bca,2 gr Шишки “OG KUSH VHQ”,True,5,нет,Тбилиси,2 гр,0.0082,2121,194,5840,79.0,,,,,,,,2 gr Shishki “OG KUSH VHQ”
5,5,15-05-2020 14:24:09,Tbilisi,69672fee0d,2 гр INDICA марихуана шишки тгк 21% VHQ!!,True,1,нет,Тбилиси,2 гр,0.0072,1853,169,5101,69.0,,,,,,,,2 gr INDICA marihuana shishki tgk 21% VHQ!!
6,6,15-05-2020 14:24:09,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,3,нет,Тбилиси,2 гр,0.0093,2390,218,6580,89.0,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
7,7,15-05-2020 14:24:09,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,2,1,Тбилиси,2 гр,0.0073,1880,172,5175,70.0,,,,,,,,2x Extasy Duracell 223mg MDMA.
8,8,15-05-2020 14:24:09,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,1,нет,Тбилиси,2 гр,0.0088,2282,208,6284,85.0,True,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
9,9,15-05-2020 14:24:09,Tbilisi,89f7212915,3 G Hybrid Marijuana Big Buds,True,4,нет,Тбилиси,3 гр,0.0135,3491,319,9611,130.0,,,,,,,,3 G Hybrid Marijuana Big Buds
10,10,15-05-2020 14:24:09,Tbilisi,366326d4d6,3LSD ---- LSD ALBERT HOFFMAN 200ug,True,5,нет,Тбилиси,3 гр,0.0125,3195,292,8798,119.0,,,,,,,,3LSD ---- LSD ALBERT HOFFMAN 200ug
11,11,15-05-2020 14:24:09,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,6,нет,Тбилиси,3 гр,0.011000000000000001,2819,257,7763,105.0,,,,,,,,3x Extasy Duracell 223mg MDMA
12,12,15-05-2020 14:24:09,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,,1,нет,Тбилиси,3 гр,0.0125,3195,292,8798,119.0,True,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
13,13,15-05-2020 14:24:09,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,3,нет,Тбилиси,5 гр,0.0319,8592,784,23658,320.0,,,,,,,,"5 Grm MDMA , Purity A +++"
14,14,15-05-2020 14:24:09,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,1,нет,Тбилиси,5 гр,0.0309,8055,735,22179,300.0,,,,,,,,5 Grm Mdma Pure Quality A +++
15,15,15-05-2020 14:24:09,Tbilisi,bb1791277e,5gr NORTHEN LIGHTS marijuana LEAVES листя если платите с бтк скидка 10% !!,True,1,нет,Тбилиси,5 гр,0.0061,1584,145,4362,59.0,,,,,,,,5gr NORTHEN LIGHTS marijuana LEAVES listja esli platite s btk skidka 10% !!
16,16,15-05-2020 14:24:09,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,2,нет,Тбилиси,5 гр,0.0184,4699,429,12938,175.0,,,,,,,,5x Extasy Duracell 223mg MDMA.
17,17,15-05-2020 14:24:09,Tbilisi,7cab566931,GEORGIAN MARIJUANA - 7 GRAM,True,2,нет,Тбилиси,7 гр,0.0085,2417,221,6654,90.0,,,,,,,,GEORGIAN MARIJUANA - 7 GRAM
18,18,15-05-2020 14:24:09,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0399,10740,980,29572,400.0,,,,,,,,gashish evro 10g
19,19,15-05-2020 14:24:09,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0775,20862,1905,57443,777.0,,,,,,,,Gashish Evro 20gr
20,20,15-05-2020 14:24:09,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.18899999999999997,53700,4902,147860,2000.0,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
21,21,15-05-2020 14:24:09,Tbilisi,54915c4374,Бупренорфин!!! Аналог суботекса!!! 0.1 грамма (предзаказ скидка 10%),True,нет,5,Тбилиси,0.1 гр,0.0051,1305,119,3596,,,45.0,,,,,,Buprenorfin!!! Analog suboteksa!!! 0.1 gramma (predzakaz skidka 10%)
