,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Varketili,Дигоми,Vake,Old Tbilisi (Старый город),Авлобари,€,Didube,Батуми,Центр,desc_en
23,04-08-2020 21:20:53,Tbilisi,8B31,GEOWEEDSHOP,1гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),True,9,нет,Тбилиси,1 гр,0.0043,3596,1370,120,49,,,,,,,,,,,,1gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
24,04-08-2020 21:20:53,Tbilisi,42AF,Leningrad6,Amsterdam weed sativa 1гр,True,14,нет,Тбилиси,1 гр,0.004,3376,1286,113,46,,,,,,,,,,,,Amsterdam weed sativa 1gr
25,04-08-2020 21:20:53,Tbilisi,H9FHF,OldStar,Auto Amnesia Haze 1 gr,True,16,нет,Тбилиси,1 гр,0.0035,3000,1380,99,,,,,,,,,,,,,Auto Amnesia Haze 1 gr
26,04-08-2020 21:20:53,Tbilisi,7IU5,ANASHA777,Hybrid Ana-sha 1G.,True,2,нет,Тбилиси,1 гр,0.0033,3009,1146,100,41,,,,,,,,,,,,Hybrid Ana-sha 1G.
27,04-08-2020 21:20:53,Tbilisi,X4ZM,ZYX,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G,True,4,нет,Тбилиси,1 гр,0.0051,4256,1621,142,58,,,,,,,,,,,,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G
28,04-08-2020 21:20:53,Tbilisi,X4ZM,ZYX,NEW * Green Gelato * NEW * BUDS ! 1G VHQ,True,5,нет,Тбилиси,1 гр,0.0055,4623,1761,154,63,,,True,,,,,,,,,NEW * Green Gelato * NEW * BUDS ! 1G VHQ
29,04-08-2020 21:20:53,Tbilisi,X4ZM,ZYX,NEW * Royal Moby * NEW ! HQ BUDS 1G,True,5,нет,Тбилиси,1 гр,0.0052,4329,1649,144,59,,,,,,,,,,,,NEW * Royal Moby * NEW ! HQ BUDS 1G
30,04-08-2020 21:20:53,Tbilisi,9CK,Hyperboy,VHQ Hybrid MJ Buds 1G,True,1,нет,Тбилиси,1 гр,0.0044,3669,1398,122,50,,,,,,,,,,,,VHQ Hybrid MJ Buds 1G
31,04-08-2020 21:20:53,Tbilisi,I7IU,MrPickless,1.2гр перемолотые шишки btc 5% sale,True,1,нет,Тбилиси,1.2 гр,0.0034,2935,1118,98,40,,,,,,,,,,,,1.2gr peremolotye shishki btc 5% sale
32,04-08-2020 21:20:53,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,True,4,нет,Тбилиси,2 гр,0.0095,7998,3047,267,109,,,,,,,,,,,,2 G Hybrid Marijuana Buds
33,04-08-2020 21:20:53,Tbilisi,03F3,geoshop,2 gr Amnesia Haze шишки импорт с европы тгк 28%,True,1,нет,Тбилиси,2 гр,0.0105,8806,3354,294,120,,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
34,04-08-2020 21:20:53,Tbilisi,03F3,geoshop,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,1,нет,Тбилиси,2 гр,0.0105,8806,3354,294,120,,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
35,04-08-2020 21:20:53,Tbilisi,ABOAB,ProGrow,2G ---> Big Devil (BTC - Sale),,2,нет,Тбилиси,2 гр,0.0096,8072,3075,269,110,True,,,,,,,,,,,2G ---> Big Devil (BTC - Sale)
36,04-08-2020 21:21:45,Tbilisi,7LHWP,GEOBUDS,2gr HYBRID buds,True,6,нет,Тбилиси,2 гр,0.0077,6458,2460,215,88,,,,,,,,,,,,2gr HYBRID buds
37,04-08-2020 21:21:45,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 2гр",True,4,нет,Тбилиси,2 гр,0.0088,8072,3075,269,110,,,,True,,,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
38,04-08-2020 21:21:45,Tbilisi,03F3,geoshop,5 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 2g,True,1,нет,Тбилиси,2.2 гр,0.0219,18345,6988,612,250,,,,,,,,,,,,5 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 2g
39,04-08-2020 21:21:45,Tbilisi,ABOAB,ProGrow,3G ---> Big Devil (BTC - Sale),,1,нет,Тбилиси,3 гр,0.0131,11007,4193,367,150,True,,,,,,,,,,,3G ---> Big Devil (BTC - Sale)
40,04-08-2020 21:21:45,Tbilisi,R4156,bestchoice,Northern Lights Regular [budsonly] 3gramm,True,2,нет,Тбилиси,3 гр,0.0072,6604,2516,220,90,,,,,,,,,,,,Northern Lights Regular [budsonly] 3gramm
41,04-08-2020 21:21:45,Tbilisi,JVZTQ,partyshop,5 ecstasy red maseratti VHQ екстази импорт с США,True,8,нет,Тбилиси,5 гр,0.0219,18345,6988,612,250,,,,,,,,,,,,5 ecstasy red maseratti VHQ ekstazi import s SShA
42,04-08-2020 21:21:45,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 5гр",,1,нет,Тбилиси,5 гр,0.0191,17611,6708,587,240,,,,,True,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
43,04-08-2020 21:21:45,Tbilisi,LD5U,Marshydroo,LSD-25 шишки 10gram,True,1,нет,Тбилиси,10 гр,0.0395,34489,13137,1150,470,,,,,,,,,,,,LSD-25 shishki 10gram
