,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Didube,Дигоми,Vake,Old Tbilisi (Старый город),Авлобари,€,Varketili,Центр,Батуми,desc_en
23,07-08-2020 05:36:25,Tbilisi,SF03,CRAZYFROG,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",True,3,нет,Тбилиси,1 гр,0.005,4382,1672,146,60,,,,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
24,07-08-2020 05:36:25,Tbilisi,7LHWP,GEOBUDS,1gr HYBRID o.g,True,23,нет,Тбилиси,1 гр,0.0041,3579,1365,119,49,,,,,,,,,,,,1gr HYBRID o.g
25,07-08-2020 05:36:25,Tbilisi,8B31,GEOWEEDSHOP,1gr ☘NEW☘ Gorilla Cookies☘ (КЛАДИ НА МАГНИТАХ),True,4,нет,Тбилиси,1 гр,0.0048,4163,1588,139,57,,,,,,,,,,,,1gr ☘NEW☘ Gorilla Cookies☘ (KLADI NA MAGNITAH)
26,07-08-2020 05:36:26,Tbilisi,8B31,GEOWEEDSHOP,1гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),True,6,нет,Тбилиси,1 гр,0.0041,3579,1365,119,49,,,,,,,,,,,,1gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
27,07-08-2020 05:36:26,Tbilisi,H9FHF,OldStar,Auto Amnesia Haze 1 gr,True,14,нет,Тбилиси,1 гр,0.0034,3000,1380,100,,,,,,,,,,,,,Auto Amnesia Haze 1 gr
28,07-08-2020 05:36:26,Tbilisi,9R7SU,ClownBaroN,CLOWNBARON ШИШКИ* 1G *VHQ*♤THC 28%♤ SPECIAL PRICE,,9,нет,Тбилиси,1 гр,0.0048,4163,1588,139,57,True,,,,,,,,,,,CLOWNBARON ShIShKI* 1G *VHQ*♤THC 28%♤ SPECIAL PRICE
29,07-08-2020 05:36:26,Tbilisi,XUYA,MRweed,"Gorilla Breath - photoperiod, feminised 1 гр",True,4,нет,Тбилиси,1 гр,0.0042,4017,1532,134,55,,,True,,,,,,,,,"Gorilla Breath - photoperiod, feminised 1 gr"
30,07-08-2020 05:36:26,Tbilisi,5XD8,TYsonWeed,TYson Budds 1G Скидка 5%,True,6,нет,Тбилиси,1 гр,0.0035,3214,1226,107,44,,,,,,,,,,,,TYson Budds 1G Skidka 5%
31,07-08-2020 05:36:26,Tbilisi,9CK,Hyperboy,VHQ Hybrid MJ Buds 1G,True,1,нет,Тбилиси,1 гр,0.0042,3652,1393,122,50,,,,,,,,,,,,VHQ Hybrid MJ Buds 1G
32,07-08-2020 05:36:26,Tbilisi,GYO,Hakeem,White Russian - сорт чемпион ! Накуривает мощно.На магните.Вес всегда больше 1 грамма.,True,1,нет,Тбилиси,1 гр,0.0042,4017,1532,134,55,,,,,,,,,,,,White Russian - sort chempion ! Nakurivaet moschno.Na magnite.Ves vsegda bol'she 1 gramma.
33,07-08-2020 05:36:26,Tbilisi,I7IU,MrPickless,"АКЦИЯ! АКЦИЯ! АКЦИЯ-АКЦИЯ-АКЦИЯ-ПОСЛЕДНИЙ ДНИ, АКЦИЯ ДО 10.08.2020. 1ГР ЗА 35 ДОЛАРОВ 1g hindu kish best buds BTC 5% sale",True,1,нет,Тбилиси,1 гр,0.0028,2556,975,85,35,,,,,,,,,,,,"AKTsIJa! AKTsIJa! AKTsIJa-AKTsIJa-AKTsIJa-POSLEDNIJ DNI, AKTsIJa DO 10.08.2020. 1GR ZA 35 DOLAROV 1g hindu kish best buds BTC 5% sale"
34,07-08-2020 05:36:26,Tbilisi,42AF,Leningrad6,🎇SUPER SKITKA🎇Amsterdam weed sativa 1гр,True,3,нет,Тбилиси,1 гр,0.003,2629,1003,88,36,,,,,,,,,,,,🎇SUPER SKITKA🎇Amsterdam weed sativa 1gr
35,07-08-2020 05:36:26,Tbilisi,LYHBG,Playboy,!!!NEW!!! 2G Jack Herer !!!NEW!!!,True,3,нет,Тбилиси,2 гр,0.0083,7231,2758,241,99,,,,,,,,,,,,!!!NEW!!! 2G Jack Herer !!!NEW!!!
36,07-08-2020 05:37:47,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,True,2,нет,Тбилиси,2 гр,0.0091,7961,3037,266,109,,,,,,,,,,,,2 G Hybrid Marijuana Buds
37,07-08-2020 05:37:47,Tbilisi,03F3,geoshop,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,1,нет,Тбилиси,2 гр,0.01,8765,3343,293,120,,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
38,07-08-2020 05:37:47,Tbilisi,7R3WM,RastaShop,2.0 gr. Magic Kush IMPORT (INDICA),,1,нет,Тбилиси,2 гр,0.0083,7231,2758,241,99,True,,,,,,,,,,,2.0 gr. Magic Kush IMPORT (INDICA)
39,07-08-2020 05:37:47,Tbilisi,7LHWP,GEOBUDS,2gr HYBRID buds,True,2,нет,Тбилиси,2 гр,0.0073,6428,2452,215,88,,,,,,,,,,,,2gr HYBRID buds
40,07-08-2020 05:37:47,Tbilisi,8B31,GEOWEEDSHOP,2gr ☘NEW☘ Gorilla Cookies☘ (КЛАДИ НА МАГНИТАХ),True,6,нет,Тбилиси,2 гр,0.0083,7231,2758,241,99,,,,True,,,,,,,,2gr ☘NEW☘ Gorilla Cookies☘ (KLADI NA MAGNITAH)
41,07-08-2020 05:37:47,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 2гр",True,4,нет,Тбилиси,2 гр,0.0083,8034,3065,268,110,,,,True,,,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
42,07-08-2020 05:37:47,Tbilisi,LYHBG,Playboy,NEW !!! 2G OG KusH !!! NEW,True,3,нет,Тбилиси,2 гр,0.0083,7231,2758,241,99,,,,,,,,,,,,NEW !!! 2G OG KusH !!! NEW
43,07-08-2020 05:37:47,Tbilisi,LYHBG,Playboy,NEW !!! 2G White Widow !!! NEW,True,3,нет,Тбилиси,2 гр,0.0083,7231,2758,241,99,,,,,,,,,,,,NEW !!! 2G White Widow !!! NEW
44,07-08-2020 05:37:47,Tbilisi,5XD8,TYsonWeed,TYson Budds 2G Скидка 5%,True,6,нет,Тбилиси,2 гр,0.0061,5843,2229,195,80,,,,,,,,,,,,TYson Budds 2G Skidka 5%
45,07-08-2020 05:37:47,Tbilisi,ABOAB,ProGrow,3G ---> Big Devil (BTC - Sale),,1,нет,Тбилиси,3 гр,0.0117,10226,3900,341,140,True,,,,,,,,,,,3G ---> Big Devil (BTC - Sale)
46,07-08-2020 05:37:47,Tbilisi,R4156,bestchoice,Northern Lights Regular [budsonly] 3gramm,True,4,нет,Тбилиси,3 гр,0.0068,6574,2507,219,90,,,,,,,,,,,,Northern Lights Regular [budsonly] 3gramm
47,07-08-2020 05:37:47,Tbilisi,LYHBG,Playboy,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,1,нет,Тбилиси,5 гр,0.0134,11613,4430,388,159,,,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
48,07-08-2020 05:37:47,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 5гр",True,2,нет,Тбилиси,5 гр,0.0182,17530,6686,585,240,,,,,True,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
49,07-08-2020 05:37:47,Tbilisi,43MUT,Canartvelo,Мощные Кексы / Marijuana cupcakes (75g),True,1,нет,Тбилиси,75 гр,0.0021,1826,697,61,25,,,,,,,,,,,,Moschnye Keksy / Marijuana cupcakes (75g)
50,07-08-2020 05:37:47,Tbilisi,A3I9,Joookerrr,марки н-боом 3 шт.,True,нет,45,Тбилиси,3 гр,0.0041,3579,1365,119,49,,,,,,,,,,,,marki n-boom 3 sht.
51,07-08-2020 05:37:47,Tbilisi,03F3,geoshop,10 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,1,Тбилиси,4.4 гр,0.04,35059,13373,1170,480,,,,,,,,,,,,10 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
