,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,Дигоми,$,Didube,Old Tbilisi (Старый город),Авлобари,Vake,Varketili,Батуми,Центр,Кутаиси,desc_en
0,0,17-07-2020 13:47:13,Tbilisi,be97026d1d,!!! Iranian Sirec 0.30g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!!,True,1,нет,Тбилиси,0.3 гр,0.0127,8773,3386,296,108.0,,,,,,,,,,,,!!! Iranian Sirec 0.30g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!!
1,1,17-07-2020 13:47:13,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,,12,нет,Тбилиси,1 гр,0.0063,4274,1653,144,,True,True,60.0,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
2,2,17-07-2020 13:47:13,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,,2,нет,Тбилиси,1 гр,0.0062,4203,1625,142,,,True,59.0,,,,,,,,,1 G Hybrid Marijuana Buds
3,3,17-07-2020 13:47:13,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,15,нет,Тбилиси,1 гр,0.0063,4274,1653,144,,True,,60.0,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
4,4,17-07-2020 13:47:13,Tbilisi,cb721d4bca,1 gr top buds white widow wишки THC 25% VHQ,,3,нет,Тбилиси,1 гр,0.0062,4203,1625,142,,True,,59.0,,,,,,,,,1 gr top buds white widow wishki THC 25% VHQ
5,5,17-07-2020 13:47:13,Tbilisi,7c395c455d,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,2,нет,Тбилиси,1 гр,0.0063,4274,1653,144,,True,,60.0,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
6,6,17-07-2020 13:47:13,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,13,нет,Тбилиси,1 гр,0.0062,4203,1625,142,,True,,59.0,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
7,7,17-07-2020 13:47:13,Tbilisi,64284550d9,1G ---> Big Devil (BTC - Sale),,5,нет,Тбилиси,1 гр,0.0053,3562,1378,120,,True,,50.0,,,,,,,,,1G ---> Big Devil (BTC - Sale)
8,8,17-07-2020 13:47:13,Tbilisi,bb1791277e,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,,1,нет,Тбилиси,1 гр,0.0063,4274,1653,144,,True,,60.0,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
9,9,17-07-2020 13:47:13,Tbilisi,0cd3c52bb8,White Russian - сорт чемпион ! Накуривает мощно.На магните.Вес всегда больше 1 грамма.,,2,нет,Тбилиси,1 гр,0.0053,3918,1515,132,,True,,55.0,,,,,,,,,White Russian - sort chempion ! Nakurivaet moschno.Na magnite.Ves vsegda bol'she 1 gramma.
10,10,17-07-2020 13:47:13,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 1g 🍭☄🧞‍♀️,,3,нет,Тбилиси,1 гр,0.0073,4874,1881,164,60.0,True,,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 1g 🍭☄🧞‍♀️
11,11,17-07-2020 13:47:13,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,,3,нет,Тбилиси,2 гр,0.0104,7052,2727,238,,,True,99.0,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
12,12,17-07-2020 13:47:13,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,,8,нет,Тбилиси,2 гр,0.0115,7764,3003,262,,True,True,109.0,,,,,,,,,2 G Hybrid Marijuana Buds
