,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
24,24,21-05-2020 12:55:51,Tbilisi,21e6be39fb,"Отсев шышек от AKA-47, GAGARINA и BANANA KUSHA с листьями 15г",True,9,нет,Тбилиси,15 гр,0.016,10851,4035,361,150.0,,,,,,,,,,"Otsev shyshek ot AKA-47, GAGARINA i BANANA KUSHA s list'jami 15g"
25,25,21-05-2020 12:55:51,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0793,56207,20901,1872,777.0,,,,,,,,,,Gashish Evro 20gr
26,26,21-05-2020 12:55:51,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1935,144676,53800,4817,2000.0,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
27,27,21-05-2020 12:55:51,Tbilisi,54915c4374,Бупренорфин (аналог суботекса) 0.2 гр.,True,нет,9,Тбилиси,0.2 гр,0.0105,7126,2651,237,,,,,90.0,,,,,,Buprenorfin (analog suboteksa) 0.2 gr.
28,28,21-05-2020 12:55:51,Tbilisi,54915c4374,"MDMA ""цунами удовольствия) 0.5 грамм",True,нет,9,Тбилиси,0.5 гр,0.0085,5787,2152,193,80.0,,,,,,,,,,"MDMA ""tsunami udovol'stvija) 0.5 gramm"
29,29,21-05-2020 12:55:51,Tbilisi,89f7212915,"""Kief"" Weed trichomes 1G",True,нет,5,Тбилиси,1 гр,0.017,11574,4304,385,160.0,,,,,,,,,,"""Kief"" Weed trichomes 1G"
30,30,21-05-2020 12:55:51,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,1,Тбилиси,2 гр,0.0397,26693,9926,889,369.0,,,,,,,,,,❄❄2g HQ COCAINE❄❄
31,31,21-05-2020 12:55:51,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,8,Тбилиси,3 гр,0.0622,41884,15575,1395,579.0,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
32,32,21-05-2020 12:55:51,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0426,28935,10760,963,400.0,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
33,33,21-05-2020 12:55:51,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,1,Тбилиси,4 гр,0.0149,10127,3766,337,140.0,True,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
34,34,21-05-2020 12:56:45,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,10,Тбилиси,5 гр,0.0249,16999,6322,566,235.0,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
