,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Saburtalo,Varketili,Didube,Old Tbilisi (Старый город),Gldani,Vazisubani,Nadzaladevi,€,Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,01-05-2020 23:56:59,Tbilisi,8ddca45a78,"0,5g LEMON SKUNK (Hybrid, more Sativa)",True,5,нет,Тбилиси,0.5 гр,0.003,2036,762,68,28.0,,,,,,,,,,,,,,"0,5g LEMON SKUNK (Hybrid, more Sativa)"
1,1,01-05-2020 23:56:59,Tbilisi,2f51af8159,Hashish Malana Charas 0.5 g,,7,нет,Тбилиси,0.5 гр,0.0056,3782,1414,126,52.0,True,,,,,,,,,,,,,Hashish Malana Charas 0.5 g
2,2,01-05-2020 23:56:59,Tbilisi,2f51af8159,NEW WEED SOMANGO BUDS PRESSED 0.5,True,6,нет,Тбилиси,0.5 гр,0.0026,1745,653,58,24.0,True,True,,,,,,,,,,,,NEW WEED SOMANGO BUDS PRESSED 0.5
3,3,01-05-2020 23:56:59,Tbilisi,1dfc50c91e,"Somango, MARIJUANA BUDS 0.5G, BTC SALE 10%",,1,нет,Тбилиси,0.5 гр,0.0028,2109,789,70,29.0,,,True,,,,,,,,,,,"Somango, MARIJUANA BUDS 0.5G, BTC SALE 10%"
4,4,01-05-2020 23:56:59,Tbilisi,52fe6d0af9,VHQ Tutankhamon Buds ONLY high THc 0.5,True,14,нет,Тбилиси,0.5 гр,0.0031,2109,789,70,29.0,,,,,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 0.5
5,5,01-05-2020 23:56:59,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,True,2,нет,Тбилиси,1 гр,0.0059,4000,1496,133,55.0,,,,,,,,,,,,,,1 G Hybrid Marijuana Buds
6,6,01-05-2020 23:56:59,Tbilisi,8ddca45a78,"1g WHITE WIDOW (Hybrid, more sativa)",True,3,нет,Тбилиси,1 гр,0.0052,3491,1306,116,48.0,,,,,,,,,,,,,,"1g WHITE WIDOW (Hybrid, more sativa)"
7,7,01-05-2020 23:56:59,Tbilisi,ba95863126,Hybrid Ana-sha 1G.,True,3,нет,Тбилиси,1 гр,0.004,2982,1115,99,41.0,,,,,,,,,,,,,,Hybrid Ana-sha 1G.
8,8,01-05-2020 23:56:59,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,1,нет,Тбилиси,1 гр,0.0257,17454,6528,579,240.0,,,,,,,,,,,,,,VHQ BEST Cocaine 1g.
9,9,01-05-2020 23:56:59,Tbilisi,52fe6d0af9,VHQ Tutankhamon Buds ONLY high THc 1 Gr,,1,нет,Тбилиси,1 гр,0.0051,3418,1278,113,47.0,,,,True,,,,,,,,,,VHQ Tutankhamon Buds ONLY high THc 1 Gr
10,10,01-05-2020 23:56:59,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,2,нет,Тбилиси,1 гр,0.0247,16654,6229,553,229.0,,,,,True,,,,,,,,,Kokain KOLUMBIA 1g
11,11,01-05-2020 23:56:59,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0883,65454,24480,2173,900.0,,,,,,,,,,,,,,Metadon 1gr
12,12,01-05-2020 23:56:59,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,,1,нет,Тбилиси,1 гр,0.0261,17382,6501,577,239.0,,True,,,,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
13,13,01-05-2020 23:56:59,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,True,6,нет,Тбилиси,2 гр,0.0108,7273,2720,241,100.0,,,,,,,,,,,,,,2 G Hybrid Marijuana Buds
14,14,01-05-2020 23:56:59,Tbilisi,eb7e03535b,Cocaine Pure VHQ 2 g,True,1,нет,Тбилиси,2 гр,0.0508,34181,12784,1135,470.0,,,,,,,,,,,,,,Cocaine Pure VHQ 2 g
15,15,01-05-2020 23:56:59,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,2,нет,Тбилиси,2 гр,0.0092,6182,2312,205,85.0,,True,,,,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
16,16,01-05-2020 23:56:59,Tbilisi,89f7212915,3 G Hybrid Marijuana Big Buds,True,4,нет,Тбилиси,3 гр,0.013999999999999999,9454,3536,314,130.0,,,,,,,,,,,,,,3 G Hybrid Marijuana Big Buds
17,17,01-05-2020 23:56:59,Tbilisi,4659482266,3g superskunk top class buds.,,5,нет,Тбилиси,3 гр,0.013000000000000001,8654,3237,287,119.0,,,,,,True,,,,,,,,3g superskunk top class buds.
18,18,01-05-2020 23:56:59,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,2,нет,Тбилиси,3 гр,0.0115,7636,2856,254,105.0,,,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
19,19,01-05-2020 23:56:59,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,1,нет,Тбилиси,4 гр,0.0151,10182,3808,338,140.0,,True,,,,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
20,20,01-05-2020 23:56:59,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0332,23272,8704,773,320.0,,,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
21,21,01-05-2020 23:56:59,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,2,нет,Тбилиси,5 гр,0.0321,21818,8160,724,300.0,,,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
22,22,01-05-2020 23:56:59,Tbilisi,83f3d55917,!!!New!!!(Hawaiian sativa 8G ) 20%THC Sale .,,1,нет,Тбилиси,8 гр,0.040999999999999995,27636,10336,917,380.0,,,,,,,True,,,,,,,!!!New!!!(Hawaiian sativa 8G ) 20%THC Sale .
23,23,01-05-2020 23:56:59,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica-,True,10,нет,Тбилиси,10 гр,0.0226,15200,5685,505,209.0,,True,,,,,,True,,,,,,10 gr marijuana buds. -indica-
24,24,01-05-2020 23:56:59,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 10g TOP VHQ,True,4,нет,Тбилиси,10 гр,0.0324,21818,8160,724,300.0,,,,,,,,,,,,,,AKA-47 ONLY BUDS 10g TOP VHQ
25,25,01-05-2020 23:56:59,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0414,29091,10880,966,400.0,,,,,,,,,,,,,,gashish evro 10g
26,26,01-05-2020 23:56:59,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),True,9,нет,Тбилиси,20 гр,0.0437,29454,11016,978,405.0,,True,,True,,,,,,,,,,20 gr Indica marijuana buds (hight quality)
27,27,01-05-2020 23:56:59,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0805,56508,21134,1876,777.0,,,,,,,,,,,,,,Gashish Evro 20gr
28,28,01-05-2020 23:56:59,Tbilisi,e56bb6ca93,50 гр Марихуана шишки. ИНДИКА,True,1,нет,Тбилиси,50 гр,0.1079,72654,27173,2412,999.0,,,,,,,,,,,,,,50 gr Marihuana shishki. INDIKA
29,29,01-05-2020 23:56:59,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1963,145453,54400,4829,2000.0,,,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
30,30,01-05-2020 23:56:59,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.2 грамм",True,нет,16,Тбилиси,0.2 гр,0.0042,2836,1061,94,39.0,,,,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.2 gramm"
31,31,01-05-2020 23:56:59,Tbilisi,89f7212915,"""Kief"" Weed trichomes 1G",True,нет,7,Тбилиси,1 гр,0.0173,11636,4352,386,160.0,,,,,,,,,,,,,,"""Kief"" Weed trichomes 1G"
32,32,01-05-2020 23:56:59,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 1 грамм",True,нет,2,Тбилиси,1 гр,0.0146,9818,3672,326,135.0,,,,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 1 gramm"
33,33,01-05-2020 23:56:59,Tbilisi,54915c4374,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",True,нет,1,Тбилиси,1 гр,0.0352,26109,9801,867,,,,,,,,,,330.0,,,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
34,34,01-05-2020 23:56:59,Tbilisi,54915c4374,"""JoKer Express"" - Марки н боом 2 штуки!",True,нет,45,Тбилиси,2 гр,0.0038,2545,952,85,35.0,,,,,,,,,,,,,,"""JoKer Express"" - Marki n boom 2 shtuki!"
35,35,01-05-2020 23:57:38,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,5,Тбилиси,2 гр,0.023,15273,5712,507,210.0,,,,,,,,,,,,,,✨✨2gram. MDMA✨✨
36,36,01-05-2020 23:57:38,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,7,Тбилиси,2 гр,0.0405,26836,10037,891,369.0,,,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
37,37,01-05-2020 23:57:38,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,10,Тбилиси,3 гр,0.0635,42109,15749,1398,579.0,,,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
38,38,01-05-2020 23:57:38,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0434,29091,10880,966,400.0,,,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
