,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Didube,Дигоми,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
0,0,16-04-2020 19:56:22,Tbilisi,366326d4d6,0.5G --... BoLiVian Coke ...-- 0.5G,True,17,нет,Тбилиси,0.5 гр,0.0185,10086,3699,331,135.0,,,,,,,,,,,0.5G --... BoLiVian Coke ...-- 0.5G
1,1,16-04-2020 19:56:22,Tbilisi,2f51af8159,NEW MDMA HIGH QUALITY 0.5 G,True,1,нет,Тбилиси,0.5 гр,0.0068,4109,1507,135,55.0,,,,,,,,,,,NEW MDMA HIGH QUALITY 0.5 G
2,2,16-04-2020 19:56:22,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,1,нет,Тбилиси,0.5 гр,0.0188,10460,3836,343,140.0,,,,,,,,,,,Pure COCAINE VHQ 0.5g
3,3,16-04-2020 19:56:22,Tbilisi,1c14effaaa,Silver Haze | 90% sativa 10% indica | 0.5g,True,2,нет,Тбилиси,0.5 гр,0.0037,2241,822,74,30.0,,,,,,,,,,,Silver Haze | 90% sativa 10% indica | 0.5g
4,4,16-04-2020 19:56:22,Tbilisi,4a91350669,1 Amnesia Haze марихуана шишки тгк 25%,True,2,нет,Тбилиси,1 гр,0.006,3287,1206,108,44.0,,,,,,,,,,,1 Amnesia Haze marihuana shishki tgk 25%
5,5,16-04-2020 19:56:22,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,2,нет,Тбилиси,1 гр,0.0068,4109,1507,135,55.0,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
6,6,16-04-2020 19:56:22,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,1,нет,Тбилиси,1 гр,0.0053,2914,1069,96,39.0,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
7,7,16-04-2020 19:56:22,Tbilisi,bb1791277e,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",True,4,нет,Тбилиси,1 гр,0.0075,4109,1507,135,55.0,,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
8,8,16-04-2020 19:56:22,Tbilisi,cb721d4bca,1 gr Шишки “OG KUSH VHQ”,True,2,нет,Тбилиси,1 гр,0.0053,2914,1069,96,39.0,,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
9,9,16-04-2020 19:56:22,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,3,нет,Тбилиси,1 гр,0.0077,4259,1562,140,57.0,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
10,10,16-04-2020 19:56:22,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,4,нет,Тбилиси,1 гр,0.0077,4259,1562,140,57.0,,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
11,11,16-04-2020 19:56:22,Tbilisi,2f51af8159,25i-nbome 1 piece 2.5mg SALE SALE,,6,нет,Тбилиси,1 гр,0.0019,1046,384,34,14.0,True,,,,,,,,,,25i-nbome 1 piece 2.5mg SALE SALE
12,12,16-04-2020 19:56:22,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 1 штука!!!!,True,10,нет,Тбилиси,1 гр,0.0027,1463,537,48,,,True,18.0,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 1 shtuka!!!!
13,13,16-04-2020 19:56:22,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1108,67241,24660,2206,900.0,,,,,,,,,,,Metadon 1gr
14,14,16-04-2020 19:56:22,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,3,нет,Тбилиси,1 гр,0.0025,1494,548,49,20.0,,,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
15,15,16-04-2020 19:56:22,Tbilisi,69672fee0d,2 г Skunk #1 марихуана шишки тгк 29% VHQ,True,1,нет,Тбилиси,2 гр,0.0142,7845,2877,257,105.0,,,,,,,,,,,2 g Skunk #1 marihuana shishki tgk 29% VHQ
16,16,16-04-2020 19:56:22,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,3,нет,Тбилиси,2 гр,0.0108,5902,2165,194,79.0,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
17,17,16-04-2020 19:56:22,Tbilisi,e56bb6ca93,2gr Indica dominant Buds,True,3,нет,Тбилиси,2 гр,0.0064,3511,1288,115,47.0,,,,,,,,,,,2gr Indica dominant Buds
18,18,16-04-2020 19:56:22,Tbilisi,4c4ab8c0de,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨,,8,нет,Тбилиси,2 гр,0.0115,6351,2329,208,85.0,,,,True,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨
19,19,16-04-2020 19:56:22,Tbilisi,4659482266,3g superskunk top class buds. Indica,,3,нет,Тбилиси,3 гр,0.0163,8891,3261,292,119.0,,True,,,True,,,,,,3g superskunk top class buds. Indica
20,20,16-04-2020 19:56:22,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,2,нет,Тбилиси,3 гр,0.0144,7845,2877,257,105.0,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
21,21,16-04-2020 19:56:22,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 3g TOP VHQ,True,1,нет,Тбилиси,3 гр,0.0135,7471,2740,245,100.0,,,,,,,,,,,AKA-47 ONLY BUDS 3g TOP VHQ
22,22,16-04-2020 19:56:22,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 4 штуки!!!,True,5,нет,Тбилиси,4 гр,0.0088,4877,1792,161,,,,60.0,,,True,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 4 shtuki!!!
23,23,16-04-2020 19:56:22,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0416,23908,8768,784,320.0,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
24,24,16-04-2020 19:56:22,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,1,нет,Тбилиси,5 гр,0.0402,22414,8220,735,300.0,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
25,25,16-04-2020 19:56:22,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (hight quality),True,9,нет,Тбилиси,5 гр,0.0182,10011,3672,328,134.0,,,,,,,,,,,5gr marijuana buds -indica- (hight quality)
26,26,16-04-2020 19:56:22,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,4,нет,Тбилиси,5 гр,0.0239,13075,4795,429,175.0,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
27,27,16-04-2020 19:56:22,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,2,нет,Тбилиси,5 гр,0.0068,4109,1507,135,55.0,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
28,28,16-04-2020 19:56:22,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica-,True,3,нет,Тбилиси,10 гр,0.0283,15615,5727,512,209.0,,,,,,,,,,,10 gr marijuana buds. -indica-
29,29,16-04-2020 19:56:22,Tbilisi,b01f16ca19,"10g. Шишки Amnesia Haze, Сатива",,1,нет,Тбилиси,10 гр,0.0541,29810,10933,978,399.0,,,,,True,,,,,,"10g. Shishki Amnesia Haze, Sativa"
30,30,16-04-2020 19:56:22,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,1,нет,Тбилиси,10 гр,0.0105,6351,2329,208,85.0,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
31,31,16-04-2020 19:56:22,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.052000000000000005,29885,10960,980,400.0,,,,,,,,,,,gashish evro 10g
32,32,16-04-2020 19:56:22,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.10099999999999999,58051,21290,1904,777.0,,,,,,,,,,,Gashish Evro 20gr
33,33,16-04-2020 19:56:22,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2463,149424,54800,4901,2000.0,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
34,34,16-04-2020 19:56:22,Tbilisi,2f51af8159,NEW MDMA 0.2 G PARASHOK,,нет,3,Тбилиси,0.2 гр,0.0045,2466,904,81,33.0,True,,,,,,,,,,NEW MDMA 0.2 G PARASHOK
